step_index,lambda_vehphpl,source_type
0,1689.0,archived_user_profile
1,1679.0,archived_user_profile
2,1669.0,archived_user_profile
3,1659.0,archived_user_profile
4,1650.0,archived_user_profile
5,1640.0,archived_user_profile
6,1630.0,archived_user_profile
7,1620.0,archived_user_profile
8,1610.0,archived_user_profile
9,1601.0,archived_user_profile
10,1591.0,archived_user_profile
11,1581.0,archived_user_profile
12,1571.0,archived_user_profile
13,1561.0,archived_user_profile
14,1551.0,archived_user_profile
15,1542.0,archived_user_profile
16,1532.0,archived_user_profile
17,1522.0,archived_user_profile
18,1512.0,archived_user_profile
19,1502.0,archived_user_profile
20,1493.0,archived_user_profile
21,1483.0,archived_user_profile
22,1473.0,archived_user_profile
23,1463.0,archived_user_profile
24,1453.0,archived_user_profile
25,1444.0,archived_user_profile
26,1434.0,archived_user_profile
27,1424.0,archived_user_profile
28,1414.0,archived_user_profile
29,1404.0,archived_user_profile
30,1395.0,archived_user_profile
31,1385.0,archived_user_profile
32,1375.0,archived_user_profile
33,1365.0,archived_user_profile
34,1355.0,archived_user_profile
35,1346.0,archived_user_profile
36,1336.0,archived_user_profile
37,1326.0,archived_user_profile
38,1316.0,archived_user_profile
39,1306.0,archived_user_profile
40,1297.0,archived_user_profile
41,1287.0,archived_user_profile
42,1277.0,archived_user_profile
43,1267.0,archived_user_profile
44,1257.0,archived_user_profile
45,1248.0,archived_user_profile
46,1238.0,archived_user_profile
47,1228.0,archived_user_profile
48,1218.0,archived_user_profile
49,1208.0,archived_user_profile
50,1199.0,archived_user_profile
51,1189.0,archived_user_profile
52,1179.0,archived_user_profile
53,1169.0,archived_user_profile
54,1159.0,archived_user_profile
55,1150.0,archived_user_profile
56,1140.0,archived_user_profile
57,1130.0,archived_user_profile
58,1120.0,archived_user_profile
59,1110.0,archived_user_profile
60,1101.0,archived_user_profile
61,1091.0,archived_user_profile
62,1081.0,archived_user_profile
63,1071.0,archived_user_profile
64,1061.0,archived_user_profile
65,1052.0,archived_user_profile
66,1042.0,archived_user_profile
67,1032.0,archived_user_profile
68,1022.0,archived_user_profile
69,1012.0,archived_user_profile
70,876.0,archived_user_profile
71,898.0,archived_user_profile
72,921.0,archived_user_profile
73,944.0,archived_user_profile
74,967.0,archived_user_profile
75,990.0,archived_user_profile
76,1013.0,archived_user_profile
77,1036.0,archived_user_profile
78,1059.0,archived_user_profile
79,1082.0,archived_user_profile
80,1105.0,archived_user_profile
81,1128.0,archived_user_profile
82,1151.0,archived_user_profile
83,1174.0,archived_user_profile
84,1197.0,archived_user_profile
85,1220.0,archived_user_profile
86,1243.0,archived_user_profile
87,1266.0,archived_user_profile
88,1289.0,archived_user_profile
89,1312.0,archived_user_profile
90,1335.0,archived_user_profile
91,1358.0,archived_user_profile
92,1381.0,archived_user_profile
93,1404.0,archived_user_profile
94,1427.0,archived_user_profile
95,1450.0,archived_user_profile
96,1473.0,archived_user_profile
97,1495.0,archived_user_profile
98,1518.0,archived_user_profile
99,1541.0,archived_user_profile
100,1564.0,archived_user_profile
101,1587.0,archived_user_profile
102,1610.0,archived_user_profile
103,1633.0,archived_user_profile
104,1656.0,archived_user_profile
