link_id,from_node_id,to_node_id,t_min,period,speed_raw,speed_smoothed,speed_qvdf_model,count_per_lane_15min,lanes,count_total_15min,length_mi,free_flow,cutoff,capacity_vphpl,vmt,vht,vdt,vcdt,emis_co2_g_obs,emis_co2_g_model
1,1,2,300,AM,56.31,54.8,70.0,527.1,1,527.1,0.135,70.0,49.0,2200.0,71.22,1.265,0.247,0.0,19387.6,26045.1
1,1,2,315,AM,53.28,53.07,61.88,530.5,1,530.5,0.135,70.0,49.0,2200.0,71.68,1.345,0.321,0.0,18788.4,21558.8
1,1,2,330,AM,49.61,50.38,53.75,534.3,1,534.3,0.135,70.0,49.0,2200.0,72.19,1.455,0.424,0.0,18408.3,19016.3
1,1,2,345,AM,48.23,48.02,48.91,527.9,1,527.9,0.135,70.0,49.0,2200.0,71.33,1.479,0.46,0.038,18102.5,18137.7
1,1,2,360,AM,46.22,45.95,47.95,530.6,1,530.6,0.135,70.0,49.0,2200.0,71.69,1.551,0.527,0.103,18168.8,18183.3
1,1,2,375,AM,43.4,43.92,46.16,527.7,1,527.7,0.135,70.0,49.0,2200.0,71.3,1.643,0.624,0.202,18237.9,18071.1
1,1,2,390,AM,42.13,41.99,43.79,524.6,1,524.6,0.135,70.0,49.0,2200.0,70.88,1.683,0.67,0.251,18284.8,18095.2
1,1,2,405,AM,40.45,40.4,41.09,523.1,1,523.1,0.135,70.0,49.0,2200.0,70.67,1.747,0.738,0.319,18504.0,18388.9
1,1,2,420,AM,38.62,38.06,38.29,509.7,1,509.7,0.135,70.0,49.0,2200.0,68.87,1.783,0.799,0.392,18413.2,18493.2
1,1,2,435,AM,35.1,33.45,35.52,498.7,1,498.7,0.135,70.0,49.0,2200.0,67.39,1.92,0.957,0.558,19002.0,18867.1
1,1,2,450,AM,26.64,27.75,32.89,441.1,1,441.1,0.135,70.0,49.0,2200.0,59.6,2.238,1.386,1.033,20166.7,17512.1
1,1,2,465,AM,21.5,22.91,30.46,395.9,1,395.9,0.135,70.0,49.0,2200.0,53.5,2.488,1.724,1.408,20711.8,16540.9
1,1,2,480,AM,20.59,20.48,28.24,383.5,1,383.5,0.135,70.0,49.0,2200.0,51.82,2.517,1.776,1.47,20567.8,16858.9
1,1,2,495,AM,19.34,19.2,26.24,374.3,1,374.3,0.135,70.0,49.0,2200.0,50.57,2.614,1.892,1.593,20779.8,17277.8
1,1,2,510,AM,17.66,18.34,24.46,357.6,1,357.6,0.135,70.0,49.0,2200.0,48.32,2.736,2.046,1.76,20817.9,17284.3
1,1,2,525,AM,18.02,18.95,22.87,362.9,1,362.9,0.135,70.0,49.0,2200.0,49.04,2.721,2.02,1.73,20910.7,18293.2
1,1,2,540,AM,21.17,21.96,21.46,379.8,1,379.8,0.135,70.0,49.0,2200.0,51.31,2.424,1.691,1.387,20044.1,19885.5
1,1,2,555,AM,26.68,27.0,20.22,417.9,1,417.9,0.135,70.0,49.0,2200.0,56.46,2.116,1.309,0.975,19081.5,22643.6
1,1,2,570,AM,33.16,32.59,19.11,460.1,1,460.1,0.135,70.0,49.0,2200.0,62.17,1.875,0.987,0.619,18169.2,25710.3
1,1,2,585,AM,37.94,37.44,18.14,491.0,1,491.0,0.135,70.0,49.0,2200.0,66.34,1.749,0.801,0.408,17900.3,28199.9
1,1,2,600,MD,41.23,40.67,17.28,514.6,1,514.6,0.135,70.0,49.0,2200.0,69.53,1.686,0.693,0.282,18068.9,30282.4
1,1,2,615,MD,42.83,42.12,16.52,530.8,1,530.8,0.135,70.0,49.0,2200.0,71.71,1.674,0.65,0.226,18407.1,31913.3
1,1,2,630,MD,42.29,42.64,15.85,524.8,1,524.8,0.135,70.0,49.0,2200.0,70.9,1.677,0.664,0.244,18267.4,32161.4
1,1,2,645,MD,42.8,43.09,15.26,524.1,1,524.1,0.135,70.0,49.0,2200.0,70.81,1.654,0.643,0.224,18178.5,32662.4
1,1,2,660,MD,44.17,44.21,14.74,525.4,1,525.4,0.135,70.0,49.0,2200.0,70.99,1.607,0.593,0.173,18090.9,33235.3
1,1,2,675,MD,45.66,44.38,14.29,534.2,1,534.2,0.135,70.0,49.0,2200.0,72.17,1.581,0.55,0.123,18306.0,34225.9
1,1,2,690,MD,43.31,43.33,13.9,527.3,1,527.3,0.135,70.0,49.0,2200.0,71.25,1.645,0.627,0.205,18234.7,34171.8
1,1,2,705,MD,41.0,42.22,13.56,511.1,1,511.1,0.135,70.0,49.0,2200.0,69.05,1.684,0.698,0.289,17982.0,33440.2
1,1,2,720,MD,42.35,41.87,13.27,514.8,1,514.8,0.135,70.0,49.0,2200.0,69.56,1.643,0.649,0.237,17914.4,33967.4
1,1,2,735,MD,42.25,41.89,13.03,510.5,1,510.5,0.135,70.0,49.0,2200.0,68.98,1.633,0.647,0.239,17775.8,33916.7
1,1,2,750,MD,41.07,41.42,12.83,508.3,1,508.3,0.135,70.0,49.0,2200.0,68.68,1.672,0.691,0.285,17873.8,33966.0
