link_id,from_node_id,to_node_id,dominant_period,f_d,n,f_p,s,alpha,beta,free_flow,speed_at_capacity_uc,cutoff,capacity_vphpl
1,1,2,PM,1.1913,0.9351,0.1212,1.1484,0.0791,1.0739,70.0,49.5,49.0,2200.0
2,2,3,PM,1.1913,0.9351,0.1212,1.1484,0.0791,1.0739,70.0,49.5,49.0,2200.0
3,3,4,AM,1.0847,1.0101,0.015,3.3773,0.0105,3.4115,70.0,49.5,49.0,2200.0
4,4,5,AM,1.0847,1.0101,0.015,3.3773,0.0105,3.4115,70.0,49.5,49.0,2200.0
5,5,6,PM,1.1913,0.9351,0.1212,1.1484,0.0791,1.0739,70.0,49.5,49.0,2200.0
6,6,7,AM,1.0847,1.0101,0.015,3.3773,0.0105,3.4115,70.0,49.5,49.0,2200.0
7,7,8,AM,1.0847,1.0101,0.015,3.3773,0.0105,3.4115,70.0,49.5,49.0,2200.0
8,8,9,,,,,,,,70.0,49.5,49.0,2200.0
9,9,10,AM,1.0847,1.0101,0.015,3.3773,0.0105,3.4115,70.0,49.5,49.0,2200.0
10,10,11,PM,1.1913,0.9351,0.1212,1.1484,0.0791,1.0739,70.0,49.5,49.0,2200.0
11,11,12,AM,1.0847,1.0101,0.015,3.3773,0.0105,3.4115,70.0,49.5,49.0,2200.0
12,12,13,PM,1.1913,0.9351,0.1212,1.1484,0.0791,1.0739,70.0,49.5,49.0,2200.0
13,13,14,PM,1.1913,0.9351,0.1212,1.1484,0.0791,1.0739,70.0,49.5,49.0,2200.0
14,14,15,,,,,,,,70.0,49.5,49.0,2200.0
15,15,16,PM,1.1913,0.9351,0.1212,1.1484,0.0791,1.0739,70.0,49.5,49.0,2200.0
16,16,17,,,,,,,,70.0,49.5,49.0,2200.0
17,17,18,AM,1.0847,1.0101,0.015,3.3773,0.0105,3.4115,70.0,49.5,49.0,2200.0
18,18,19,AM,1.0847,1.0101,0.015,3.3773,0.0105,3.4115,70.0,49.5,49.0,2200.0
19,19,20,AM,1.0847,1.0101,0.015,3.3773,0.0105,3.4115,70.0,49.5,49.0,2200.0
20,20,21,PM,1.1913,0.9351,0.1212,1.1484,0.0791,1.0739,70.0,49.5,49.0,2200.0
21,21,22,AM,1.0847,1.0101,0.015,3.3773,0.0105,3.4115,70.0,49.5,49.0,2200.0
22,22,23,PM,1.1913,0.9351,0.1212,1.1484,0.0791,1.0739,70.0,49.5,49.0,2200.0
23,23,24,PM,1.1913,0.9351,0.1212,1.1484,0.0791,1.0739,70.0,49.5,49.0,2200.0
