tmc_code,measurement_tstamp,speed,reference_speed,date,tod_min,clock_min,timestamp,period,wall_clock
110-04178,2025-10-08 06:00:00,62.96,62.0,2025-10-08,360,360,2025-10-08 06:00:00-04:00,AM,06:00
110-04178,2025-10-08 06:05:00,60.95,62.0,2025-10-08,365,365,2025-10-08 06:05:00-04:00,AM,06:05
110-04178,2025-10-08 06:10:00,56.74,62.0,2025-10-08,370,370,2025-10-08 06:10:00-04:00,AM,06:10
110-04178,2025-10-08 06:15:00,55.89,62.0,2025-10-08,375,375,2025-10-08 06:15:00-04:00,AM,06:15
110-04178,2025-10-08 06:20:00,48.77,62.0,2025-10-08,380,380,2025-10-08 06:20:00-04:00,AM,06:20
110-04178,2025-10-08 06:25:00,44.11,62.0,2025-10-08,385,385,2025-10-08 06:25:00-04:00,AM,06:25
110-04178,2025-10-08 06:30:00,35.65,62.0,2025-10-08,390,390,2025-10-08 06:30:00-04:00,AM,06:30
110-04178,2025-10-08 06:35:00,32.29,62.0,2025-10-08,395,395,2025-10-08 06:35:00-04:00,AM,06:35
110-04178,2025-10-08 06:40:00,32.68,62.0,2025-10-08,400,400,2025-10-08 06:40:00-04:00,AM,06:40
110-04178,2025-10-08 06:45:00,26.48,62.0,2025-10-08,405,405,2025-10-08 06:45:00-04:00,AM,06:45
110-04178,2025-10-08 06:50:00,24.94,62.0,2025-10-08,410,410,2025-10-08 06:50:00-04:00,AM,06:50
110-04178,2025-10-08 06:55:00,25.58,62.0,2025-10-08,415,415,2025-10-08 06:55:00-04:00,AM,06:55
110-04178,2025-10-08 07:00:00,29.11,62.0,2025-10-08,420,420,2025-10-08 07:00:00-04:00,AM,07:00
110-04178,2025-10-08 07:05:00,29.76,62.0,2025-10-08,425,425,2025-10-08 07:05:00-04:00,AM,07:05
110-04178,2025-10-08 07:10:00,25.97,62.0,2025-10-08,430,430,2025-10-08 07:10:00-04:00,AM,07:10
110-04178,2025-10-08 07:15:00,24.32,62.0,2025-10-08,435,435,2025-10-08 07:15:00-04:00,AM,07:15
110-04178,2025-10-08 07:20:00,22.79,62.0,2025-10-08,440,440,2025-10-08 07:20:00-04:00,AM,07:20
110-04178,2025-10-08 07:25:00,17.42,62.0,2025-10-08,445,445,2025-10-08 07:25:00-04:00,AM,07:25
110-04178,2025-10-08 07:30:00,20.38,62.0,2025-10-08,450,450,2025-10-08 07:30:00-04:00,AM,07:30
110-04178,2025-10-08 07:35:00,20.17,62.0,2025-10-08,455,455,2025-10-08 07:35:00-04:00,AM,07:35
110-04178,2025-10-08 07:40:00,17.96,62.0,2025-10-08,460,460,2025-10-08 07:40:00-04:00,AM,07:40
110-04178,2025-10-08 07:45:00,16.77,62.0,2025-10-08,465,465,2025-10-08 07:45:00-04:00,AM,07:45
110-04178,2025-10-08 07:50:00,19.57,62.0,2025-10-08,470,470,2025-10-08 07:50:00-04:00,AM,07:50
110-04178,2025-10-08 07:55:00,16.36,62.0,2025-10-08,475,475,2025-10-08 07:55:00-04:00,AM,07:55
110-04178,2025-10-08 08:00:00,19.92,62.0,2025-10-08,480,480,2025-10-08 08:00:00-04:00,AM,08:00
110-04178,2025-10-08 08:05:00,18.45,62.0,2025-10-08,485,485,2025-10-08 08:05:00-04:00,AM,08:05
110-04178,2025-10-08 08:10:00,20.94,62.0,2025-10-08,490,490,2025-10-08 08:10:00-04:00,AM,08:10
110-04178,2025-10-08 08:15:00,22.74,62.0,2025-10-08,495,495,2025-10-08 08:15:00-04:00,AM,08:15
110-04178,2025-10-08 08:20:00,20.77,62.0,2025-10-08,500,500,2025-10-08 08:20:00-04:00,AM,08:20
110-04178,2025-10-08 08:25:00,17.96,62.0,2025-10-08,505,505,2025-10-08 08:25:00-04:00,AM,08:25
110-04178,2025-10-08 08:30:00,20.59,62.0,2025-10-08,510,510,2025-10-08 08:30:00-04:00,AM,08:30
110-04178,2025-10-08 08:35:00,19.57,62.0,2025-10-08,515,515,2025-10-08 08:35:00-04:00,AM,08:35
110-04178,2025-10-08 08:40:00,27.73,62.0,2025-10-08,520,520,2025-10-08 08:40:00-04:00,AM,08:40
110-04178,2025-10-08 08:45:00,16.91,62.0,2025-10-08,525,525,2025-10-08 08:45:00-04:00,AM,08:45
110-04178,2025-10-08 08:50:00,20.98,62.0,2025-10-08,530,530,2025-10-08 08:50:00-04:00,AM,08:50
110-04178,2025-10-08 08:55:00,18.39,62.0,2025-10-08,535,535,2025-10-08 08:55:00-04:00,AM,08:55
110-04178,2025-10-08 09:00:00,21.99,62.0,2025-10-08,540,540,2025-10-08 09:00:00-04:00,MD,09:00
110-04178,2025-10-08 09:05:00,25.44,62.0,2025-10-08,545,545,2025-10-08 09:05:00-04:00,MD,09:05
110-04178,2025-10-08 09:10:00,29.19,62.0,2025-10-08,550,550,2025-10-08 09:10:00-04:00,MD,09:10
110-04178,2025-10-08 09:15:00,29.78,62.0,2025-10-08,555,555,2025-10-08 09:15:00-04:00,MD,09:15
110-04178,2025-10-08 09:20:00,27.97,62.0,2025-10-08,560,560,2025-10-08 09:20:00-04:00,MD,09:20
110-04178,2025-10-08 09:25:00,25.15,62.0,2025-10-08,565,565,2025-10-08 09:25:00-04:00,MD,09:25
110-04178,2025-10-08 09:30:00,25.72,62.0,2025-10-08,570,570,2025-10-08 09:30:00-04:00,MD,09:30
110-04178,2025-10-08 09:35:00,28.97,62.0,2025-10-08,575,575,2025-10-08 09:35:00-04:00,MD,09:35
110-04178,2025-10-08 09:40:00,31.7,62.0,2025-10-08,580,580,2025-10-08 09:40:00-04:00,MD,09:40
110-04178,2025-10-08 09:45:00,21.47,62.0,2025-10-08,585,585,2025-10-08 09:45:00-04:00,MD,09:45
110-04178,2025-10-08 09:50:00,21.45,62.0,2025-10-08,590,590,2025-10-08 09:50:00-04:00,MD,09:50
110-04178,2025-10-08 09:55:00,34.36,62.0,2025-10-08,595,595,2025-10-08 09:55:00-04:00,MD,09:55
110-04178,2025-10-08 10:00:00,36.48,62.0,2025-10-08,600,600,2025-10-08 10:00:00-04:00,MD,10:00
110-04178,2025-10-08 10:05:00,31.59,62.0,2025-10-08,605,605,2025-10-08 10:05:00-04:00,MD,10:05
110-04178,2025-10-08 10:10:00,29.3,62.0,2025-10-08,610,610,2025-10-08 10:10:00-04:00,MD,10:10
110-04178,2025-10-08 10:15:00,41.08,62.0,2025-10-08,615,615,2025-10-08 10:15:00-04:00,MD,10:15
110-04178,2025-10-08 10:20:00,42.91,62.0,2025-10-08,620,620,2025-10-08 10:20:00-04:00,MD,10:20
110-04178,2025-10-08 10:25:00,50.28,62.0,2025-10-08,625,625,2025-10-08 10:25:00-04:00,MD,10:25
