link_id,minute_of_day,average_speed_mph,speed_std_across_days_mph,average_observed_flow_veh_h,flow_std_across_days_veh_h,contributing_weekdays,max_mapped_station_count,clock_la
L405S-012,0,67.78,0.7694153624668484,1029.6,318.78017504230087,5,1,00:00
L405S-012,5,68.0,1.5858751527153687,1106.4,389.25158959213,5,1,00:05
L405S-012,10,66.72,1.5514509338035862,948.0,412.38816665855,5,1,00:10
L405S-012,15,65.34,3.840963420809939,972.0,437.7122342361474,5,1,00:15
L405S-012,20,65.86,2.5500980373311126,919.2,432.96558754709366,5,1,00:20
L405S-012,25,66.46000000000001,2.138457387931779,933.6,383.0049608033817,5,1,00:25
L405S-012,30,66.3,2.710166046573528,885.6,341.77887588322363,5,1,00:30
L405S-012,35,66.42,2.296083622170585,859.2,366.50129604136464,5,1,00:35
L405S-012,40,66.1,2.736786436680801,770.4,215.23196788581384,5,1,00:40
L405S-012,45,64.9,4.5271403777660755,640.8,192.48688266996274,5,1,00:45
L405S-012,50,65.6,2.692582403567252,559.2,77.1180912626862,5,1,00:50
L405S-012,55,65.4,3.354847239443247,734.4,256.72709245422465,5,1,00:55
L405S-012,60,64.9,5.072967573324316,628.8,99.17257685469306,5,1,01:00
L405S-012,65,66.3,2.989983277545212,602.4,102.3171539870026,5,1,01:05
L405S-012,70,66.38,2.8968948893599875,636.0,154.8418548067673,5,1,01:10
L405S-012,75,65.44,4.194997020261159,475.2,81.6529240137792,5,1,01:15
L405S-012,80,65.41999999999999,5.356024645200952,520.8,116.52982450857806,5,1,01:20
L405S-012,85,65.55999999999999,3.0916015267171826,494.4,53.26161845081315,5,1,01:25
L405S-012,90,66.3,2.737699764400764,470.4,129.91073858615383,5,1,01:30
L405S-012,95,65.78,2.0092287077383735,458.4,64.2868571326986,5,1,01:35
L405S-012,100,66.38,1.31605471010897,460.8,84.2567504714014,5,1,01:40
L405S-012,105,65.86,1.357571360923616,424.8,44.5780214904161,5,1,01:45
L405S-012,110,65.58,2.741714791877519,439.2,78.96328260653809,5,1,01:50
L405S-012,115,65.97999999999999,2.7662248643232124,369.6,77.4906445966221,5,1,01:55
L405S-012,120,64.78,2.6901672810440576,350.4,67.56330364924439,5,1,02:00
L405S-012,125,65.3,2.113054660911544,362.4,55.899910554490155,5,1,02:05
L405S-012,130,65.1,2.7748873851023217,463.2,68.19970674423755,5,1,02:10
L405S-012,135,65.8,1.56204993518133,403.2,75.2276544895559,5,1,02:15
L405S-012,140,64.96,2.905684084686426,393.6,57.79965397820302,5,1,02:20
L405S-012,145,64.67999999999999,3.0144651266849998,441.6,83.74246234736593,5,1,02:25
L405S-012,150,64.24,1.8311198759229295,384.0,58.172158288995945,5,1,02:30
L405S-012,155,66.0,0.9797958971132704,463.2,38.51233568611491,5,1,02:35
L405S-012,160,65.25999999999999,1.1545561917897327,381.6,79.77969666525438,5,1,02:40
L405S-012,165,66.1,0.6519202405202658,408.0,76.83749084919418,5,1,02:45
L405S-012,170,65.32,2.126499470961606,446.4,67.56330364924439,5,1,02:50
L405S-012,175,66.03999999999999,0.7368853370776236,432.0,62.353829072479584,5,1,02:55
