variant_id,category,sample_min,enter_ratio,persistence_min,noise_sigma_mph,noise_seed,baseline_episode_id,link_id,matched,iou,variant_episode_id,delta_t0_min,delta_T2_min,delta_t3_min,delta_P_min
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-012-2025-06-02-E1,L405S-012,True,0.704198565721304,threshold_r0.65_p10:L405S-012:E1,37.35599078333333,0.0,-3.63444405,-40.99043483333333
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-012-2025-06-03-E1,L405S-012,True,0.9627553747148093,threshold_r0.65_p10:L405S-012:E2,2.8940678,0.0,-4.453124983333334,-7.347192783333361
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-012-2025-06-03-E2,L405S-012,True,0.839441360115175,threshold_r0.65_p10:L405S-012:E3,1.87572575,0.0,-2.2467105333333333,-4.122436283333336
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-012-2025-06-04-E1,L405S-012,True,0.9589225311885727,threshold_r0.65_p10:L405S-012:E4,2.3390411,0.0,-3.75151975,-6.090560849999971
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-012-2025-06-05-E1,L405S-012,True,0.9159632705283481,threshold_r0.65_p10:L405S-012:E5,10.560267866666667,0.0,-3.3515625,-13.91183036666666
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-018-2025-06-02-E1,L405S-018,False,0.0,,,,,
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-018-2025-06-03-E1,L405S-018,False,0.0,,,,,
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-018-2025-06-03-E2,L405S-018,True,0.9206303721322727,threshold_r0.65_p10:L405S-018:E1,7.7580483,0.0,-3.004385966666667,-10.76243426666668
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-018-2025-06-04-E1,L405S-018,True,0.7811507079732395,threshold_r0.65_p10:L405S-018:E2,4.133771933333334,0.0,-3.005826266666667,-7.139598200000002
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-018-2025-06-05-E1,L405S-018,True,0.6154428792145319,threshold_r0.65_p10:L405S-018:E3,6.125,0.0,-43.049682866666664,-49.17468286666666
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-018-2025-06-05-E2,L405S-018,True,0.8214844157210076,threshold_r0.65_p10:L405S-018:E4,3.5677083333333335,0.0,-1.6789215666666666,-5.246629899999995
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-028-2025-06-03-E1,L405S-028,False,0.0,,,,,
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,L405S-028-2025-06-03-E2,L405S-028,True,0.893153980933768,threshold_r0.65_p10:L405S-028:E1,8.6378205,0.0,-7.005334283333334,-15.6431547833333
