variant_id,category,sample_min,enter_ratio,persistence_min,noise_sigma_mph,noise_seed,config_interval_min,config_smoothing_bins,config_enter_ratio,config_exit_ratio,config_enter_persistence_bins,config_exit_persistence_bins,config_max_interpolation_gap_bins,config_minimum_duration_min,config_minimum_depth_mph,detected_episodes
threshold_r0.65_p10,threshold_persistence,5,0.65,10,0.0,,5,3,0.65,0.7000000000000001,2,2,2,20.0,3.0,23
threshold_r0.65_p15,threshold_persistence,5,0.65,15,0.0,,5,3,0.65,0.7000000000000001,3,3,2,20.0,3.0,23
threshold_r0.65_p20,threshold_persistence,5,0.65,20,0.0,,5,3,0.65,0.7000000000000001,4,4,2,20.0,3.0,22
threshold_r0.70_p10,threshold_persistence,5,0.7,10,0.0,,5,3,0.7,0.75,2,2,2,20.0,3.0,28
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,5,3,0.7,0.75,4,4,2,20.0,3.0,27
threshold_r0.75_p10,threshold_persistence,5,0.75,10,0.0,,5,3,0.75,0.8,2,2,2,20.0,3.0,35
threshold_r0.75_p15,threshold_persistence,5,0.75,15,0.0,,5,3,0.75,0.8,3,3,2,20.0,3.0,35
threshold_r0.75_p20,threshold_persistence,5,0.75,20,0.0,,5,3,0.75,0.8,4,4,2,20.0,3.0,34
sampling_10min,sampling,10,0.7,15,0.0,,10,2,0.7,0.75,2,2,1,20.0,3.0,28
sampling_15min,sampling,15,0.7,15,0.0,,15,1,0.7,0.75,1,1,1,20.0,3.0,27
noise_s1_r01,noise,5,0.7,15,1.0,1898170439.0,5,3,0.7,0.75,3,3,2,20.0,3.0,30
noise_s1_r02,noise,5,0.7,15,1.0,3432960257.0,5,3,0.7,0.75,3,3,2,20.0,3.0,28
noise_s1_r03,noise,5,0.7,15,1.0,2841638297.0,5,3,0.7,0.75,3,3,2,20.0,3.0,28
noise_s1_r04,noise,5,0.7,15,1.0,2713191886.0,5,3,0.7,0.75,3,3,2,20.0,3.0,28
noise_s1_r05,noise,5,0.7,15,1.0,3772836808.0,5,3,0.7,0.75,3,3,2,20.0,3.0,29
noise_s1_r06,noise,5,0.7,15,1.0,597409059.0,5,3,0.7,0.75,3,3,2,20.0,3.0,29
noise_s1_r07,noise,5,0.7,15,1.0,1910950614.0,5,3,0.7,0.75,3,3,2,20.0,3.0,29
noise_s1_r08,noise,5,0.7,15,1.0,2700868119.0,5,3,0.7,0.75,3,3,2,20.0,3.0,30
noise_s1_r09,noise,5,0.7,15,1.0,1598690523.0,5,3,0.7,0.75,3,3,2,20.0,3.0,29
noise_s1_r10,noise,5,0.7,15,1.0,4114437053.0,5,3,0.7,0.75,3,3,2,20.0,3.0,29
noise_s3_r01,noise,5,0.7,15,3.0,505714500.0,5,3,0.7,0.75,3,3,2,20.0,3.0,31
noise_s3_r02,noise,5,0.7,15,3.0,1223170560.0,5,3,0.7,0.75,3,3,2,20.0,3.0,30
noise_s3_r03,noise,5,0.7,15,3.0,2336622233.0,5,3,0.7,0.75,3,3,2,20.0,3.0,30
noise_s3_r04,noise,5,0.7,15,3.0,2844474174.0,5,3,0.7,0.75,3,3,2,20.0,3.0,31
noise_s3_r05,noise,5,0.7,15,3.0,3658734540.0,5,3,0.7,0.75,3,3,2,20.0,3.0,31
noise_s3_r06,noise,5,0.7,15,3.0,1477842410.0,5,3,0.7,0.75,3,3,2,20.0,3.0,29
noise_s3_r07,noise,5,0.7,15,3.0,15090944.0,5,3,0.7,0.75,3,3,2,20.0,3.0,30
noise_s3_r08,noise,5,0.7,15,3.0,3531473329.0,5,3,0.7,0.75,3,3,2,20.0,3.0,29
noise_s3_r09,noise,5,0.7,15,3.0,559689430.0,5,3,0.7,0.75,3,3,2,20.0,3.0,31
noise_s3_r10,noise,5,0.7,15,3.0,2212819897.0,5,3,0.7,0.75,3,3,2,20.0,3.0,30
noise_s5_r01,noise,5,0.7,15,5.0,3384425193.0,5,3,0.7,0.75,3,3,2,20.0,3.0,32
noise_s5_r02,noise,5,0.7,15,5.0,1341183672.0,5,3,0.7,0.75,3,3,2,20.0,3.0,33
noise_s5_r03,noise,5,0.7,15,5.0,3440811864.0,5,3,0.7,0.75,3,3,2,20.0,3.0,32
noise_s5_r04,noise,5,0.7,15,5.0,4238212258.0,5,3,0.7,0.75,3,3,2,20.0,3.0,32
noise_s5_r05,noise,5,0.7,15,5.0,2060028895.0,5,3,0.7,0.75,3,3,2,20.0,3.0,34
noise_s5_r06,noise,5,0.7,15,5.0,4148350942.0,5,3,0.7,0.75,3,3,2,20.0,3.0,30
noise_s5_r07,noise,5,0.7,15,5.0,1139419834.0,5,3,0.7,0.75,3,3,2,20.0,3.0,31
noise_s5_r08,noise,5,0.7,15,5.0,367193859.0,5,3,0.7,0.75,3,3,2,20.0,3.0,33
noise_s5_r09,noise,5,0.7,15,5.0,701176657.0,5,3,0.7,0.75,3,3,2,20.0,3.0,33
noise_s5_r10,noise,5,0.7,15,5.0,652523164.0,5,3,0.7,0.75,3,3,2,20.0,3.0,30
