link_id,period,D_source,mu_source,D_mean_vph,D_p95_vph,D_peak_1h_vph,D_reference_window,mu_vph,samples,congested_days,days_observed,congested_candidate_n,period_sample_n,capacity_vph_effective,capacity_source,episode_count,cleared_episode_count,mu_e_vph,mu_flow_link_id,episode_mu_source,duration_h_median,DQ_arrival_veh_median,conservation_residual_veh_median,mu_e_source,k_mu,D_peak_over_C,D_peak_over_mu_e,quality_status
L405S-012,AM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,6953.400000000001,7317.48,7095.0,1h_rolling_peak,5634.0,48,0,5,0,240,8136.0,fd_parameters_link_median,,,,,,,,,limited_identification,,0.8720501474926253,,limited_identification
L405S-012,MD,observed_upstream_mainline,daily_congested_median_across_weekdays,5523.0,6897.24,6520.400000000001,1h_rolling_peak,4470.0,60,1,5,3,300,8136.0,fd_parameters_link_median,1.0,1.0,4242.0,L405S-012,target_flow_no_paq_match,0.4166666666666667,3068.0,1300.5,target_flow_no_paq_match,0.5213864306784661,0.8014257620452312,1.5371051390853372,episode_based_preliminary
L405S-012,NT1,observed_upstream_mainline,daily_congested_median_across_weekdays,7512.5666666666675,8565.6,8459.800000000001,1h_rolling_peak,6756.0,72,4,5,57,360,8136.0,fd_parameters_link_median,4.0,4.0,7637.035714285714,L405S-012;L405S-055,paq_xstar_observed_flow,2.416666666666667,20301.5,1827.300324675325,paq_xstar_observed_flow,0.938672039612305,1.0397984267453295,1.1077334605330231,episode_based_preliminary
L405S-012,NT2,observed_upstream_mainline,daily_period_median_fallback_no_congestion,3639.56,8773.919999999998,7896.400000000001,1h_rolling_peak,1866.0,60,0,5,1,300,8136.0,fd_parameters_link_median,1.0,0.0,,,not_identified_no_recovery,,,,limited_identification,,0.97055063913471,,limited_identification
L405S-012,PM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,2339.0,3976.92,3748.6,1h_rolling_peak,990.0,48,0,5,0,240,8136.0,fd_parameters_link_median,,,,,,,,,limited_identification,,0.46074237954768926,,limited_identification
L405S-018,AM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,7569.599999999999,8074.08,7826.2,1h_rolling_peak,7824.0,48,0,5,1,240,20088.0,fd_parameters_link_median,1.0,0.0,,,not_identified_no_recovery,,,,limited_identification,,0.3895957785742732,,limited_identification
L405S-018,MD,observed_upstream_mainline,daily_congested_median_across_weekdays,5638.64,7231.44,6985.400000000001,1h_rolling_peak,8106.0,60,4,5,21,300,20088.0,fd_parameters_link_median,5.0,5.0,7968.0,L405S-014;L405S-018,paq_xstar_observed_flow;target_flow_no_paq_match,0.4166666666666667,3635.0,402.5,paq_xstar_observed_flow;target_flow_no_paq_match,0.3966547192353644,0.3477399442453206,0.8766817269076306,episode_based_preliminary
L405S-018,NT1,observed_upstream_mainline,daily_congested_median_across_weekdays,7294.833333333333,8584.44,8549.0,1h_rolling_peak,10344.0,72,3,5,21,360,20088.0,fd_parameters_link_median,3.0,3.0,10725.0,L405S-018;L405S-055,paq_xstar_observed_flow;target_flow_no_paq_match,0.4166666666666667,4155.0,189.75,paq_xstar_observed_flow;target_flow_no_paq_match,0.5339008363201911,0.4255774591796097,0.7971095571095571,episode_based_preliminary
L405S-018,NT2,observed_upstream_mainline,daily_period_median_fallback_no_congestion,2916.44,8583.72,7311.400000000001,1h_rolling_peak,2010.0,60,0,5,0,300,20088.0,fd_parameters_link_median,,,,,,,,,limited_identification,,0.36396853843090404,,limited_identification
L405S-018,PM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,1556.5,3559.2,3012.6,1h_rolling_peak,1314.0,48,0,5,0,240,20088.0,fd_parameters_link_median,,,,,,,,,limited_identification,,0.1499701314217443,,limited_identification
L405S-028,AM,observed_upstream_mainline,daily_congested_median_across_weekdays,4054.95,4319.52,4188.2,1h_rolling_peak,5736.0,48,1,5,3,240,11160.0,fd_parameters_link_median,1.0,0.0,,,not_identified_no_recovery,,,,limited_identification,,0.3752867383512545,,limited_identification
L405S-028,MD,observed_upstream_mainline,daily_congested_median_across_weekdays,3183.6,4242.12,4149.2,1h_rolling_peak,4386.0,60,2,5,21,300,11160.0,fd_parameters_link_median,3.0,3.0,5658.0,L405S-028;L405S-112,paq_xstar_observed_flow,0.9166666666666666,3496.0,-459.9333333333334,paq_xstar_observed_flow,0.5069892473118279,0.37179211469534046,0.7333333333333333,episode_based_preliminary
L405S-028,NT1,observed_upstream_mainline,daily_congested_median_across_weekdays,4191.933333333333,5255.64,5070.2,1h_rolling_peak,5076.0,72,3,5,16,360,11160.0,fd_parameters_link_median,3.0,3.0,5678.4,L405S-108;L405S-112;L405S-115,paq_xstar_observed_flow,0.8333333333333334,4681.0,252.20000000000027,paq_xstar_observed_flow,0.5088172043010752,0.4543189964157706,0.8928923640462102,episode_based_preliminary
L405S-028,NT2,observed_upstream_mainline,daily_congested_median_across_weekdays,1875.92,4915.079999999999,4203.599999999999,1h_rolling_peak,1974.0,60,1,5,3,300,11160.0,fd_parameters_link_median,,,,,,,,,limited_identification,,0.3766666666666666,,limited_identification
L405S-028,PM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,1265.0,1921.32,1835.6,1h_rolling_peak,1698.0,48,0,5,0,240,11160.0,fd_parameters_link_median,,,,,,,,,limited_identification,,0.16448028673835124,,limited_identification
L405S-030,AM,observed_upstream_mainline,daily_period_median_fallback_no_congestion,7541.400000000001,7982.16,7728.599999999999,1h_rolling_peak,6141.0,48,0,5,0,240,10860.0,fd_parameters_link_median,,,,,,,,,limited_identification,,0.7116574585635359,,limited_identification
L405S-030,MD,observed_upstream_mainline,daily_period_median_fallback_no_congestion,5842.9400000000005,7913.22,7761.2,1h_rolling_peak,4293.0,60,0,5,0,300,10860.0,fd_parameters_link_median,,,,,,,,,limited_identification,,0.714659300184162,,limited_identification
L405S-030,NT1,observed_upstream_mainline,daily_congested_median_across_weekdays,7299.650000000001,7934.52,7693.900000000001,1h_rolling_peak,6093.0,72,3,5,9,360,10860.0,fd_parameters_link_median,3.0,3.0,5117.333333333333,L405S-030;L405S-112;L405S-115,paq_xstar_observed_flow;target_flow_no_paq_match,0.5833333333333334,4752.5,1097.75,paq_xstar_observed_flow;target_flow_no_paq_match,0.4712093308778391,0.708462246777164,1.503497915581032,episode_based_preliminary
