link_id,date,period,episode_no,t0,t2,t3,duration_h,min_speed_kmh,mu_e_vph,DQ_arrival_veh,mu_e_times_P_veh,conservation_residual_veh,mu_flow_link_id,paq_object,paq_xstar_pm,mu_source,quality_status,queued_sample_n
L405S-012,2025-06-02,NT1,1,2025-06-02T07:25:00+00:00,2025-06-02T08:30:00+00:00,2025-06-02T09:10:00+00:00,1.75,50.85527040000001,8635.636363636364,14577.0,15112.363636363636,-535.363636363636,L405S-055,O4,8.97,paq_xstar_observed_flow,episode_cleared,21
L405S-012,2025-06-03,MD,1,2025-06-03T17:25:00+00:00,2025-06-03T17:35:00+00:00,2025-06-03T17:50:00+00:00,0.4166666666666667,37.6586496,4242.0,3068.0,1767.5,1300.5,L405S-012,,,target_flow_no_paq_match,episode_cleared,5
L405S-012,2025-06-03,NT1,1,2025-06-03T07:00:00+00:00,2025-06-03T08:25:00+00:00,2025-06-03T09:55:00+00:00,2.9166666666666665,34.1180928,6820.666666666667,24321.0,19893.61111111111,4427.3888888888905,L405S-012,O10,9.67,paq_xstar_observed_flow,episode_cleared,35
L405S-012,2025-06-03,NT2,1,2025-06-03T06:45:00+00:00,2025-06-03T06:55:00+00:00,,,56.64890880000001,,,,,,,,not_identified_no_recovery,limited_no_recovery,3
L405S-012,2025-06-04,NT1,1,2025-06-04T07:10:00+00:00,2025-06-04T08:35:00+00:00,2025-06-04T09:25:00+00:00,2.25,37.4977152,6899.571428571428,19714.0,15524.035714285714,4189.964285714286,L405S-012,O14,9.67,paq_xstar_observed_flow,episode_cleared,27
L405S-012,2025-06-05,NT1,1,2025-06-05T07:05:00+00:00,2025-06-05T07:55:00+00:00,2025-06-05T09:40:00+00:00,2.5833333333333335,34.9227648,8374.5,20889.0,21634.125,-745.125,L405S-055,O9,8.97,paq_xstar_observed_flow,episode_cleared,31
L405S-018,2025-06-02,MD,1,2025-06-02T17:20:00+00:00,2025-06-02T17:25:00+00:00,2025-06-02T17:35:00+00:00,0.25,68.8799232,8202.0,2453.0,2050.5,402.5,L405S-018,,,target_flow_no_paq_match,episode_cleared,3
L405S-018,2025-06-03,AM,1,2025-06-03T16:20:00+00:00,2025-06-03T16:55:00+00:00,,,49.4068608,,,,,,,,not_identified_no_recovery,limited_no_recovery,8
L405S-018,2025-06-03,MD,1,2025-06-03T17:00:00+00:00,2025-06-03T17:10:00+00:00,2025-06-03T18:30:00+00:00,1.5,41.19920640000001,5331.789473684211,8953.0,7997.684210526317,955.3157894736833,L405S-014,O6,6.57,paq_xstar_observed_flow,episode_cleared,10
L405S-018,2025-06-03,MD,2,2025-06-03T17:55:00+00:00,2025-06-03T18:10:00+00:00,2025-06-03T18:30:00+00:00,0.5833333333333334,44.5788288,5758.5,4030.0,3359.125,670.875,L405S-014,O6,6.57,paq_xstar_observed_flow,episode_cleared,7
L405S-018,2025-06-03,NT1,1,2025-06-03T08:00:00+00:00,2025-06-03T08:10:00+00:00,2025-06-03T08:25:00+00:00,0.4166666666666667,67.10964480000001,10808.0,4155.0,4503.333333333334,-348.33333333333394,L405S-018,,,target_flow_no_paq_match,episode_cleared,5
