link_id,time_la,period,flow_observed_vph,mainline_inflow_vph,on_ramp_flow_vph,D_vph,D_source,mu_vph,mu_source,D_rolling_1h_vph,D_peak_1h_vph,D_reference_window
L405S-012,06:00,AM,5068.8,6376.8,0.0,6376.8,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:05,AM,5191.2,6777.6,0.0,6777.6,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:10,AM,5527.2,6864.0,0.0,6864.0,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:15,AM,5416.8,6895.2,0.0,6895.2,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:20,AM,5553.6,6962.4,0.0,6962.4,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:25,AM,5604.0,7123.2,0.0,7123.2,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:30,AM,5577.6,7128.0,0.0,7128.0,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:35,AM,5479.2,7003.2,0.0,7003.2,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:40,AM,5889.6,7214.4,0.0,7214.4,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:45,AM,5786.4,7288.8,0.0,7288.8,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:50,AM,5532.0,6885.6,0.0,6885.6,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,,7095.0,1h_rolling_peak
L405S-012,06:55,AM,5311.2,6796.8,0.0,6796.8,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6943.0,7095.0,1h_rolling_peak
L405S-012,07:00,AM,5131.2,6511.2,0.0,6511.2,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6954.2,7095.0,1h_rolling_peak
L405S-012,07:05,AM,5277.6,6626.4,0.0,6626.4,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6941.600000000001,7095.0,1h_rolling_peak
L405S-012,07:10,AM,5301.6,6933.6,0.0,6933.6,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6947.400000000001,7095.0,1h_rolling_peak
L405S-012,07:15,AM,5253.6,6789.6,0.0,6789.6,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6938.599999999999,7095.0,1h_rolling_peak
L405S-012,07:20,AM,5779.2,7320.0,0.0,7320.0,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6968.400000000001,7095.0,1h_rolling_peak
L405S-012,07:25,AM,5414.4,6952.8,0.0,6952.8,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6954.200000000001,7095.0,1h_rolling_peak
L405S-012,07:30,AM,5452.8,6912.0,0.0,6912.0,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6936.200000000001,7095.0,1h_rolling_peak
L405S-012,07:35,AM,5349.6,6729.6,0.0,6729.6,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6913.400000000001,7095.0,1h_rolling_peak
L405S-012,07:40,AM,5745.6,7048.8,0.0,7048.8,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6899.599999999999,7095.0,1h_rolling_peak
L405S-012,07:45,AM,5719.2,7152.0,0.0,7152.0,observed_upstream_mainline,5634.0,daily_period_median_fallback_no_congestion,6888.2,7095.0,1h_rolling_peak
