date,object,T0_min,T0_raw_min,T3_min,T0_hhmm,T3_hhmm,duration_min,n_segments,pm_lo,pm_hi,xstar_pm,xstar_link_id,range_link_ids,fragment_n
2025-06-02,O1,925.0,925.0,1120.0,15:25,18:40,195.0,2,3.61,3.8,3.61,L405S-073,L405S-073;L405S-075,2
2025-06-02,O2,965.0,965.0,1085.0,16:05,18:05,120.0,2,5.27,5.46,5.27,L405S-066,L405S-021;L405S-066,2
2025-06-02,O4,455.0,435.0,550.0,07:35,09:10,95.0,6,8.17,9.67,8.97,L405S-055,L405S-012;L405S-013;L405S-020;L405S-052;L405S-055;L405S-123,6
2025-06-02,O5,450.0,440.0,555.0,07:30,09:15,105.0,7,10.97,13.58,11.27,L405S-117,L405S-004;L405S-005;L405S-102;L405S-108;L405S-117,7
2025-06-02,O7,1015.0,1015.0,1095.0,16:55,18:15,80.0,1,14.286,14.286,14.286,L405S-108,L405S-108,1
2025-06-02,O8,400.0,395.0,550.0,06:40,09:10,150.0,10,14.49,17.43,14.49,L405S-108,L405S-108;L405S-112;L405S-114;L405S-115;L405S-132,10
2025-06-02,O12,670.0,670.0,1435.0,11:10,23:55,765.0,1,19.01,19.01,19.01,L405S-030,L405S-030,1
2025-06-03,O3,890.0,890.0,1130.0,14:50,18:50,240.0,2,3.61,3.8,3.61,L405S-073,L405S-073;L405S-075,2
2025-06-03,O5,935.0,935.0,1115.0,15:35,18:35,180.0,2,5.27,5.46,5.27,L405S-066,L405S-021;L405S-066,2
2025-06-03,O6,980.0,975.0,1125.0,16:20,18:45,145.0,6,5.98,8.17,6.57,L405S-014,L405S-014;L405S-018;L405S-020;L405S-046;L405S-061;L405S-071,6
2025-06-03,O10,405.0,405.0,590.0,06:45,09:50,185.0,6,8.17,9.67,9.67,L405S-012,L405S-012;L405S-013;L405S-020;L405S-052;L405S-055;L405S-123,6
2025-06-03,O12,1005.0,995.0,1100.0,16:45,18:20,95.0,4,8.568,9.31,8.97,L405S-055,L405S-013;L405S-052;L405S-055;L405S-123,4
2025-06-03,O15,485.0,485.0,545.0,08:05,09:05,60.0,1,9.92,9.92,9.92,L405S-058,L405S-058,1
2025-06-03,O16,420.0,420.0,585.0,07:00,09:45,165.0,4,10.97,12.27,12.27,L405S-005,L405S-004;L405S-005;L405S-102;L405S-117,4
2025-06-03,O17,400.0,385.0,595.0,06:40,09:55,195.0,11,12.927,16.53,14.49,L405S-108,L405S-108;L405S-114;L405S-115;L405S-132,11
2025-06-03,O18,975.0,975.0,1160.0,16:15,19:20,185.0,1,14.286,14.286,14.286,L405S-108,L405S-108,1
2025-06-03,O20,440.0,440.0,585.0,07:20,09:45,145.0,1,16.03,16.03,16.03,L405S-132,L405S-132,1
2025-06-03,O23,410.0,395.0,515.0,06:50,08:35,105.0,9,17.132,20.104,17.43,L405S-112,L405S-023;L405S-024;L405S-030;L405S-112;L405S-127,9
2025-06-03,O24,965.0,960.0,1135.0,16:05,18:55,170.0,4,17.132,18.224,17.132,L405S-112,L405S-023;L405S-028;L405S-112,4
2025-06-03,O29,1035.0,1035.0,1095.0,17:15,18:15,60.0,1,18.224,18.224,18.224,L405S-023,L405S-023,1
2025-06-03,O33,970.0,970.0,1095.0,16:10,18:15,125.0,4,21.997,22.96,22.31,L405S-110,L405S-109;L405S-110,4
2025-06-03,O34,990.0,990.0,1055.0,16:30,17:35,65.0,1,23.39,23.39,23.39,L405S-001,L405S-001,1
2025-06-04,O1,450.0,450.0,550.0,07:30,09:10,100.0,2,3.61,3.8,3.8,L405S-075,L405S-073;L405S-075,2
2025-06-04,O3,890.0,890.0,1130.0,14:50,18:50,240.0,2,3.61,3.8,3.61,L405S-073,L405S-073;L405S-075,2
2025-06-04,O4,1000.0,1000.0,1130.0,16:40,18:50,130.0,1,3.8,3.8,3.8,L405S-075,L405S-075,1
2025-06-04,O7,930.0,930.0,1110.0,15:30,18:30,180.0,2,5.27,5.46,5.27,L405S-066,L405S-021;L405S-066,2
2025-06-04,O8,980.0,980.0,1095.0,16:20,18:15,115.0,2,5.98,6.57,6.57,L405S-014,L405S-014;L405S-071,2
2025-06-04,O9,1010.0,1010.0,1085.0,16:50,18:05,75.0,1,6.78,6.78,6.78,L405S-061,L405S-061,1
2025-06-04,O12,415.0,415.0,560.0,06:55,09:20,145.0,1,8.17,8.17,8.17,L405S-020,L405S-020,1
2025-06-04,O14,430.0,420.0,565.0,07:10,09:25,135.0,6,8.568,9.92,9.67,L405S-012,L405S-012;L405S-013;L405S-052;L405S-055;L405S-058;L405S-123,6
2025-06-04,O16,440.0,425.0,575.0,07:20,09:35,135.0,10,10.97,14.93,14.49,L405S-108,L405S-004;L405S-005;L405S-102;L405S-108;L405S-117,10
2025-06-04,O17,500.0,500.0,570.0,08:20,09:30,70.0,2,12.927,13.07,13.07,L405S-108,L405S-108,2
2025-06-04,O23,400.0,395.0,565.0,06:40,09:25,165.0,15,15.389,20.104,16.29,L405S-115,L405S-023;L405S-024;L405S-028;L405S-030;L405S-112;L405S-114;L405S-115;L405S-127;L405S-132,15
2025-06-04,O24,1015.0,1015.0,1075.0,16:55,17:55,60.0,1,16.03,16.03,16.03,L405S-132,L405S-132,1
2025-06-04,O25,1075.0,1075.0,1160.0,17:55,19:20,85.0,1,17.43,17.43,17.43,L405S-112,L405S-112,1
2025-06-04,O26,1090.0,1090.0,1150.0,18:10,19:10,60.0,1,17.617,17.617,17.617,L405S-028,L405S-028,1
2025-06-05,O2,495.0,495.0,590.0,08:15,09:50,95.0,2,3.61,3.8,3.61,L405S-073,L405S-073;L405S-075,2
2025-06-05,O3,885.0,885.0,1135.0,14:45,18:55,250.0,2,3.61,3.8,3.61,L405S-073,L405S-073;L405S-075,2
2025-06-05,O4,485.0,485.0,575.0,08:05,09:35,90.0,2,5.27,5.46,5.27,L405S-066,L405S-021;L405S-066,2
2025-06-05,O5,900.0,900.0,1120.0,15:00,18:40,220.0,1,5.27,5.27,5.27,L405S-066,L405S-066,1
2025-06-05,O6,930.0,930.0,1115.0,15:30,18:35,185.0,1,5.46,5.46,5.46,L405S-021,L405S-021,1
2025-06-05,O7,1005.0,1005.0,1090.0,16:45,18:10,85.0,2,5.98,6.57,6.57,L405S-014,L405S-014;L405S-071,2
2025-06-05,O9,445.0,420.0,580.0,07:25,09:40,135.0,9,7.46,9.92,8.97,L405S-055,L405S-012;L405S-013;L405S-018;L405S-020;L405S-046;L405S-052;L405S-055;L405S-058;L405S-123,9
2025-06-05,O12,410.0,395.0,575.0,06:50,09:35,165.0,23,10.97,19.957,14.49,L405S-108,L405S-004;L405S-005;L405S-023;L405S-024;L405S-028;L405S-030;L405S-102;L405S-108;L405S-112;L405S-114;L405S-115;L405S-117;L405S-127;L405S-132,23
2025-06-05,O15,950.0,950.0,1100.0,15:50,18:20,150.0,1,14.286,14.286,14.286,L405S-108,L405S-108,1
2025-06-05,O17,1080.0,1080.0,1140.0,18:00,19:00,60.0,1,17.132,17.132,17.132,L405S-112,L405S-112,1
