model_link_id,tmc_id,timestamp_la,timestamp,interval_min,day_id,day_type,period_id,speed_mph,flow_rate_vph,interval_volume_veh,occupancy,sample_count,coverage_ratio,lanes,source_corridor,quality_flag,observed_or_inferred
L405S-001,1222782,2025-06-16 00:00:00-07:00,2025-06-16T07:00:00Z,5,2025-06-16,weekday,NT1,64.5,5160.0,430.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:05:00-07:00,2025-06-16T07:05:00Z,5,2025-06-16,weekday,NT1,64.7,5748.0,479.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:10:00-07:00,2025-06-16T07:10:00Z,5,2025-06-16,weekday,NT1,64.8,5724.0,477.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:15:00-07:00,2025-06-16T07:15:00Z,5,2025-06-16,weekday,NT1,65.0,5868.0,489.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:20:00-07:00,2025-06-16T07:20:00Z,5,2025-06-16,weekday,NT1,65.0,6084.0,507.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:25:00-07:00,2025-06-16T07:25:00Z,5,2025-06-16,weekday,NT1,65.0,5436.0,453.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:30:00-07:00,2025-06-16T07:30:00Z,5,2025-06-16,weekday,NT1,63.60000000000001,5688.0,474.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:35:00-07:00,2025-06-16T07:35:00Z,5,2025-06-16,weekday,NT1,64.6,5568.0,464.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:40:00-07:00,2025-06-16T07:40:00Z,5,2025-06-16,weekday,NT1,63.8,5844.0,487.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:45:00-07:00,2025-06-16T07:45:00Z,5,2025-06-16,weekday,NT1,64.4,5436.0,453.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:50:00-07:00,2025-06-16T07:50:00Z,5,2025-06-16,weekday,NT1,64.1,5256.0,438.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 00:55:00-07:00,2025-06-16T07:55:00Z,5,2025-06-16,weekday,NT1,63.60000000000001,5220.0,435.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 01:00:00-07:00,2025-06-16T08:00:00Z,5,2025-06-16,weekday,NT1,62.9,4932.0,411.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 01:05:00-07:00,2025-06-16T08:05:00Z,5,2025-06-16,weekday,NT1,63.3,5484.0,457.0,,1,1.0,5,D12_I405_S,observed_complete,observed
L405S-001,1222782,2025-06-16 01:10:00-07:00,2025-06-16T08:10:00Z,5,2025-06-16,weekday,NT1,64.3,5172.0,431.0,,1,1.0,5,D12_I405_S,observed_complete,observed
