case_id,evidence_level,profile_points,max_abs_speed_difference_mph,max_abs_queue_difference_veh
GOLD-001-baseline,synthetic_gold,101,0.0,0.0
GOLD-001-random-0001,synthetic_random,101,0.0,0.0
GOLD-001-random-0002,synthetic_random,101,0.0,0.0
GOLD-001-random-0003,synthetic_random,101,0.0,0.0
GOLD-001-random-0004,synthetic_random,101,0.0,0.0
GOLD-001-random-0005,synthetic_random,101,0.0,0.0
GOLD-001-random-0006,synthetic_random,101,0.0,0.0
GOLD-001-random-0007,synthetic_random,101,0.0,0.0
GOLD-001-random-0008,synthetic_random,101,0.0,0.0
GOLD-001-random-0009,synthetic_random,101,0.0,0.0
GOLD-001-random-0010,synthetic_random,101,0.0,0.0
GOLD-001-random-0011,synthetic_random,101,0.0,0.0
GOLD-001-random-0012,synthetic_random,101,0.0,0.0
GOLD-001-random-0013,synthetic_random,101,0.0,0.0
GOLD-001-random-0014,synthetic_random,101,0.0,0.0
GOLD-001-random-0015,synthetic_random,101,0.0,0.0
GOLD-001-random-0016,synthetic_random,101,0.0,0.0
GOLD-001-random-0017,synthetic_random,101,0.0,0.0
GOLD-001-random-0018,synthetic_random,101,0.0,0.0
GOLD-001-random-0019,synthetic_random,101,0.0,0.0
GOLD-001-random-0020,synthetic_random,101,0.0,0.0
GOLD-001-random-0021,synthetic_random,101,0.0,0.0
GOLD-001-random-0022,synthetic_random,101,0.0,0.0
GOLD-001-random-0023,synthetic_random,101,0.0,0.0
GOLD-001-random-0024,synthetic_random,101,0.0,0.0
GOLD-001-random-0025,synthetic_random,101,0.0,0.0
GOLD-001-random-0026,synthetic_random,101,0.0,0.0
GOLD-001-random-0027,synthetic_random,101,0.0,0.0
GOLD-001-random-0028,synthetic_random,101,0.0,0.0
GOLD-001-random-0029,synthetic_random,101,0.0,0.0
GOLD-001-random-0030,synthetic_random,101,0.0,0.0
GOLD-001-random-0031,synthetic_random,101,0.0,0.0
GOLD-001-random-0032,synthetic_random,101,0.0,0.0
GOLD-001-random-0033,synthetic_random,101,0.0,0.0
GOLD-001-random-0034,synthetic_random,101,0.0,0.0
GOLD-001-random-0035,synthetic_random,101,0.0,0.0
GOLD-001-random-0036,synthetic_random,101,0.0,0.0
GOLD-001-random-0037,synthetic_random,101,0.0,0.0
GOLD-001-random-0038,synthetic_random,101,0.0,0.0
GOLD-001-random-0039,synthetic_random,101,0.0,0.0
GOLD-001-random-0040,synthetic_random,101,0.0,0.0
GOLD-001-random-0041,synthetic_random,101,0.0,0.0
GOLD-001-random-0042,synthetic_random,101,0.0,0.0
GOLD-001-random-0043,synthetic_random,101,0.0,0.0
GOLD-001-random-0044,synthetic_random,101,0.0,0.0
GOLD-001-random-0045,synthetic_random,101,0.0,0.0
GOLD-001-random-0046,synthetic_random,101,0.0,0.0
GOLD-001-random-0047,synthetic_random,101,0.0,0.0
GOLD-001-random-0048,synthetic_random,101,0.0,0.0
GOLD-001-random-0049,synthetic_random,101,0.0,0.0
GOLD-001-random-0050,synthetic_random,101,0.0,0.0
GOLD-001-random-0051,synthetic_random,101,0.0,0.0
GOLD-001-random-0052,synthetic_random,101,0.0,0.0
GOLD-001-random-0053,synthetic_random,101,0.0,0.0
GOLD-001-random-0054,synthetic_random,101,0.0,0.0
GOLD-001-random-0055,synthetic_random,101,0.0,0.0
GOLD-001-random-0056,synthetic_random,101,0.0,0.0
GOLD-001-random-0057,synthetic_random,101,0.0,0.0
GOLD-001-random-0058,synthetic_random,101,0.0,0.0
GOLD-001-random-0059,synthetic_random,101,0.0,0.0
GOLD-001-random-0060,synthetic_random,101,0.0,0.0
GOLD-001-random-0061,synthetic_random,101,0.0,0.0
GOLD-001-random-0062,synthetic_random,101,0.0,0.0
GOLD-001-random-0063,synthetic_random,101,0.0,0.0
GOLD-001-random-0064,synthetic_random,101,0.0,0.0
GOLD-001-random-0065,synthetic_random,101,0.0,0.0
GOLD-001-random-0066,synthetic_random,101,0.0,0.0
GOLD-001-random-0067,synthetic_random,101,0.0,0.0
GOLD-001-random-0068,synthetic_random,101,0.0,0.0
GOLD-001-random-0069,synthetic_random,101,0.0,0.0
GOLD-001-random-0070,synthetic_random,101,0.0,0.0
GOLD-001-random-0071,synthetic_random,101,0.0,0.0
GOLD-001-random-0072,synthetic_random,101,0.0,0.0
GOLD-001-random-0073,synthetic_random,101,0.0,0.0
GOLD-001-random-0074,synthetic_random,101,0.0,0.0
GOLD-001-random-0075,synthetic_random,101,0.0,0.0
GOLD-001-random-0076,synthetic_random,101,0.0,0.0
GOLD-001-random-0077,synthetic_random,101,0.0,0.0
GOLD-001-random-0078,synthetic_random,101,0.0,0.0
GOLD-001-random-0079,synthetic_random,101,0.0,0.0
GOLD-001-random-0080,synthetic_random,101,0.0,0.0
GOLD-001-random-0081,synthetic_random,101,0.0,0.0
GOLD-001-random-0082,synthetic_random,101,0.0,0.0
GOLD-001-random-0083,synthetic_random,101,0.0,0.0
GOLD-001-random-0084,synthetic_random,101,0.0,0.0
GOLD-001-random-0085,synthetic_random,101,0.0,0.0
GOLD-001-random-0086,synthetic_random,101,0.0,0.0
GOLD-001-random-0087,synthetic_random,101,0.0,0.0
GOLD-001-random-0088,synthetic_random,101,0.0,0.0
GOLD-001-random-0089,synthetic_random,101,0.0,0.0
GOLD-001-random-0090,synthetic_random,101,0.0,0.0
GOLD-001-random-0091,synthetic_random,101,0.0,0.0
GOLD-001-random-0092,synthetic_random,101,0.0,0.0
GOLD-001-random-0093,synthetic_random,101,0.0,0.0
GOLD-001-random-0094,synthetic_random,101,0.0,0.0
GOLD-001-random-0095,synthetic_random,101,0.0,0.0
GOLD-001-random-0096,synthetic_random,101,0.0,0.0
GOLD-001-random-0097,synthetic_random,101,0.0,0.0
GOLD-001-random-0098,synthetic_random,101,0.0,0.0
GOLD-001-random-0099,synthetic_random,101,0.0,0.0
GOLD-001-random-0100,synthetic_random,101,0.0,0.0
GOLD-001-random-0101,synthetic_random,101,0.0,0.0
GOLD-001-random-0102,synthetic_random,101,0.0,0.0
GOLD-001-random-0103,synthetic_random,101,0.0,0.0
GOLD-001-random-0104,synthetic_random,101,0.0,0.0
GOLD-001-random-0105,synthetic_random,101,0.0,0.0
GOLD-001-random-0106,synthetic_random,101,0.0,0.0
GOLD-001-random-0107,synthetic_random,101,0.0,0.0
GOLD-001-random-0108,synthetic_random,101,0.0,0.0
GOLD-001-random-0109,synthetic_random,101,0.0,0.0
GOLD-001-random-0110,synthetic_random,101,0.0,0.0
GOLD-001-random-0111,synthetic_random,101,0.0,0.0
GOLD-001-random-0112,synthetic_random,101,0.0,0.0
GOLD-001-random-0113,synthetic_random,101,0.0,0.0
GOLD-001-random-0114,synthetic_random,101,0.0,0.0
GOLD-001-random-0115,synthetic_random,101,0.0,0.0
GOLD-001-random-0116,synthetic_random,101,0.0,0.0
GOLD-001-random-0117,synthetic_random,101,0.0,0.0
GOLD-001-random-0118,synthetic_random,101,0.0,0.0
GOLD-001-random-0119,synthetic_random,101,0.0,0.0
GOLD-001-random-0120,synthetic_random,101,0.0,0.0
GOLD-001-random-0121,synthetic_random,101,0.0,0.0
GOLD-001-random-0122,synthetic_random,101,0.0,0.0
GOLD-001-random-0123,synthetic_random,101,0.0,0.0
GOLD-001-random-0124,synthetic_random,101,0.0,0.0
GOLD-001-random-0125,synthetic_random,101,0.0,0.0
GOLD-001-random-0126,synthetic_random,101,0.0,0.0
GOLD-001-random-0127,synthetic_random,101,0.0,0.0
GOLD-001-random-0128,synthetic_random,101,0.0,0.0
GOLD-001-random-0129,synthetic_random,101,0.0,0.0
GOLD-001-random-0130,synthetic_random,101,0.0,0.0
GOLD-001-random-0131,synthetic_random,101,0.0,0.0
GOLD-001-random-0132,synthetic_random,101,0.0,0.0
GOLD-001-random-0133,synthetic_random,101,0.0,0.0
GOLD-001-random-0134,synthetic_random,101,0.0,0.0
GOLD-001-random-0135,synthetic_random,101,0.0,0.0
GOLD-001-random-0136,synthetic_random,101,0.0,0.0
GOLD-001-random-0137,synthetic_random,101,0.0,0.0
GOLD-001-random-0138,synthetic_random,101,0.0,0.0
GOLD-001-random-0139,synthetic_random,101,0.0,0.0
GOLD-001-random-0140,synthetic_random,101,0.0,0.0
GOLD-001-random-0141,synthetic_random,101,0.0,0.0
GOLD-001-random-0142,synthetic_random,101,0.0,0.0
GOLD-001-random-0143,synthetic_random,101,0.0,0.0
GOLD-001-random-0144,synthetic_random,101,0.0,0.0
GOLD-001-random-0145,synthetic_random,101,0.0,0.0
GOLD-001-random-0146,synthetic_random,101,0.0,0.0
GOLD-001-random-0147,synthetic_random,101,0.0,0.0
GOLD-001-random-0148,synthetic_random,101,0.0,0.0
GOLD-001-random-0149,synthetic_random,101,0.0,0.0
GOLD-001-random-0150,synthetic_random,101,0.0,0.0
GOLD-001-random-0151,synthetic_random,101,0.0,0.0
GOLD-001-random-0152,synthetic_random,101,0.0,0.0
GOLD-001-random-0153,synthetic_random,101,0.0,0.0
GOLD-001-random-0154,synthetic_random,101,0.0,0.0
GOLD-001-random-0155,synthetic_random,101,0.0,0.0
GOLD-001-random-0156,synthetic_random,101,0.0,0.0
GOLD-001-random-0157,synthetic_random,101,0.0,0.0
GOLD-001-random-0158,synthetic_random,101,0.0,0.0
GOLD-001-random-0159,synthetic_random,101,0.0,0.0
GOLD-001-random-0160,synthetic_random,101,0.0,0.0
GOLD-001-random-0161,synthetic_random,101,0.0,0.0
GOLD-001-random-0162,synthetic_random,101,0.0,0.0
GOLD-001-random-0163,synthetic_random,101,0.0,0.0
GOLD-001-random-0164,synthetic_random,101,0.0,0.0
GOLD-001-random-0165,synthetic_random,101,0.0,0.0
GOLD-001-random-0166,synthetic_random,101,0.0,0.0
GOLD-001-random-0167,synthetic_random,101,0.0,0.0
GOLD-001-random-0168,synthetic_random,101,0.0,0.0
GOLD-001-random-0169,synthetic_random,101,0.0,0.0
GOLD-001-random-0170,synthetic_random,101,0.0,0.0
GOLD-001-random-0171,synthetic_random,101,0.0,0.0
GOLD-001-random-0172,synthetic_random,101,0.0,0.0
GOLD-001-random-0173,synthetic_random,101,0.0,0.0
GOLD-001-random-0174,synthetic_random,101,0.0,0.0
GOLD-001-random-0175,synthetic_random,101,0.0,0.0
GOLD-001-random-0176,synthetic_random,101,0.0,0.0
GOLD-001-random-0177,synthetic_random,101,0.0,0.0
GOLD-001-random-0178,synthetic_random,101,0.0,0.0
GOLD-001-random-0179,synthetic_random,101,0.0,0.0
GOLD-001-random-0180,synthetic_random,101,0.0,0.0
GOLD-001-random-0181,synthetic_random,101,0.0,0.0
GOLD-001-random-0182,synthetic_random,101,0.0,0.0
GOLD-001-random-0183,synthetic_random,101,0.0,0.0
GOLD-001-random-0184,synthetic_random,101,0.0,0.0
GOLD-001-random-0185,synthetic_random,101,0.0,0.0
GOLD-001-random-0186,synthetic_random,101,0.0,0.0
GOLD-001-random-0187,synthetic_random,101,0.0,0.0
GOLD-001-random-0188,synthetic_random,101,0.0,0.0
GOLD-001-random-0189,synthetic_random,101,0.0,0.0
GOLD-001-random-0190,synthetic_random,101,0.0,0.0
GOLD-001-random-0191,synthetic_random,101,0.0,0.0
GOLD-001-random-0192,synthetic_random,101,0.0,0.0
GOLD-001-random-0193,synthetic_random,101,0.0,0.0
GOLD-001-random-0194,synthetic_random,101,0.0,0.0
GOLD-001-random-0195,synthetic_random,101,0.0,0.0
GOLD-001-random-0196,synthetic_random,101,0.0,0.0
GOLD-001-random-0197,synthetic_random,101,0.0,0.0
GOLD-001-random-0198,synthetic_random,101,0.0,0.0
GOLD-001-random-0199,synthetic_random,101,0.0,0.0
GOLD-001-random-0200,synthetic_random,101,0.0,0.0
GOLD-001-random-0201,synthetic_random,101,0.0,0.0
GOLD-001-random-0202,synthetic_random,101,0.0,0.0
GOLD-001-random-0203,synthetic_random,101,0.0,0.0
GOLD-001-random-0204,synthetic_random,101,0.0,0.0
GOLD-001-random-0205,synthetic_random,101,0.0,0.0
GOLD-001-random-0206,synthetic_random,101,0.0,0.0
GOLD-001-random-0207,synthetic_random,101,0.0,0.0
GOLD-001-random-0208,synthetic_random,101,0.0,0.0
GOLD-001-random-0209,synthetic_random,101,0.0,0.0
GOLD-001-random-0210,synthetic_random,101,0.0,0.0
GOLD-001-random-0211,synthetic_random,101,0.0,0.0
GOLD-001-random-0212,synthetic_random,101,0.0,0.0
GOLD-001-random-0213,synthetic_random,101,0.0,0.0
GOLD-001-random-0214,synthetic_random,101,0.0,0.0
GOLD-001-random-0215,synthetic_random,101,0.0,0.0
GOLD-001-random-0216,synthetic_random,101,0.0,0.0
GOLD-001-random-0217,synthetic_random,101,0.0,0.0
GOLD-001-random-0218,synthetic_random,101,0.0,0.0
GOLD-001-random-0219,synthetic_random,101,0.0,0.0
GOLD-001-random-0220,synthetic_random,101,0.0,0.0
GOLD-001-random-0221,synthetic_random,101,0.0,0.0
GOLD-001-random-0222,synthetic_random,101,0.0,0.0
GOLD-001-random-0223,synthetic_random,101,0.0,0.0
GOLD-001-random-0224,synthetic_random,101,0.0,0.0
GOLD-001-random-0225,synthetic_random,101,0.0,0.0
GOLD-001-random-0226,synthetic_random,101,0.0,0.0
GOLD-001-random-0227,synthetic_random,101,0.0,0.0
GOLD-001-random-0228,synthetic_random,101,0.0,0.0
GOLD-001-random-0229,synthetic_random,101,0.0,0.0
GOLD-001-random-0230,synthetic_random,101,0.0,0.0
GOLD-001-random-0231,synthetic_random,101,0.0,0.0
GOLD-001-random-0232,synthetic_random,101,0.0,0.0
GOLD-001-random-0233,synthetic_random,101,0.0,0.0
GOLD-001-random-0234,synthetic_random,101,0.0,0.0
GOLD-001-random-0235,synthetic_random,101,0.0,0.0
GOLD-001-random-0236,synthetic_random,101,0.0,0.0
GOLD-001-random-0237,synthetic_random,101,0.0,0.0
GOLD-001-random-0238,synthetic_random,101,0.0,0.0
GOLD-001-random-0239,synthetic_random,101,0.0,0.0
GOLD-001-random-0240,synthetic_random,101,0.0,0.0
GOLD-001-random-0241,synthetic_random,101,0.0,0.0
GOLD-001-random-0242,synthetic_random,101,0.0,0.0
GOLD-001-random-0243,synthetic_random,101,0.0,0.0
GOLD-001-random-0244,synthetic_random,101,0.0,0.0
GOLD-001-random-0245,synthetic_random,101,0.0,0.0
GOLD-001-random-0246,synthetic_random,101,0.0,0.0
GOLD-001-random-0247,synthetic_random,101,0.0,0.0
GOLD-001-random-0248,synthetic_random,101,0.0,0.0
GOLD-001-random-0249,synthetic_random,101,0.0,0.0
GOLD-001-random-0250,synthetic_random,101,0.0,0.0
GOLD-001-random-0251,synthetic_random,101,0.0,0.0
