link_id,local_date,episode_count,day_status,free_speed_p95_mph,input_samples
L405S-012,2025-06-02,1,episode_detected,68.3,288
L405S-012,2025-06-03,2,episode_detected,68.3,288
L405S-012,2025-06-04,1,episode_detected,68.3,288
L405S-012,2025-06-05,1,episode_detected,68.3,288
L405S-012,2025-06-06,0,no_congestion_not_identifiable,68.3,288
L405S-018,2025-06-02,1,episode_detected,68.5,288
L405S-018,2025-06-03,2,episode_detected,68.5,288
L405S-018,2025-06-04,1,episode_detected,68.5,288
L405S-018,2025-06-05,2,episode_detected,68.5,288
L405S-018,2025-06-06,0,no_congestion_not_identifiable,68.5,288
L405S-028,2025-06-02,0,no_congestion_not_identifiable,69.1,288
L405S-028,2025-06-03,2,episode_detected,69.1,288
L405S-028,2025-06-04,2,episode_detected,69.1,288
L405S-028,2025-06-05,1,episode_detected,69.1,288
L405S-028,2025-06-06,0,no_congestion_not_identifiable,69.1,288
L405S-030,2025-06-02,1,episode_detected,68.975,288
L405S-030,2025-06-03,1,episode_detected,68.975,288
L405S-030,2025-06-04,1,episode_detected,68.975,288
L405S-030,2025-06-05,0,no_congestion_not_identifiable,68.975,288
L405S-030,2025-06-06,0,no_congestion_not_identifiable,68.975,288
L405S-058,2025-06-02,0,no_congestion_not_identifiable,66.8,288
L405S-058,2025-06-03,1,episode_detected,66.8,288
L405S-058,2025-06-04,2,episode_detected,66.8,288
L405S-058,2025-06-05,1,episode_detected,66.8,288
L405S-058,2025-06-06,0,no_congestion_not_identifiable,66.8,288
L405S-098,2025-06-02,0,no_congestion_not_identifiable,72.10499999999999,288
L405S-098,2025-06-03,0,no_congestion_not_identifiable,72.10499999999999,288
L405S-098,2025-06-04,0,no_congestion_not_identifiable,72.10499999999999,288
L405S-098,2025-06-05,0,no_congestion_not_identifiable,72.10499999999999,288
L405S-098,2025-06-06,0,no_congestion_not_identifiable,72.10499999999999,288
L405S-115,2025-06-02,2,episode_detected,71.005,288
L405S-115,2025-06-03,1,episode_detected,71.005,288
L405S-115,2025-06-04,1,episode_detected,71.005,288
L405S-115,2025-06-05,1,episode_detected,71.005,288
L405S-115,2025-06-06,0,no_congestion_not_identifiable,71.005,288
