link_id,speed_episode_id,paq_object,match_status,overlap_iou,overlap_min,speed_t0_la,speed_T2_la,speed_t3_la,speed_P_h,paq_t0_la,paq_T2_target_speed_la,paq_t3_la,paq_P_h,paq_target_vT2_mph,delta_t0_min,delta_T2_min,delta_t3_min,delta_P_min,paq_xstar_link_id,paq_range_link_ids
L405S-012,L405S-012-2025-06-03-E1,O10,matched,0.9378079330367366,185.0,2025-06-03T06:41:15.762711-07:00,2025-06-03T08:25:00-07:00,2025-06-03T09:58:31.874999-07:00,3.287808968888889,2025-06-03T06:45:00-07:00,2025-06-03T08:25:00-07:00,2025-06-03T09:50:00-07:00,3.0833333333333335,22.5,-3.73728815,0.0,8.531249983333334,12.268538133333342,L405S-012,L405S-012;L405S-013;L405S-020;L405S-052;L405S-055;L405S-123
L405S-012,L405S-012-2025-06-04-E1,O14,matched,0.9105004327380931,135.0,2025-06-04T07:05:16.027397-07:00,2025-06-04T08:20:00-07:00,2025-06-04T09:33:32.234042-07:00,2.4711685125000002,2025-06-04T07:10:00-07:00,2025-06-04T08:20:00-07:00,2025-06-04T09:25:00-07:00,2.25,27.800000000000004,-4.7328767166666665,0.0,8.537234033333334,13.270110750000015,L405S-012,L405S-012;L405S-013;L405S-052;L405S-055;L405S-058;L405S-123
L405S-012,L405S-012-2025-06-05-E1,O9,matched,0.8154899951810793,135.0,2025-06-05T06:56:38.571428-07:00,2025-06-05T08:40:00-07:00,2025-06-05T09:42:11.249999-07:00,2.7590773808333333,2025-06-05T07:25:00-07:00,2025-06-05T08:40:00-07:00,2025-06-05T09:40:00-07:00,2.25,22.9,-28.357142866666667,0.0,2.1874999833333333,30.54464285,L405S-055,L405S-012;L405S-013;L405S-018;L405S-020;L405S-046;L405S-052;L405S-055;L405S-058;L405S-123
L405S-012,L405S-012-2025-06-02-E1,O4,matched,0.6855535046343139,95.0,2025-06-02T06:54:49.354838-07:00,2025-06-02T08:25:00-07:00,2025-06-02T09:13:23.804347-07:00,2.3095693080555555,2025-06-02T07:35:00-07:00,2025-06-02T08:25:00-07:00,2025-06-02T09:10:00-07:00,1.5833333333333333,32.3,-40.17741936666666,0.0,3.3967391166666667,43.574158483333335,L405S-055,L405S-012;L405S-013;L405S-020;L405S-052;L405S-055;L405S-123
L405S-012,L405S-012-2025-06-03-E2,,speed_only,,,2025-06-03T17:23:17.294117-07:00,2025-06-03T17:30:00-07:00,2025-06-03T17:48:57.828947-07:00,0.4279263416666667,,,,,,,,,,,
L405S-018,L405S-018-2025-06-05-E1,O9,matched,0.9409422623688295,127.4375,2025-06-05T07:32:33.750000-07:00,2025-06-05T08:40:00-07:00,2025-06-05T09:40:26.162790-07:00,2.131225775,2025-06-05T07:25:00-07:00,2025-06-05T08:40:00-07:00,2025-06-05T09:40:00-07:00,2.25,41.0,7.5625,0.0,0.4360465,-7.126453500000007,L405S-055,L405S-012;L405S-013;L405S-018;L405S-020;L405S-046;L405S-052;L405S-055;L405S-058;L405S-123
L405S-018,L405S-018-2025-06-03-E2,O6,matched,0.9096594228353412,133.6622807,2025-06-03T16:18:03.802816-07:00,2025-06-03T17:15:00-07:00,2025-06-03T18:33:39.736842-07:00,2.259981673888889,2025-06-03T16:20:00-07:00,2025-06-03T17:15:00-07:00,2025-06-03T18:45:00-07:00,2.4166666666666665,27.500000000000004,-1.9366197333333333,0.0,-11.3377193,-9.401099566666655,L405S-014,L405S-014;L405S-018;L405S-020;L405S-046;L405S-061;L405S-071
L405S-018,L405S-018-2025-06-02-E1,,speed_only,,,2025-06-02T17:16:03-07:00,2025-06-02T17:25:00-07:00,2025-06-02T17:37:31.315789-07:00,0.3578654969444444,,,,,,,,,,,
L405S-018,L405S-018-2025-06-03-E1,,speed_only,,,2025-06-03T07:55:57.352941-07:00,2025-06-03T08:10:00-07:00,2025-06-03T09:24:49.285714-07:00,1.4810924369444445,,,,,,,,,,,
L405S-018,L405S-018-2025-06-04-E1,,speed_only,,,2025-06-04T17:14:24.473684-07:00,2025-06-04T17:30:00-07:00,2025-06-04T17:47:01.874999-07:00,0.5437225875,,,,,,,,,,,
