link_id,tmc_id,period,mu_ref_vehph
L405S-001,1222782,NT1,5181.6
L405S-001,1222782,AM,5467.2
L405S-001,1222782,MD,3506.3999999999996
L405S-001,1222782,PM,979.2
L405S-001,1222782,NT2,4708.8
L405S-001,1223027,NT1,6427.2
L405S-001,1223027,AM,7072.8
L405S-001,1223027,MD,4041.6000000000004
L405S-001,1223027,PM,1008.0
L405S-001,1223027,NT2,5452.8
L405S-004,1201525,NT1,8862.0
L405S-004,1201525,AM,8373.6
L405S-004,1201525,MD,4611.6
L405S-004,1201525,PM,919.2
L405S-004,1201525,NT2,8940.0
L405S-005,1201589,NT1,8160.0
L405S-005,1201589,AM,7771.2
L405S-005,1201589,MD,4465.200000000001
L405S-005,1201589,PM,936.0
L405S-005,1201589,NT2,8508.0
L405S-012,1214081,NT1,6693.6
L405S-012,1214081,AM,5440.8
L405S-012,1214081,MD,3423.6000000000004
L405S-012,1214081,PM,734.4
L405S-012,1214081,NT2,6477.6
L405S-014,1201315,NT1,6204.0
L405S-014,1201315,AM,6768.0
L405S-014,1201315,MD,4278.0
L405S-014,1201315,PM,612.0
L405S-014,1201315,NT2,1356.0
L405S-020,1201419,NT1,6824.4
L405S-020,1201419,AM,7656.0
L405S-020,1201419,MD,4582.8
L405S-020,1201419,PM,825.6
L405S-020,1201419,NT2,7293.6
L405S-023,1222845,NT1,7362.0
L405S-023,1222845,AM,7512.0
L405S-023,1222845,MD,3342.0
L405S-023,1222845,PM,1296.0
L405S-023,1222845,NT2,7176.0
L405S-024,1222909,NT1,7104.0
L405S-024,1222909,AM,7224.0
L405S-024,1222909,MD,3982.8
L405S-024,1222909,PM,936.0
L405S-024,1222909,NT2,6946.799999999999
L405S-041,1201497,NT1,7876.0
L405S-041,1201497,AM,7458.0
L405S-041,1201497,MD,5517.0
L405S-041,1201497,PM,2496.0
L405S-041,1201497,NT2,4641.0
L405S-041,1222412,NT1,5683.2
L405S-041,1222412,AM,6100.8
L405S-041,1222412,MD,3750.0
L405S-041,1222412,PM,655.2
L405S-041,1222412,NT2,1012.8
L405S-055,1214209,NT1,8392.8
L405S-055,1214209,AM,7094.4
L405S-055,1214209,MD,4986.0
L405S-055,1214209,PM,904.8
L405S-055,1214209,NT2,8277.6
L405S-061,1201350,NT1,5313.6
L405S-061,1201350,AM,6304.8
L405S-061,1201350,MD,3853.2
L405S-061,1201350,PM,691.2
L405S-061,1201350,NT2,5251.2
L405S-108,1201620,NT1,4000.0
L405S-108,1201620,AM,4000.0
L405S-108,1201620,MD,4000.0
L405S-108,1201620,PM,876.0
L405S-108,1201620,NT2,4000.0
L405S-108,1201653,NT1,4000.0
L405S-108,1201653,AM,4000.0
L405S-108,1201653,MD,3315.6000000000004
L405S-108,1201653,PM,741.6
L405S-108,1201653,NT2,4000.0
L405S-108,1201719,NT1,4000.0
L405S-108,1201719,AM,4000.0
L405S-108,1201719,MD,3223.2
L405S-108,1201719,PM,688.8
L405S-108,1201719,NT2,4000.0
L405S-108,1222728,NT1,4000.0
L405S-108,1222728,AM,4000.0
L405S-108,1222728,MD,4000.0
L405S-108,1222728,PM,849.6
L405S-108,1222728,NT2,1348.8000000000002
L405S-109,1222978,NT1,2000.0
L405S-109,1222978,AM,2000.0
L405S-109,1222978,MD,2000.0
L405S-109,1222978,PM,1437.6
L405S-109,1222978,NT2,2000.0
L405S-110,1201941,NT1,4000.0
L405S-110,1201941,AM,4000.0
L405S-110,1201941,MD,4000.0
L405S-110,1201941,PM,1392.0
L405S-110,1201941,NT2,4000.0
L405S-110,1223081,NT1,4000.0
L405S-110,1223081,AM,4000.0
L405S-110,1223081,MD,3966.0
L405S-110,1223081,PM,950.4
L405S-110,1223081,NT2,4000.0
L405S-117,1201558,NT1,4000.0
L405S-117,1201558,AM,4000.0
L405S-117,1201558,MD,4000.0
L405S-117,1201558,PM,823.2
L405S-117,1201558,NT2,4000.0
L405S-123,1201469,NT1,7414.8
L405S-123,1201469,AM,5889.6
L405S-123,1201469,MD,3946.8
L405S-123,1201469,PM,816.0
L405S-123,1201469,NT2,7339.2
L405S-132,1222749,NT1,4000.0
L405S-132,1222749,AM,4000.0
L405S-132,1222749,MD,4000.0
L405S-132,1222749,PM,897.6
L405S-132,1222749,NT2,4000.0
