link_id,tmc_id,time_of_day,speed_mph,flow_vehph,arrival_vehph,period,flow_speed_only_vehph,flow_ref_vehph,flow_ref_source,flow_observed_vehph,volume_anchor_factor,lambda_ref_vehph,lambda_ref_source,mu_ref_vehph,queue_start_veh,queue_end_veh,realized_departure_vehph,cumulative_arrivals_veh,cumulative_departures_veh,waiting_time_min,travel_time_min,net_flow_ref_vehph,dt_minutes,initial_queue_veh
L405S-001,1222782,00:00,69.34,1881.6,1881.6,NT1,0.0,0.0,speed_to_volume:s3+period_volume_anchor,1881.6,0.6336409239285495,1881.6,observed_arrival,3511.2,0.0,0.0,1881.6,156.79999999999998,156.79999999999998,0.0,0.5565714285714286,-1629.6,5,0.0
L405S-001,1222782,00:05,68.62,1543.2,1543.2,NT1,2633.181021102376,1668.4912550824308,speed_to_volume:s3+period_volume_anchor,1543.2,0.6336409239285495,1543.2,observed_arrival,3511.2,0.0,0.0,1543.2,285.4,285.4,0.0,0.5565714285714286,-1967.9999999999998,5,0.0
L405S-001,1222782,00:10,68.4,1588.8,1588.8,NT1,3069.3339080246938,1944.8555733259927,speed_to_volume:s3+period_volume_anchor,1588.8,0.6336409239285495,1588.8,observed_arrival,3511.2,0.0,0.0,1588.7999999999997,417.79999999999995,417.79999999999995,0.0,0.5565714285714286,-1922.3999999999999,5,0.0
L405S-001,1222782,00:15,68.58,1668.0,1668.0,NT1,2731.2538656428246,1730.6342229093418,speed_to_volume:s3+period_volume_anchor,1668.0,0.6336409239285495,1668.0,observed_arrival,3511.2,0.0,0.0,1668.0,556.8,556.8,0.0,0.5565714285714286,-1843.1999999999998,5,0.0
L405S-001,1222782,00:20,68.78,1461.6,1461.6,NT1,2016.9880399668991,1278.0461651974601,speed_to_volume:s3+period_volume_anchor,1461.6,0.6336409239285495,1461.6,observed_arrival,3511.2,0.0,0.0,1461.6,678.5999999999999,678.5999999999999,0.0,0.5565714285714286,-2049.6,5,0.0
L405S-001,1222782,00:25,68.26,1581.6,1581.6,NT1,3264.9438476355426,2068.8020361906188,speed_to_volume:s3+period_volume_anchor,1581.6,0.6336409239285495,1581.6,observed_arrival,3511.2,0.0,0.0,1581.6,810.3999999999999,810.3999999999999,0.0,0.5565714285714286,-1929.6,5,0.0
L405S-001,1222782,00:30,67.16,1468.8,1468.8,NT1,4133.82654735978,2619.3616728294173,speed_to_volume:s3+period_volume_anchor,1468.8,0.6336409239285495,1468.8,observed_arrival,3511.2,0.0,0.0,1468.8,932.7999999999998,932.7999999999998,0.0,0.5565714285714286,-2042.3999999999999,5,0.0
L405S-001,1222782,00:35,66.66,1365.6,1365.6,NT1,4372.342098869458,2770.494887259337,speed_to_volume:s3+period_volume_anchor,1365.6,0.6336409239285495,1365.6,observed_arrival,3511.2,0.0,0.0,1365.6,1046.6,1046.6,0.0,0.5565714285714286,-2145.6,5,0.0
L405S-001,1222782,00:40,67.38000000000001,1204.8,1204.8,NT1,4009.0930472819764,2540.3254225952755,speed_to_volume:s3+period_volume_anchor,1204.8,0.6336409239285495,1204.8,observed_arrival,3511.2,0.0,0.0,1204.8,1147.0,1147.0,0.0,0.5565714285714286,-2306.3999999999996,5,0.0
L405S-001,1222782,00:45,67.42,1216.8,1216.8,NT1,3984.7423230395325,2524.8958071879642,speed_to_volume:s3+period_volume_anchor,1216.8,0.6336409239285495,1216.8,observed_arrival,3511.2,0.0,0.0,1216.8,1248.4,1248.4,0.0,0.5565714285714286,-2294.3999999999996,5,0.0
L405S-001,1222782,00:50,68.26,1041.6,1041.6,NT1,3264.9438476355426,2068.8020361906188,speed_to_volume:s3+period_volume_anchor,1041.6,0.6336409239285495,1041.6,observed_arrival,3511.2,0.0,0.0,1041.6,1335.2,1335.2,0.0,0.5565714285714286,-2469.6,5,0.0
L405S-001,1222782,00:55,67.84,1094.4,1094.4,NT1,3687.4904237852015,2336.544839104934,speed_to_volume:s3+period_volume_anchor,1094.4,0.6336409239285495,1094.4,observed_arrival,3511.2,0.0,0.0,1094.4,1426.4,1426.4,0.0,0.5565714285714286,-2416.7999999999997,5,0.0
L405S-001,1222782,01:00,68.34,996.0,996.0,NT1,3158.2879912226367,2001.2205207907543,speed_to_volume:s3+period_volume_anchor,996.0,0.6336409239285495,996.0,observed_arrival,3511.2,0.0,0.0,996.0,1509.4,1509.4,0.0,0.5565714285714286,-2515.2,5,0.0
L405S-001,1222782,01:05,68.02000000000001,854.4,854.4,NT1,3527.9178048406015,2235.433097403179,speed_to_volume:s3+period_volume_anchor,854.4,0.6336409239285495,854.4,observed_arrival,3511.2,0.0,0.0,854.3999999999999,1580.6000000000001,1580.6000000000001,0.0,0.5565714285714286,-2656.7999999999997,5,0.0
L405S-001,1222782,01:10,68.76,808.8,808.8,NT1,2131.5281884061396,1350.6234906814138,speed_to_volume:s3+period_volume_anchor,808.8,0.6336409239285495,808.8,observed_arrival,3511.2,0.0,0.0,808.8,1648.0000000000002,1648.0000000000002,0.0,0.5565714285714286,-2702.3999999999996,5,0.0
L405S-001,1222782,01:15,68.28,828.0,828.0,NT1,3239.3987923377517,2052.6156437499208,speed_to_volume:s3+period_volume_anchor,828.0,0.6336409239285495,828.0,observed_arrival,3511.2,0.0,0.0,828.0,1717.0000000000002,1717.0000000000002,0.0,0.5565714285714286,-2683.2,5,0.0
