corridor,link_id,period,period_hours,lanes,length_mi,capacity_vphpl,capacity_vph,cutoff_mph,free_speed_mph,f_d,n,f_p,s,minimum_speed_mph,volume_V_speed_derived_veh,demand_D_speed_derived_vph,k_d_speed_derived,P_h,t0_min,T2_min,t3_min,vT2_mph,episode_identified,x_hat_D_over_C,demand_D_inferred_vph,volume_V_inferred_veh,z_predicted,vT2_predicted_mph,z_from_speed,demand_D_delta,demand_D_ape_pct,volume_V_delta,volume_V_ape_pct
I-395 NB,1,AM,5.0,1,0.135,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,18.34,9298.300000000001,2123.3,1.1417678500371036,4.25,345.0,510.0,600.0,18.34,True,3.864996314627288,8502.991892180033,37236.080398934486,1.9876924701624283,16.400617027808114,1.67175572519084,6379.6918921800325,300.4611638572049,27937.780398934483,300.4611638572049
I-395 NB,2,AM,5.0,1,0.024,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,21.53,9536.3,2137.2,1.1205603850550003,3.75,375.0,510.0,600.0,21.53,True,3.414561542338905,7512.035393145591,33519.101216383264,1.302467992558965,21.281511907377855,1.2758941012540639,5374.835393145591,251.48958418236907,23982.801216383265,251.48958418236913
I-395 NB,3,AM,5.0,1,0.924,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,28.43,9486.000000000002,2059.0,1.0852835757959096,3.25,390.0,465.0,585.0,28.43,True,2.9635240458126657,6519.752900787865,30037.09374301782,0.8032947601450787,27.172485099473064,0.723531480830109,4460.752900787865,216.64657118930864,20551.093743017816,216.6465711893086
I-395 NB,4,AM,5.0,1,1.151,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,45.16,10266.400000000001,2144.1000000000004,1.0442316683550223,2.25,405.0,450.0,540.0,45.16,True,2.0592281329254645,4530.301892436022,21692.034582577853,0.2320156486176205,39.772222093916014,0.08503100088573978,2386.201892436022,111.29153922093286,11425.634582577852,111.29153922093285
I-395 NB,5,AM,5.0,1,0.273,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,21.52,9344.0,2121.6,1.1352739726027397,3.75,375.0,480.0,600.0,21.52,True,3.414561542338905,7512.035393145591,33084.68076619175,1.302467992558965,21.281511907377855,1.2769516728624537,5390.435393145592,254.07406641900417,23740.68076619175,254.07406641900417
I-395 NB,6,AM,5.0,1,0.779,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,44.46,10262.400000000001,2147.5,1.0462952135952601,1.5,450.0,480.0,540.0,44.46,True,1.378395803002334,3032.470766605135,14491.46821662796,0.058993514298304926,46.2703494765666,0.10211426000899682,884.9707666051349,41.20934885239278,4229.0682166279585,41.20934885239279
I-395 NB,7,AM,5.0,1,0.083,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,44.32,10396.899999999998,2170.8,1.0439650280372037,1.75,420.0,465.0,525.0,44.32,True,1.6056516506263308,3532.4336313779277,16918.352322679733,0.09928957709013948,44.574242329946244,0.10559566787003605,1361.6336313779275,62.72496919927802,6521.4523226797355,62.72496919927802
I-395 NB,8,AM,5.0,1,0.053,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,50.87,10079.400000000001,2163.4,1.0731789590650236,,,,,,False,,,,,,,,,,
I-395 NB,9,AM,5.0,1,0.344,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,30.91,9894.099999999999,2102.2999999999997,1.0624008247339323,2.75,405.0,480.0,570.0,30.91,True,2.511789398723859,5525.93667719249,26006.835407796327,0.45692988751226354,33.63236654007316,0.5852474927208022,3423.63667719249,162.8519562951287,16112.735407796328,162.85195629512873
I-395 NB,10,AM,5.0,1,0.081,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,13.87,8574.6,2112.0,1.2315443285984184,4.75,315.0,510.0,600.0,13.87,True,4.314900293806259,9492.78064637377,38540.15006174079,2.8939337641575964,12.583675780782198,2.5328046142754146,7380.780646373771,349.4687806048187,29965.55006174079,349.46878060481873
I-395 NB,11,AM,5.0,1,0.095,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,37.87,10226.099999999999,2158.4,1.0553387899590265,1.75,465.0,510.0,570.0,37.87,True,1.6056516506263308,3532.4336313779277,16736.01721545303,0.09928957709013948,44.574242329946244,0.2939001848428837,1374.0336313779276,63.65982354419605,6509.9172154530315,63.65982354419605
I-395 NB,12,AM,5.0,1,0.162,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,14.04,8463.9,2104.7,1.2433393589243729,5.0,300.0,495.0,600.0,14.04,True,4.539671395604868,9987.27707033071,40163.11797195425,3.4413009525883305,11.032803343678717,2.4900284900284904,7882.577070330711,374.52259563504117,31699.217971954247,374.52259563504117
I-395 NB,13,AM,5.0,1,0.139,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,15.36,8905.5,2125.4,1.1933075065970469,4.5,330.0,510.0,600.0,15.36,True,4.09001081703371,8998.023797474163,37702.03299539199,2.410937110014352,14.365553635139824,2.190104166666667,6872.623797474163,323.35672332145305,28796.532995391994,323.356723321453
