t_min,queue_veh,period,demand_vph
300.0,29.941326321830992,AM,2000.2823315188978
315.0,35.011909201555454,AM,2028.588550533013
330.0,47.15904683480871,AM,2027.6182070540622
345.0,59.063598598324255,AM,2046.3975694952571
360.0,75.66299097213853,AM,2067.3823004669907
375.0,97.50856608888618,AM,2112.2628460512274
390.0,130.57427760169298,AM,2106.067642131031
405.0,162.09118813445065,AM,2106.5985134860757
420.0,193.7408165059696,AM,2137.813328605035
435.0,233.19414865722845,AM,2222.841180652757
450.0,293.9044438204177,AM,2238.9389552794373
465.0,358.6391826402771,AM,2143.500978481606
480.0,399.51442726067864,AM,2039.9882825322154
495.0,414.5114978937325,AM,1952.7677924049817
510.0,407.7034459949779,AM,1765.5073443153203
525.0,354.080282073808,AM,1678.3547768771875
540.0,278.6689762931049,AM,1733.2379374911338
555.0,216.97846066588832,AM,1827.1047967620132
570.0,178.7546598563916,AM,1860.0870979921401
585.0,148.7764343544266,AM,1868.5236646287685
600.0,120.90735051161877,MD,1900.9600606444887
615.0,101.14736567274093,MD,1940.5049465899665
630.0,91.27360232023256,MD,1952.534388966113
645.0,84.40719956176083,MD,1962.5257913536652
660.0,80.03864740017713,MD,1967.9240245539759
675.0,77.01965353867107,MD,1987.8648016028806
690.0,78.98585393939119,MD,1984.1867466958802
705.0,80.03254061336122,MD,1982.8502820426215
720.0,80.74511112401659,MD,1976.405777355349
735.0,79.84655546285386,MD,1978.6809509825684
750.0,79.51679320849594,MD,1975.3647634245954
765.0,78.3579840646448,MD,1979.7854570595005
780.0,78.3043483295199,MD,1983.7305804184691
795.0,79.23699343413716,MD,1981.5922554229176
810.0,79.63505728986657,MD,1984.6932171724932
825.0,80.80836158298987,MD,2010.0717350919617
840.0,88.32629535598028,PM,2039.341277104993
855.0,103.16161463222853,PM,2063.2805628975407
870.0,123.9817553566137,PM,2039.5988322266671
885.0,138.88146341328047,PM,2052.7977683113277
900.0,157.08090549111242,PM,2046.8563860608351
915.0,173.79500200632117,PM,2060.474325692506
930.0,193.91358342944775,PM,2058.203363890884
945.0,213.46442440216873,PM,2064.247230780279
960.0,234.52623209723853,PM,2065.46846037328
975.0,255.89334719055847,PM,2060.2057932161683
990.0,275.94479549460056,PM,2058.687971235076
1005.0,295.61678830336956,PM,2065.2472123552734
1020.0,316.9285913921879,PM,2066.9690179363024
1035.0,338.6708458762635,PM,2037.5931854439652
1050.0,353.0691422372548,PM,1882.5078715293037
1065.0,328.69611011958074,PM,1817.604749827257
1080.0,288.09729757639496,PM,1794.5597835710637
1095.0,241.73724346916092,PM,1821.213338816895
1110.0,202.0405781733847,PM,1831.8921791754012
1125.0,165.013622967235,PM,1867.0084154331753
1140.0,136.76572682552884,PM,1897.2346510067973
1155.0,116.07438957722817,PM,1912.6277484113236
1170.0,99.2313266800591,PM,1915.471679439187
1185.0,83.09924653985584,PM,1937.827482821108
1200.0,72.55611724513285,NT,1949.4717137432392
1215.0,64.92404568094264,NT,1967.0202864327327
1230.0,61.679117289125834,NT,1969.2160002697724
1245.0,58.983117356568954,NT,1973.9322403430767
1260.0,57.46617744233812,NT,1973.175360220241
1275.0,55.76001749739836,NT,1973.0450564677483
1290.0,54.02128161433543,NT,1975.5940617451918
1305.0,52.91979705063336,NT,1980.0
