corridor,link_id,period,period_hours,lanes,length_mi,capacity_vphpl,capacity_vph,cutoff_mph,free_speed_mph,f_d,n,f_p,s,minimum_speed_mph,volume_V_speed_derived_veh,demand_D_speed_derived_vph,k_d_speed_derived,P_h,t0_min,T2_min,t3_min,vT2_mph,episode_identified,x_hat_D_over_C,demand_D_inferred_vph,volume_V_inferred_veh,z_predicted,vT2_predicted_mph,z_from_speed,demand_D_delta,demand_D_ape_pct,volume_V_delta,volume_V_ape_pct,period_hours_q,capacity_vph_q,demand_D_queue_vph,volume_V_queue_veh,queue_max_veh,queue_at_period_end_veh,d_over_c_queue,D_ratio_qvdf_over_queue
I-395 NB,1,AM,5.0,1,0.135,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,18.34,9298.3,2123.3,1.1417678500371036,4.25,345.0,510.0,600.0,18.34,True,3.864996314627288,8502.991892180033,37236.080398934486,1.9876924701624283,16.400617027808114,1.67175572519084,6379.6918921800325,300.4611638572049,27937.780398934483,300.4611638572049,5.0,2200.0,1986.0286364252167,9901.69467487109,10.756128680479826,3.320851648351649,0.9027402892841895,4.281404475357982
I-395 NB,2,AM,5.0,1,0.024,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,21.53,9536.3,2137.2,1.1205603850550003,3.75,375.0,510.0,600.0,21.53,True,3.414561542338905,7512.035393145591,33519.101216383264,1.302467992558965,21.28151190737785,1.275894101254064,5374.835393145591,251.48958418236907,23982.801216383265,251.48958418236916,5.0,2200.0,1980.9420759618126,9900.195056585635,1.5282956671753702,0.41683112091966157,0.9004282163462785,3.7921529782733554
I-395 NB,3,AM,5.0,1,0.924,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,28.43,9486.000000000002,2059.0,1.0852835757959096,3.25,390.0,465.0,585.0,28.43,True,2.9635240458126657,6519.752900787865,30037.09374301782,0.8032947601450787,27.172485099473064,0.723531480830109,4460.752900787865,216.64657118930864,20551.093743017816,216.6465711893086,5.0,2200.0,2004.8546359571417,9905.206963030769,38.21574111853676,8.68546935668063,0.9112975617987008,3.2519828539465436
I-395 NB,4,AM,5.0,1,1.151,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,45.16,10266.4,2144.1000000000004,1.0442316683550223,2.25,405.0,450.0,540.0,45.16,True,2.0592281329254645,4530.301892436022,21692.034582577853,0.2320156486176205,39.772222093916014,0.0850310008857397,2386.201892436022,111.29153922093286,11425.634582577852,111.29153922093283,5.0,2200.0,1989.9734210210045,9906.075085302517,17.90771327344047,8.691649644473173,0.9045333731913656,2.276564020695131
I-395 NB,5,AM,5.0,1,0.273,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,21.52,9344.0,2121.6,1.1352739726027397,3.75,375.0,480.0,600.0,21.52,True,3.414561542338905,7512.035393145591,33084.68076619175,1.302467992558965,21.28151190737785,1.2769516728624537,5390.435393145592,254.07406641900417,23740.68076619175,254.07406641900417,5.0,2200.0,1990.737299693147,9907.433388470858,17.396029739776953,10.194473317865429,0.9048805907696122,3.7734940689077856
I-395 NB,6,AM,5.0,1,0.779,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,44.46,10262.4,2147.5,1.04629521359526,1.5,450.0,480.0,540.0,44.46,True,1.378395803002334,3032.470766605135,14491.46821662796,0.0589935142983049,46.2703494765666,0.1021142600089968,884.9707666051349,41.20934885239278,4229.068216627959,41.20934885239279,5.0,2200.0,1986.7152811851906,9903.014932844711,12.657736263736265,5.144635619886723,0.903052400538723,1.5263741087228617
I-395 NB,7,AM,5.0,1,0.083,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,44.32,10396.899999999998,2170.8,1.0439650280372037,1.75,420.0,465.0,525.0,44.32,True,1.6056516506263308,3532.433631377928,16918.352322679733,0.0992895770901394,44.57424232994624,0.105595667870036,1361.6336313779277,62.72496919927802,6521.452322679736,62.72496919927802,5.0,2200.0,1980.6156381180315,9900.543875035164,1.3603182052604437,0.7275102651839178,0.9002798355081961,1.7835028480005461
I-395 NB,8,AM,5.0,1,0.053,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,50.87,10079.4,2163.4,1.0731789590650236,,,,,,False,,,,,,,,,,,5.0,2200.0,1980.3300023331471,9900.19619076719,0.5637625881097478,0.2621864479930945,0.9001500010605215,
I-395 NB,9,AM,5.0,1,0.344,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,30.91,9894.1,2102.3,1.0624008247339325,2.75,405.0,480.0,570.0,30.91,True,2.511789398723859,5525.93667719249,26006.835407796327,0.4569298875122635,33.63236654007316,0.5852474927208022,3423.63667719249,162.8519562951287,16112.735407796328,162.85195629512873,5.0,2200.0,1986.020096369341,9901.551735518617,12.305301474326384,2.559862246739186,0.9027364074406096,2.7824173014636147
I-395 NB,10,AM,5.0,1,0.081,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,13.87,8574.6,2112.0,1.2315443285984184,4.75,315.0,510.0,600.0,13.87,True,4.314900293806259,9492.78064637377,38540.15006174079,2.8939337641575964,12.583675780782198,2.5328046142754146,7380.780646373771,349.4687806048187,29965.55006174079,349.46878060481873,5.0,2200.0,1985.038892176589,9901.890584873592,9.271942939540633,3.1732523728401065,0.9022904055348131,4.782163555478234
