link_id,t_min,period,speed_mph,queue_veh,demand_vph
1,300.0,AM,54.8,1.0591657977059439,1980.6360267873722
1,315.0,AM,53.07,1.2181724945489785,1981.0757317310993
1,330.0,AM,50.38,1.4871054273237676,1981.0430151919961
1,345.0,AM,48.02,1.7478592253227816,1981.0030477870348
1,360.0,AM,45.95,1.9986211720814548,1981.0754918924704
1,375.0,AM,43.92,2.2674941451990627,1981.118943230043
1,390.0,AM,41.99,2.5472299527098285,1981.0021410095285
1,405.0,AM,40.4,2.797765205091938,1981.6271390144796
1,420.0,AM,38.06,3.2045499587118083,1983.8716400114051
1,435.0,AM,33.45,4.1724599615631,1986.5656041691916
1,450.0,AM,27.75,5.813861003861005,1988.1398468743732
1,465.0,AM,22.91,7.848822722454325,1985.537454645897
1,480.0,AM,20.48,9.23318638392857,1983.48046875
1,495.0,AM,19.2,10.103303571428572,1982.611300436205
1,510.0,AM,18.34,10.756128680479826,1978.1233631521854
1,525.0,AM,18.95,10.286969468526198,1972.2663610017735
1,540.0,AM,21.96,8.353559718969555,1970.9114754098362
1,555.0,AM,27.0,6.081428571428571,1973.2076096962257
1,570.0,AM,32.59,4.3833309954850295,1975.7500826114665
1,585.0,AM,37.44,3.320851648351649,1977.731956081784
1,600.0,MD,40.67,2.75384066879764,1979.0949669951392
1,615.0,MD,42.12,2.5275824175824178,1979.6904315196998
1,630.0,MD,42.64,2.450190297507371,1979.738134808379
1,645.0,MD,43.09,2.3847239996021607,1979.3713919131822
1,660.0,MD,44.21,2.2275719778976955,1979.9073596774133
1,675.0,MD,44.38,2.2044118972510134,1980.5838109847323
1,690.0,MD,43.33,2.350364643434111,1980.6487464746497
1,705.0,MD,42.22,2.5125512620965016,1980.2116926622148
1,720.0,MD,41.87,2.5654744276502104,1979.987807981177
1,735.0,MD,41.89,2.5624264229444464,1980.2896252042697
1,750.0,MD,41.42,2.634832724011864,1979.9192353752264
1,765.0,MD,41.55,2.614641567818464,1980.288077681026
1,780.0,MD,41.09,2.686660988074957,1980.2557968018343
1,795.0,MD,40.69,2.750610188533512,1980.0517640511566
1,810.0,MD,40.61,2.763551201322686,1980.0649925710184
1,825.0,MD,40.51,2.7797993440773006,1982.5038142067024
1,840.0,PM,37.0,3.4057528957528955,1985.2952194919576
1,855.0,PM,31.27,4.729557768742291,1987.622109726193
1,870.0,PM,25.57,6.635085200290519,1984.1922581661356
1,885.0,PM,23.24,7.683149741824442,1985.2491076482343
1,900.0,PM,20.86,8.99542665388303,1984.9289787684481
1,915.0,PM,19.03,10.227671345995045,1982.6916808841129
1,930.0,PM,18.16,10.900591567023286,1982.8198281099467
1,945.0,PM,17.33,11.605548594509935,1983.3004803939966
1,960.0,PM,16.45,12.43066869300912,1985.3914529435658
1,975.0,PM,15.19,13.778531928900595,1977.6268537456845
1,990.0,PM,15.72,13.185245365321702,1978.1071818040193
1,1005.0,PM,16.17,12.71204081632653,1984.4984228830237
1,1020.0,PM,15.14,13.836646537082467,1987.1957220238473
1,1035.0,PM,13.74,15.635577043044293,1982.2732937539865
1,1050.0,PM,13.35,16.203900481540934,1971.524311957675
1,1065.0,PM,14.93,14.084978470959717,1973.3432730628717
1,1080.0,PM,16.46,12.42079673667766,1974.4755456825278
1,1095.0,PM,17.99,11.039683157309618,1974.1609666188817
1,1110.0,PM,19.95,9.579924812030077,1974.5898816441736
1,1125.0,PM,22.19,8.227395223073456,1974.929036619227
1,1140.0,PM,24.8,6.959654377880184,1976.0806451612902
1,1155.0,PM,27.28,5.9798156682027646,1974.8465662260837
1,1170.0,PM,31.41,4.6914572247237,1975.2771324391913
1,1185.0,PM,36.47,3.510740334521525,1976.8437512348805
1,1200.0,NT,40.87,2.7216781432416375,1978.1114194198988
1,1215.0,NT,44.05,2.249532998216313,1978.9206408611788
1,1230.0,NT,46.1,1.9796932135110004,1979.1985644683195
1,1245.0,NT,47.75,1.7793343305908755,1979.8973075449644
1,1260.0,NT,47.97,1.753661216831949,1980.0792702552067
1,1275.0,NT,47.8,1.7734787806335923,1980.1935210454335
1,1290.0,NT,47.39,1.821859041991981,1979.872184957864
1,1305.0,NT,47.66,1.7899052814579466,1980.0
2,300.0,AM,58.02,0.1401707785492687,1980.088731649478
2,315.0,AM,56.49,0.16235369091874668,1980.1847364968291
2,330.0,AM,53.55,0.20853781512605046,1980.1629201680673
2,345.0,AM,51.2,0.24926785714285712,1980.108203517588
2,360.0,AM,49.75,0.27631873653984207,1980.104136457634
2,375.0,AM,48.43,0.3023528509483497,1980.0920661955304
2,390.0,AM,47.32,0.32536939983093827,1980.0929316670856
2,405.0,AM,46.25,0.3486023166023167,1980.0991967060063
2,420.0,AM,45.16,0.3734014931038847,1980.3339864886607
2,435.0,AM,41.84,0.456898115269052,1980.767959688367
2,450.0,AM,35.79,0.6488880373607953,1981.0398378558073
2,465.0,AM,29.93,0.9088475013125865,1981.2010288607466
2,480.0,AM,25.17,1.2091047164992337,1980.7594774423296
2,495.0,AM,22.87,1.3989740770816417,1980.517286360375
2,510.0,AM,21.53,1.5282956671753702,1979.5412698695134
2,525.0,AM,22.71,1.4136131345536895,1978.7679333852873
2,540.0,AM,26.63,1.1055964808754897,1978.6857149168343
2,555.0,AM,32.64,0.7770252100840336,1979.1290500567084
2,570.0,AM,38.38,0.5592877242611479,1979.430173586634
2,585.0,AM,43.37,0.41683112091966157,1979.673584973062
2,600.0,MD,46.86,0.3352273641851108,1979.8094337839116
2,615.0,MD,49.17,0.2875858101629914,1979.9618560574322
2,630.0,MD,49.66,0.2780498245210288,1980.0162548402952
2,645.0,MD,49.45,0.28211353459482885,1979.979895202081
2,660.0,MD,49.71,0.2770873351150961,1979.9641854201159
2,675.0,MD,50.18,0.2681336901440528,1980.0450675209897
2,690.0,MD,49.59,0.27940057039149596,1980.0620511142185
2,705.0,MD,48.8,0.29491334894613586,1980.0427676288093
2,720.0,MD,48.27,0.3056052561484507,1979.985370218219
2,735.0,MD,48.45,0.3019478107032287,1979.9710641439638
2,750.0,MD,48.81,0.29471384669417855,1979.9707018083666
2,765.0,MD,49.18,0.2873892987858015,1979.9781197732584
2,780.0,MD,49.46,0.2819192421003986,1980.0007771699777
2,795.0,MD,49.45,0.28211353459482885,1979.9930167653638
2,810.0,MD,49.54,0.28036772593575177,1979.9953585893445
2,825.0,MD,49.6,0.27920737327188944,1980.153483181028
2,840.0,PM,47.69,0.31757816852889215,1980.2780541784127
2,855.0,PM,44.58,0.3870917131320901,1980.3386258835492
2,870.0,PM,41.3,0.4717481840193705,1980.1710593554774
2,885.0,PM,39.82,0.5145130228887136,1980.3156759635226
2,900.0,PM,37.35,0.5934320137693632,1980.5014316087882
2,915.0,PM,34.0,0.7187899159663866,1980.3235374647682
2,930.0,PM,32.14,0.7996742821584142,1980.2915550051287
2,945.0,PM,30.63,0.8725630334406046,1980.168564767646
2,960.0,PM,29.82,0.9147042253521126,1980.1779778984144
2,975.0,PM,29.01,0.9591986999556803,1979.8177498190973
2,990.0,PM,29.84,0.9136361547299885,1979.7675792797838
2,1005.0,PM,30.97,0.8555309746759537,1980.2710786829357
2,1020.0,PM,29.66,0.9233006454098834,1980.6053909871532
2,1035.0,PM,27.1,1.074648392198208,1980.302375088416
2,1050.0,PM,25.98,1.1502421643022105,1979.503839585141
2,1065.0,PM,27.87,1.026202060587421,1979.3592170223726
2,1080.0,PM,30.76,0.8660063161805683,1979.6673625280448
2,1095.0,PM,32.51,0.7828469481917654,1979.974929424472
2,1110.0,PM,32.65,0.7765793043097792,1979.9400001949637
2,1125.0,PM,32.99,0.761579353050708,1979.939513764419
2,1140.0,PM,33.34,0.7464577941554547,1979.6350681576205
2,1155.0,PM,35.62,0.6552248335606001,1979.5425221969983
2,1170.0,PM,38.96,0.5408553828102084,1979.4490187497895
2,1185.0,PM,43.92,0.40311007025761125,1979.6670870113494
2,1200.0,NT,47.58,0.31988182309493784,1979.7854737304638
2,1215.0,NT,50.28,0.2662502557108763,1979.9004379502671
2,1230.0,NT,51.64,0.24135974327763643,1979.9321337860065
2,1245.0,NT,52.61,0.22439318977923814,1979.976122536524
2,1260.0,NT,52.96,0.21842382391022877,1979.9972912272701
2,1275.0,NT,53.0,0.21774663072776282,1980.029335333661
2,1290.0,NT,52.57,0.22508046414304742,1980.0013761181458
2,1305.0,NT,52.55,0.22542449367948902,1980.0
3,300.0,AM,66.66,1.3095445544554494,1981.3672750021053
3,315.0,AM,65.84,1.651363304981774,1983.5719764712471
3,330.0,AM,63.79,2.5443574227935426,1983.1980031157868
3,345.0,AM,62.06,3.3438582017402534,1985.2390996736851
3,360.0,AM,59.42,4.6536331201615635,1989.343368660038
3,375.0,AM,55.23,6.989475285171109,1999.042517993712
3,390.0,AM,48.29,11.750104783599088,2001.828715193962
3,405.0,AM,42.21,17.207283582089556,2004.4128116175877
3,420.0,AM,37.0,23.310486486486486,2004.4454539933192
3,435.0,AM,32.93,29.42184998481628,2008.7315630236978
3,450.0,AM,29.16,36.60474074074074,1986.444001511184
3,465.0,AM,28.43,38.21574111853676,1969.325334918975
3,480.0,AM,29.66,35.547074848280516,1978.3474058982376
3,495.0,AM,29.86,35.133926322839926,1986.0555040428887
3,510.0,AM,29.14,36.64780233356212,1962.2963696131199
3,525.0,AM,31.35,32.2218947368421,1939.9126746853924
3,540.0,AM,37.85,22.20006340819022,1951.8121444715046
3,555.0,AM,44.31,15.15309952606635,1964.3141901310287
3,570.0,AM,48.96,11.231647058823528,1969.8152891914283
3,585.0,AM,52.54,8.68546935668063,1971.3241529141662
3,600.0,MD,56.03,6.516507585222206,1974.335846387812
3,615.0,MD,58.57,5.1004691821751775,1979.0683581467442
3,630.0,MD,59.01,4.86755871886121,1979.0200623673259
3,645.0,MD,59.48,4.6225743106926735,1979.711090211104
3,660.0,MD,59.62,4.550346863468638,1978.979163444329
3,675.0,MD,60.12,4.295137724550902,1979.656772704384
3,690.0,MD,60.29,4.209330900646877,1978.5675372398973
3,705.0,MD,61.01,3.8512152106212123,1979.1217541916837
3,720.0,MD,61.46,3.6316537585421433,1979.153617599111
3,735.0,MD,61.9,3.420058158319874,1979.7712526940343
3,750.0,MD,62.02,3.3628713318284422,1979.601815010144
3,765.0,MD,62.23,3.263325084364458,1979.7172235484031
3,780.0,MD,62.38,3.192630971465212,1980.0564464429283
3,795.0,MD,62.35,3.206742582197276,1979.9623630045442
3,810.0,MD,62.37,3.1973333333333347,1980.2450728363324
3,825.0,MD,62.24,3.258601542416453,1980.8946389978912
3,840.0,PM,61.77,3.482261291889267,1980.9278358897116
3,855.0,PM,61.29,3.714220264317182,1980.6463630372195
3,870.0,PM,60.96,3.875811023622047,1980.355519972639
