corridor,link_id,from_node_id,to_node_id,period,period_start_min,period_hours,length_mi,lanes,capacity_vphpl,capacity_vph,cutoff_mph,free_speed_mph,min_speed_mph,bins_total,bins_below_cutoff,congested,P_h_below_cutoff,P_h_longest_episode,D_congested_veh,V_period_veh,D_congested_veh_s3,V_period_veh_s3,D_over_C_h,V_over_C_h,qbar_over_C_congested,peak_1h_flow_vph,f_d,n,f_p,s,D_over_C_duration_branch,D_over_C_branch_ape_pct,D_vs_V_share,s3_V_ape_pct
I-395 NB,1,1,2,AM,300,5.0,0.135,1,2200.0,2200.0,49.0,70.0,18.34,20,17,True,4.25,4.25,7706.400000000001,9298.300000000001,8154.141068019479,9793.729113106761,3.502909090909091,4.226500000000001,0.8242139037433156,2123.3,1.0847,1.0101,0.015,3.3773,3.864996314627288,10.3367576583104,0.8287966617553746,5.328168730915976
I-395 NB,2,2,3,AM,300,5.0,0.024,1,2200.0,2200.0,49.0,70.0,21.53,20,15,True,3.75,3.75,6926.499999999998,9536.3,7494.5276114311255,10206.455643104297,3.14840909090909,4.334681818181818,0.8395757575757573,2137.2,1.0847,1.0101,0.015,3.3773,3.414561542338905,8.453553643912405,0.7263299183121334,7.027417794158083
I-395 NB,3,3,4,AM,300,5.0,0.924,1,2200.0,2200.0,49.0,70.0,28.43,20,13,True,3.25,3.25,6159.500000000001,9486.000000000002,6618.446924787524,10062.456207706966,2.7997727272727277,4.311818181818182,0.8614685314685316,2059.0,1.0847,1.0101,0.015,3.3773,2.9635240458126657,5.84873611150034,0.64932532152646,6.076915535599451
I-395 NB,4,4,5,AM,300,5.0,1.151,1,2200.0,2200.0,49.0,70.0,45.16,20,9,True,2.25,2.25,4680.2,10266.400000000001,4930.71128989004,10660.705743480874,2.1273636363636363,4.666545454545455,0.9454949494949495,2144.1000000000004,1.0847,1.0101,0.015,3.3773,2.0592281329254645,3.2028141439250057,0.45587547728512423,3.8407401180635126
I-395 NB,5,5,6,AM,300,5.0,0.273,1,2200.0,2200.0,49.0,70.0,21.52,20,15,True,3.75,3.75,6806.5,9344.0,7063.5137185017575,9639.70655082704,3.0938636363636363,4.247272727272727,0.825030303030303,2121.6,1.0847,1.0101,0.015,3.3773,3.414561542338905,10.365612181673267,0.728435359589041,3.164667710049665
I-395 NB,6,6,7,AM,300,5.0,0.779,1,2200.0,2200.0,49.0,70.0,44.46,20,6,True,1.5,1.5,3172.0,10262.400000000001,3284.3651303668917,10506.585344575362,1.4418181818181819,4.664727272727274,0.9612121212121212,2147.5,1.0847,1.0101,0.015,3.3773,1.378395803002334,4.398777849775074,0.30908949173682565,2.3794175297723767
I-395 NB,7,7,8,AM,300,5.0,0.083,1,2200.0,2200.0,49.0,70.0,44.32,20,7,True,1.75,1.75,3704.9,10396.899999999998,3833.110556182079,10655.514850775184,1.6840454545454546,4.725863636363635,0.9623116883116883,2170.8,1.0847,1.0101,0.015,3.3773,1.6056516506263308,4.6550883592559185,0.35634660331444956,2.487422700758745
I-395 NB,8,8,9,AM,300,5.0,0.053,1,2200.0,2200.0,49.0,70.0,50.87,20,0,False,0.0,0.0,0.0,10079.400000000001,0.0,10313.749482408817,0.0,4.581545454545455,,2163.4,,,,,,,0.0,2.3250340537017644
I-395 NB,9,9,10,AM,300,5.0,0.344,1,2200.0,2200.0,49.0,70.0,30.91,20,11,True,2.75,2.75,5444.4,9894.099999999999,5685.759973020206,10252.456659740008,2.4747272727272724,4.497318181818181,0.8999008264462809,2102.2999999999997,1.0847,1.0101,0.015,3.3773,2.511789398723859,1.4976246637368789,0.5502673310356677,3.621922759422378
I-395 NB,10,10,11,AM,300,5.0,0.081,1,2200.0,2200.0,49.0,70.0,13.87,20,19,True,4.75,4.75,8043.299999999999,8574.6,8486.514444012588,9036.188549030385,3.6560454545454544,3.8975454545454546,0.7696937799043061,2112.0,1.0847,1.0101,0.015,3.3773,4.314900293806259,18.02096958181058,0.938037925967392,5.383207951745673
I-395 NB,11,11,12,AM,300,5.0,0.095,1,2200.0,2200.0,49.0,70.0,37.87,20,7,True,1.75,1.75,3491.0,10226.099999999999,3773.7969805425346,10784.560206326543,1.586818181818182,4.648227272727272,0.9067532467532468,2158.4,1.0847,1.0101,0.015,3.3773,1.6056516506263308,1.186869990774204,0.34138136728567103,5.461126004308043
I-395 NB,12,12,13,AM,300,5.0,0.162,1,2200.0,2200.0,49.0,70.0,14.04,20,20,True,5.0,5.0,8463.9,8463.9,8780.92106943913,8780.92106943913,3.8472272727272725,3.8472272727272725,0.7694454545454545,2104.7,1.0847,1.0101,0.015,3.3773,4.539671395604868,17.998523970400296,1.0,3.7455672850474353
I-395 NB,13,13,14,AM,300,5.0,0.139,1,2200.0,2200.0,49.0,70.0,15.36,20,18,True,4.5,4.5,7839.3,8905.5,8307.783777449744,9405.411929755292,3.563318181818182,4.047954545454545,0.7918484848484849,2125.4,1.0847,1.0101,0.015,3.3773,4.09001081703371,14.780960002476782,0.8802762337881085,5.613518946216288
I-395 NB,14,14,15,AM,300,5.0,0.932,1,2200.0,2200.0,49.0,70.0,49.03,20,0,False,0.0,0.0,0.0,10593.800000000001,0.0,10790.024954770763,0.0,4.815363636363637,,2180.2,,,,,,,0.0,1.852262217247461
I-395 NB,15,15,16,AM,300,5.0,0.197,1,2200.0,2200.0,49.0,70.0,19.7,20,16,True,4.0,4.0,7283.8,9379.300000000001,7847.287418990228,10021.19615486225,3.310818181818182,4.263318181818183,0.8277045454545455,2128.6,1.0847,1.0101,0.015,3.3773,3.6398493480638137,9.938062079414445,0.7765824741718464,6.843753317009246
I-395 NB,16,16,17,AM,300,5.0,0.601,1,2200.0,2200.0,49.0,70.0,50.07,20,0,False,0.0,0.0,0.0,10021.0,0.0,10343.747385262745,0.0,4.555,,2133.9,,,,,,,0.0,3.220710360869619
