tmc_code,t_min,speed,speed_smoothed,corridor,facility,miles,net_lanes,net_link_id,free_speed,capacity_vphpl,cutoff,q_vphpl
110+04121,0,59.605333333333334,59.26466666666667,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2088.3890277523424
110+04121,15,58.924,59.61866666666666,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2078.5522187726247
110+04121,30,60.32666666666667,60.407999999999994,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2054.424655185682
110+04121,45,61.973333333333336,60.942,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2036.2252175708747
110+04121,60,60.525999999999996,60.86688888888889,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2038.8830736868347
110+04121,75,60.10133333333333,60.699333333333335,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2044.6946575253237
110+04121,90,61.47066666666667,60.49688888888889,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2051.5053341539497
110+04121,105,59.91866666666667,60.202444444444446,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2061.01389432749
110+04121,120,59.217999999999996,60.182222222222215,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2061.650141869666
110+04121,135,61.41,59.447333333333326,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2083.385607783338
110+04121,150,57.714000000000006,59.01644444444445,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2094.947597960263
110+04121,165,57.925333333333334,57.925555555555555,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2120.7079275136925
110+04121,180,58.13733333333333,59.650666666666666,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2077.634134162018
110+04121,195,62.88933333333333,61.17377777777778,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2027.8123336080619
110+04121,210,62.49466666666667,63.51022222222222,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1921.752881815769
110+04121,225,65.14666666666666,64.1471111111111,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1884.369607134885
110+04121,240,64.8,65.55422222222222,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1783.0157241977586
110+04121,255,66.716,65.53711111111112,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1784.4396320605317
110+04121,270,65.09533333333333,65.93155555555555,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1750.1427329864166
110+04121,285,65.98333333333333,65.36888888888889,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1798.1511969995265
110+04121,300,65.02799999999999,64.61266666666666,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1854.015732981977
110+04121,315,62.82666666666667,62.83155555555555,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1957.0868109921807
110+04121,330,60.64,60.37511111111112,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2055.4940037331685
110+04121,345,57.65866666666667,57.888222222222225,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2121.5064470222947
110+04121,360,55.366,55.46955555555556,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2163.0735967788755
110+04121,375,53.384,51.734,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2195.2880052093087
110+04121,390,46.452,45.93711111111111,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2189.3441679006382
110+04121,405,37.97533333333333,40.73755555555555,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2140.3682752749783
110+04121,420,37.785333333333334,37.208666666666666,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2087.655986693679
110+04121,435,35.86533333333333,32.56066666666667,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1996.4733542797208
110+04121,450,24.031333333333336,26.58666666666667,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1844.1942419149575
110+04121,465,19.863333333333333,21.289555555555555,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1674.6873214782368
110+04121,480,19.974,20.31844444444444,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1639.750511983081
110+04121,495,21.118,20.142444444444447,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1633.2806018546635
110+04121,510,19.33533333333333,20.52422222222222,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1647.2607515473521
110+04121,525,21.119333333333334,21.092444444444443,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1667.6990214236291
110+04121,540,22.822666666666667,22.61711111111111,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1720.4275796576464
110+04121,555,23.909333333333333,23.019555555555556,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1733.8477175784512
110+04121,570,22.326666666666664,23.3,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1743.0796403170775
110+04121,585,23.663999999999998,23.816222222222223,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1759.8186849197655
110+04121,600,25.458000000000002,28.028666666666666,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,1884.5919139580606
110+04121,615,34.964000000000006,32.74755555555556,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2000.6017804681883
110+04121,630,37.82066666666667,37.78044444444445,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2097.191306742728
110+04121,645,40.556666666666665,40.54555555555555,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2137.8847873903624
110+04121,660,43.25933333333333,42.12155555555555,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2156.9061676016013
110+04121,675,42.54866666666667,42.356222222222215,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2159.4685233297287
110+04121,690,41.260666666666665,41.69022222222222,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2152.0117958497476
110+04121,705,41.26133333333333,40.83533333333333,I-395 NB,GP,0.27347,4,29007,70.0,2200.0,49.0,2141.6155096278376
