clock,corridor,tmc,net_link_id,period,period_hours,miles,lanes,capacity_vphpl,cutoff_mph,bins,bins_below_cutoff,congested,min_speed_mph,P_h,D_veh_per_lane,V_veh_per_lane,D_veh_total,V_veh_total,D_over_C_h,V_over_C_h,qbar_over_C_congested
assignment,I-395 NB,110+04121,29007,AM,3.0,0.27347,4,2200.0,49.0,12,10,True,20.142444444444447,2.5,4630.178558587734,5719.768959084781,18520.714234350937,22879.075836339125,2.1046266175398793,2.5998949814021732,0.8418506470159517
assignment,I-395 NB,110+04122,32141,AM,3.0,1.151222,4,2200.0,49.0,12,8,True,40.88377777777779,2.0,4349.192620997555,6491.974048467524,17396.77048399022,25967.896193870096,1.9769057368170706,2.9508972947579655,0.9884528684085353
assignment,I-395 NB,110+04123,28025,AM,3.0,0.924456,4,2200.0,49.0,12,10,True,23.695333333333334,2.5,4885.461978484887,5940.877923568164,19541.84791393955,23763.511694272656,2.2206645356749486,2.700399056167347,0.8882658142699795
assignment,I-395 NB,110+04124,28294,AM,3.0,0.3436,4,2200.0,49.0,12,10,True,25.540222222222223,2.5,4966.254050663717,6031.281291341208,19865.016202654868,24125.125165364832,2.257388204847144,2.7414914960641856,0.9029552819388577
assignment,I-395 NB,110+04126,26423,AM,3.0,0.082891,4,2200.0,49.0,12,10,True,37.592666666666666,2.5,5388.54163693268,6479.792920563425,21554.16654773072,25919.1716822537,2.449337107696673,2.9453604184379203,0.9797348430786692
assignment,I-395 NB,110+04127,26785,AM,3.0,0.778625,4,2200.0,49.0,12,6,True,44.049777777777784,1.5,3282.074374202718,6460.76167561061,13128.297496810872,25843.04670244244,1.4918519882739627,2.936709852550277,0.9945679921826418
assignment,I-395 NB,110+04128,26822,AM,3.0,0.02384,2,2200.0,49.0,12,8,True,17.608444444444444,2.0,3775.200528890623,5969.973094931544,7550.401057781246,11939.946189863089,1.7160002404048287,2.713624134059793,0.8580001202024143
assignment,I-395 NB,110+04129,26825,AM,3.0,0.135112,3,2200.0,49.0,12,11,True,18.529777777777777,2.75,5213.695630660081,5763.640817850186,15641.086891980245,17290.922453550556,2.369861650300037,2.619836735386448,0.8617678728363771
assignment,I-395 NB,110+04130,26830,AM,3.0,0.080932,2,2200.0,49.0,12,12,True,13.48777777777778,3.0,5162.735434323801,5162.735434323801,10325.470868647602,10325.470868647602,2.346697924692637,2.346697924692637,0.7822326415642123
assignment,I-395 NB,110+04670,26812,AM,3.0,0.095046,3,2200.0,49.0,12,4,True,35.340666666666664,1.0,2110.442391210209,6442.713983167208,6331.327173630627,19328.141949501623,0.9592919960046403,2.928506355985095,0.9592919960046403
assignment,I-395 NB,110P04120,29361,AM,3.0,1.621245,4,2200.0,49.0,12,11,True,14.053111111111113,2.75,4997.307482214514,5547.287203757448,19989.229928858054,22189.148815029792,2.271503401006597,2.5214941835261127,0.8260012367296716
assignment,I-395 NB,110P04121,32601,AM,3.0,0.647875,4,2200.0,49.0,12,9,True,39.28622222222222,2.25,4843.67702513256,6467.97700334649,19374.70810053024,25871.90801338596,2.2016713750602546,2.9399895469756774,0.9785206111378909
assignment,I-395 NB,110P04122,28270,AM,3.0,0.586105,4,2200.0,49.0,12,8,True,31.418222222222226,2.0,4109.453530039068,6222.624986676278,16437.814120156272,24890.499946705113,1.8679334227450308,2.828465903034672,0.9339667113725154
assignment,I-395 NB,110P04123,28285,AM,3.0,0.596275,4,2200.0,49.0,12,10,True,23.954222222222217,2.5,4907.939258309872,5988.319090940889,19631.757033239486,23953.276363763554,2.2308814810499418,2.7219632231549493,0.8923525924199767
assignment,I-395 NB,110P04124,28303,AM,3.0,0.704235,4,2200.0,49.0,12,10,True,31.825777777777784,2.5,5152.830629808363,6220.957627669701,20611.32251923345,24883.830510678803,2.342195740821983,2.8277080125771366,0.9368782963287932
assignment,I-395 NB,110P04126,26778,AM,3.0,0.391606,4,2200.0,49.0,12,10,True,39.68866666666667,2.5,5417.272284521506,6503.737776482014,21669.089138086023,26014.951105928056,2.462396492964321,2.9562444438554607,0.9849585971857283
assignment,I-395 NB,110P04128,26297,AM,3.0,0.19736,3,2200.0,49.0,12,10,True,16.903555555555556,2.5,4745.684376780398,5843.729386045178,14237.053130341195,17531.188158135534,2.1571292621729086,2.6562406300205357,0.8628517048691634
assignment,I-395 NB,110P04129,26825,AM,3.0,0.138799,3,2200.0,49.0,12,12,True,15.356,3.0,5482.108087994406,5482.108087994406,16446.324263983217,16446.324263983217,2.4918673127247297,2.4918673127247297,0.8306224375749099
assignment,I-395 NB,110P04130,26469,AM,3.0,0.162246,6,2200.0,49.0,12,12,True,13.394222222222224,3.0,4935.8737384922715,4935.8737384922715,29615.24243095363,29615.24243095363,2.2435789720419415,2.2435789720419415,0.7478596573473139
assignment,I-395 NB,110P04670,26230,AM,3.0,0.319695,3,2200.0,49.0,12,7,True,22.724,1.75,3473.0895829060682,6203.2329224306395,10419.268748718205,18609.69876729192,1.578677083139122,2.8196513283775633,0.9021011903652125
assignment,I-395 NB,110+04121,29007,MD,6.0,0.27347,4,2200.0,49.0,24,24,True,22.61711111111111,6.0,12249.594820937415,12249.594820937415,48998.37928374966,48998.37928374966,5.567997645880643,5.567997645880643,0.9279996076467738
assignment,I-395 NB,110+04122,32141,MD,6.0,1.151222,4,2200.0,49.0,24,0,False,50.861555555555555,0.0,0.0,12781.164389314195,0.0,51124.65755725678,0.0,5.809620176960998,
assignment,I-395 NB,110+04123,28025,MD,6.0,0.924456,4,2200.0,49.0,24,2,True,38.096222222222224,0.5,1072.5083613404108,12550.826496612463,4290.033445361643,50203.30598644985,0.48750380060927767,5.704921134823847,0.9750076012185553
assignment,I-395 NB,110+04124,28294,MD,6.0,0.3436,4,2200.0,49.0,24,1,True,42.894222222222226,0.25,541.2681136529986,12576.088858662506,2165.0724546119945,50304.355434650024,0.24603096075136302,5.716404026664775,0.9841238430054521
assignment,I-395 NB,110+04126,26423,MD,6.0,0.082891,4,2200.0,49.0,24,0,False,51.567111111111124,0.0,0.0,12954.975710663954,0.0,51819.902842655814,0.0,5.8886253230290695,
assignment,I-395 NB,110+04127,26785,MD,6.0,0.778625,4,2200.0,49.0,24,0,False,50.543777777777784,0.0,0.0,12359.989049424512,0.0,49439.95619769805,0.0,5.618176840647505,
assignment,I-395 NB,110+04128,26822,MD,6.0,0.02384,2,2200.0,49.0,24,13,True,25.806,3.25,6860.531021467692,12894.818699350752,13721.062042935384,25789.637398701503,3.1184231915762237,5.8612812269776144,0.9595148281772996
assignment,I-395 NB,110+04129,26825,MD,6.0,0.135112,3,2200.0,49.0,24,24,True,20.592222222222215,6.0,12338.31542354716,12338.31542354716,37014.94627064148,37014.94627064148,5.608325192521436,5.608325192521436,0.9347208654202394
assignment,I-395 NB,110+04130,26830,MD,6.0,0.080932,2,2200.0,49.0,24,24,True,13.839333333333334,6.0,11250.211704722491,11250.211704722491,22500.423409444982,22500.423409444982,5.113732593055678,5.113732593055678,0.8522887655092797
assignment,I-395 NB,110+04670,26812,MD,6.0,0.095046,3,2200.0,49.0,24,3,True,40.071999999999996,0.75,1627.2548737553197,12799.139354671388,4881.764621265959,38397.418064014164,0.7396613062524181,5.817790615759722,0.9862150750032241
assignment,I-395 NB,110P04120,29361,MD,6.0,1.621245,4,2200.0,49.0,24,12,True,18.802,3.0,6122.541492303865,12718.907102845333,24490.16596921546,50875.62841138133,2.782973405592666,5.781321410384242,0.927657801864222
assignment,I-395 NB,110P04121,32601,MD,6.0,0.647875,4,2200.0,49.0,24,17,True,40.94733333333334,4.25,9281.882978981328,13131.655193260329,37127.53191592531,52526.620773041315,4.219037717718786,5.968934178754695,0.9927147571103024
assignment,I-395 NB,110P04122,28270,MD,6.0,0.586105,4,2200.0,49.0,24,1,True,44.66844444444445,0.25,545.2008281170225,12455.685524501203,2180.80331246809,49822.74209800481,0.24781855823501023,5.661675238409638,0.9912742329400409
assignment,I-395 NB,110P04123,28285,MD,6.0,0.596275,4,2200.0,49.0,24,2,True,39.80244444444444,0.5,1079.4727613943057,12851.26383371,4317.891045577223,51405.05533484,0.4906694369974117,5.841483560777273,0.9813388739948234
assignment,I-395 NB,110P04124,28303,MD,6.0,0.704235,4,2200.0,49.0,24,1,True,44.84688888888889,0.25,545.5361616166751,12471.56053977025,2182.1446464667006,49886.242159081,0.24797098255303415,5.668891154441022,0.9918839302121366
assignment,I-395 NB,110P04126,26778,MD,6.0,0.391606,4,2200.0,49.0,24,0,False,51.153999999999996,0.0,0.0,12934.762928111888,0.0,51739.05171244755,0.0,5.879437694596312,
assignment,I-395 NB,110P04128,26297,MD,6.0,0.19736,3,2200.0,49.0,24,16,True,23.710444444444445,4.0,8297.019310009138,12694.353322322844,24891.057930027415,38083.05996696853,3.7713724136405173,5.770160601055839,0.9428431034101293
assignment,I-395 NB,110P04129,26825,MD,6.0,0.138799,3,2200.0,49.0,24,24,True,16.66266666666667,6.0,11804.697299891528,11804.697299891528,35414.09189967458,35414.09189967458,5.365771499950695,5.365771499950695,0.8942952499917824
assignment,I-395 NB,110P04130,26469,MD,6.0,0.162246,6,2200.0,49.0,24,24,True,12.784,6.0,10757.551266126171,10757.551266126171,64545.307596757026,64545.307596757026,4.889796030057351,4.889796030057351,0.8149660050095584
assignment,I-395 NB,110P04670,26230,MD,6.0,0.319695,3,2200.0,49.0,24,7,True,30.084222222222223,1.75,3735.3335559238294,13001.336737301484,11206.000667771488,39004.01021190445,1.6978788890562861,5.9096985169552205,0.9702165080321635
assignment,I-395 NB,110+04121,29007,NT,11.0,0.27347,4,2200.0,49.0,44,2,True,37.935555555555545,0.5,1069.6034715970577,22467.305720715543,4278.413886388231,89869.22288286217,0.4861833961804808,10.212411691234339,0.9723667923609616
assignment,I-395 NB,110+04122,32141,NT,11.0,1.151222,4,2200.0,49.0,44,0,False,54.06133333333333,0.0,0.0,21484.61183826021,0.0,85938.44735304084,0.0,9.765732653754641,
assignment,I-395 NB,110+04123,28025,NT,11.0,0.924456,4,2200.0,49.0,44,0,False,56.343333333333334,0.0,0.0,20753.829138399113,0.0,83015.31655359645,0.0,9.433558699272323,
assignment,I-395 NB,110+04124,28294,NT,11.0,0.3436,4,2200.0,49.0,44,0,False,54.334,0.0,0.0,20770.849139887712,0.0,83083.39655955085,0.0,9.441295063585324,
assignment,I-395 NB,110+04126,26423,NT,11.0,0.082891,4,2200.0,49.0,44,0,False,52.196,0.0,0.0,22073.087136577724,0.0,88292.3485463109,0.0,10.033221425717148,
assignment,I-395 NB,110+04127,26785,NT,11.0,0.778625,4,2200.0,49.0,44,0,False,58.18844444444445,0.0,0.0,21489.272138632503,0.0,85957.08855453001,0.0,9.767850972105682,
assignment,I-395 NB,110+04128,26822,NT,11.0,0.02384,2,2200.0,49.0,44,4,True,31.080444444444442,1.0,2057.123321293158,23700.847079083236,4114.246642586316,47401.69415816647,0.9350560551332536,10.773112308674198,0.9350560551332536
assignment,I-395 NB,110+04129,26825,NT,11.0,0.135112,3,2200.0,49.0,44,15,True,23.591999999999995,3.75,7891.0427123341415,23766.22347036488,23673.128137002423,71298.67041109464,3.586837596515519,10.802828850165854,0.9564900257374717
assignment,I-395 NB,110+04130,26830,NT,11.0,0.080932,2,2200.0,49.0,44,30,True,18.738,7.5,15743.50217914426,23432.622925175816,31487.00435828852,46865.24585035163,7.156137354156481,10.65119223871628,0.9541516472208642
assignment,I-395 NB,110+04670,26812,NT,11.0,0.095046,3,2200.0,49.0,44,0,False,54.584888888888884,0.0,0.0,23202.029281331546,0.0,69606.08784399464,0.0,10.546376946059794,
assignment,I-395 NB,110P04120,29361,NT,11.0,1.621245,4,2200.0,49.0,44,1,True,45.046666666666674,0.25,545.8981584843818,21899.25554603188,2183.5926339375274,87597.02218412752,0.24813552658380994,9.954207066378126,0.9925421063352398
