clock_min,wall_clock,period,speed_raw_mph,speed_mph,queued_regime,mu_vph,lambda_b_vph,lambda_b_identifiable,queue_b_measurement_veh,queue_b_recurrence_veh,outflow_b_vph,lambda_a_vph,queue_a_veh,outflow_a_vph
360,06:00,AM,62.96,61.955,False,7600.0,7924.743511565297,False,0.0,0.0,7600.0,3907.6808049757956,0.0,3907.6808049757956
365,06:05,AM,60.95,60.95,False,7600.0,7754.846995756882,True,0.0,27.061959297108082,7600.0,3907.6808049757956,0.0,3907.6808049757956
370,06:10,AM,56.74,56.74,False,7600.0,7608.364796094504,True,0.0,39.965875610181605,7600.0,3907.6808049757956,0.0,3907.6808049757956
375,06:15,AM,55.89,55.89,False,7600.0,7483.351760390575,True,0.0,40.66294195139024,7600.0,3907.6808049757956,0.0,3907.6808049757956
380,06:20,AM,48.77,48.77,False,7600.0,7377.862736457504,True,0.0,30.94225531727147,7600.0,7619.457773709141,0.0,7600.0
385,06:25,AM,44.11,44.11,True,6840.0,7289.952572107701,True,54.6929846646343,12.430816688730143,6840.0,7619.457773709141,1.621481142428441,6840.0
390,06:30,AM,35.65,35.65,True,6840.0,7217.676115153576,True,93.13197705895134,49.926864364371866,6840.0,7619.457773709141,66.5762956181902,6840.0
395,06:35,AM,32.29,32.68,True,6840.0,7159.08821340754,True,113.98696399093215,81.39987396050317,6840.0,7619.457773709141,131.53111009395195,6840.0
400,06:40,AM,32.68,32.29,True,6840.0,7112.243714682005,True,111.3463024642157,107.9905584111315,6840.0,7619.457773709141,196.48592456971372,6840.0
405,06:45,AM,26.48,26.48,True,6840.0,7075.197466789379,True,162.53686295743563,130.6775346346319,6840.0,7619.457773709141,261.4407390454755,6840.0
410,06:50,AM,24.94,25.58,True,6840.0,7046.004317542074,True,179.19799532708655,150.27732353374685,6840.0,7619.457773709141,326.3955535212373,6840.0
415,06:55,AM,25.58,25.58,True,6840.0,7022.7191147525,True,172.03027240803078,167.44434999558638,6840.0,7619.457773709141,391.350367996999,6840.0
420,07:00,AM,29.11,29.11,True,6840.0,7003.3967062330685,True,138.15910357148323,182.67094289162804,6840.0,7619.457773709141,456.30518247276075,6840.0
425,07:05,AM,29.76,29.11,True,6840.0,6986.366295990414,True,132.7982190996245,196.28733507771707,6840.0,7619.457773709141,521.2599969485225,6840.0
430,07:10,AM,25.97,25.97,True,6840.0,6971.054512808093,True,167.8356744497804,208.4845264102516,6840.0,7619.457773709141,586.2148114242842,6840.0
435,07:15,AM,24.32,24.32,True,6840.0,6957.162341663879,True,186.50147615607614,219.40573581092602,6840.0,7619.457773709141,651.169625900046,6840.0
