free_speed_source,free_speed_mph,capacity_vphpl,capacity_drop_fraction,qmax_veh,peak_clock_min,queue_at_0900_veh,queue_at_1500_veh,queue_at_1900_veh,end_of_day_veh,residual_rmse_veh,exceeds_storage
observed_p95,66.59649999999999,1900.0,0.05,288.07414503725767,485.0,208.55983599106057,198.51332181491048,0.0,0.00010159230555473567,22.683662013392553,False
observed_p95,66.59649999999999,1900.0,0.15,257.50884903016396,485.0,187.42249688073144,177.1564227624242,0.0,0.0,20.806997304622133,False
observed_p95,66.59649999999999,1900.0,0.1,265.0347789215961,480.0,206.87122686741313,172.73099056791315,0.0,0.0,22.994251427766724,False
observed_p95,66.59649999999999,2000.0,0.05,303.6055445363922,475.0,222.9406168362875,199.05470122566692,1.4210854715202004e-14,0.047848085473271317,24.22312654778466,False
observed_p95,66.59649999999999,2000.0,0.15,271.9042154161112,480.0,198.6380791642738,185.07406679906342,0.0,8.326672684688674e-17,21.96736096371975,False
observed_p95,66.59649999999999,2000.0,0.1,287.9076574264099,470.0,210.14575257872318,191.7655714673945,0.0,2.220446049250313e-16,23.79192863137721,False
observed_p95,66.59649999999999,2200.0,0.05,335.49554206842566,475.0,243.3108932125724,221.95775635115626,5.684341886080802e-14,0.20498760042710523,26.580910689963176,False
observed_p95,66.59649999999999,2200.0,0.15,299.305470094435,480.0,216.84267999324035,204.93253451560466,1.4210854715202004e-14,1.4210854715202004e-14,24.0934819078359,False
observed_p95,66.59649999999999,2200.0,0.1,315.7663298639061,480.0,230.52152418699444,216.3201095601395,0.0,2.220446049250313e-16,26.28226170797275,False
inrix_reference,62.0,1900.0,0.05,281.342777946774,475.0,201.5812022442968,179.4789254225738,7.105427357601002e-15,8.18789480661053e-15,22.97602405079811,False
inrix_reference,62.0,1900.0,0.15,251.1528471334767,480.0,180.7030951251761,166.14784167629477,0.0,0.0,20.512359808736985,False
inrix_reference,62.0,1900.0,0.1,264.1762715747134,485.0,190.42216809227946,182.32436472589208,1.4210854715202004e-14,1.4210854715202004e-14,21.943035501289028,False
inrix_reference,62.0,2000.0,0.05,294.4279842988055,485.0,211.1934421679049,195.80423894433008,1.4210854715202004e-14,0.0,23.712088131973015,False
inrix_reference,62.0,2000.0,0.15,263.97149700582355,480.0,188.59360069709535,175.25360050026455,0.0,0.0,21.541717638401604,False
inrix_reference,62.0,2000.0,0.1,278.2168698208413,485.0,200.1372649102804,187.02714821766455,0.0,0.0,23.10457564956799,False
inrix_reference,62.0,2200.0,0.05,323.9153224017962,485.0,232.2719261800146,213.13138405010446,0.0,0.0,26.07533315061448,False
inrix_reference,62.0,2200.0,0.15,288.9840441633605,480.0,210.22277241876728,192.54891801187222,0.0,0.0,23.738049102116612,False
inrix_reference,62.0,2200.0,0.1,306.53936449780184,485.0,221.02406130193015,202.9845115013687,2.842170943040401e-14,1.1102230246251565e-16,25.938248064320028,False
network_attribute,68.99982850155094,1900.0,0.05,293.0780794200436,475.0,213.21927701649622,190.7959114166394,0.0,0.0,23.285878242850348,False
network_attribute,68.99982850155094,1900.0,0.15,261.7573062046013,480.0,190.89051981365304,180.460434860401,0.0,0.0,20.99473806542101,False
network_attribute,68.99982850155094,1900.0,0.1,277.78059151056357,475.0,202.85960782456294,185.20234620499303,1.4210854715202004e-14,1.4210854715202004e-14,23.03754218941844,False
network_attribute,68.99982850155094,2000.0,0.05,310.78267697091445,470.0,225.48853191106664,196.15055253495183,0.0,0.0,24.871217110414566,False
network_attribute,68.99982850155094,2000.0,0.15,275.3580333194867,480.0,201.46213572517905,190.92520503933727,0.0,0.0,22.095204827046942,False
