link_id,from_node_id,to_node_id,tmc_code,corridor,road,direction,period,period_hours,bins_in_period,lanes,length_mi,links_sharing_this_tmc,free_speed_obs_p95_mph,free_speed_assign_mph,free_speed_diff_mph,observed_max_mph,assign_free_speed_impossible,cutoff_obs_mph,cutoff_assign_mph,lane_capacity_vphpl,mu_free_vph,mu_queued_vph,capacity_drop,V_assign_veh,V_throughput_obs_veh,V_demand_obs_veh,V_max_feasible_veh,V_from_assignment_veh,obs_volume_in_assignment,D_assign_vphpl,D_obs_vphpl,D_ratio,queued_bins,observation_weight,inside_window,below_lower,above_upper,t0_min_obs,T2_min_obs,t3_min_obs,P_h_obs,vT2_mph_obs,t0_min_model,T2_min_model,t3_min_model,P_h_model,vT2_mph_model,right_censored,speed_mae_episode_mph,speed_mae_period_mph
25785,30057,34017,110P04171,I66_WB,I-66,WESTBOUND,AM,3.0,12,4,0.49,1,65.0,75.0,10.0,70.23,True,45.5,56.25,2000.0,8000.0,,,0.0,0.0,0.0,24000.0,0.0,-1,0.0,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.27
25785,30057,34017,110P04171,I66_WB,I-66,WESTBOUND,MD,6.0,24,4,0.49,1,65.0,75.0,10.0,70.23,True,45.5,56.25,2000.0,8000.0,,,0.0,0.0,0.0,48000.0,0.0,-1,0.0,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.27
25785,30057,34017,110P04171,I66_WB,I-66,WESTBOUND,PM,4.0,16,4,0.49,1,65.0,75.0,10.0,70.23,True,45.5,56.25,2000.0,8000.0,,,13422.6055,0.0,0.0,32000.0,13422.6055,-1,838.9,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,4.27
25946,30103,30210,110+04164,I66_WB,I-66,WESTBOUND,AM,3.0,12,3,0.29,1,53.4065,63.0,9.59,63.52,False,37.38455,47.25,1900.0,5700.0,,,4790.2311,0.0,0.0,17100.0,4790.2311,-1,532.2,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,3.16
25946,30103,30210,110+04164,I66_WB,I-66,WESTBOUND,MD,6.0,24,3,0.29,1,53.4065,63.0,9.59,63.52,False,37.38455,47.25,1900.0,5700.0,,,10525.6085,0.0,0.0,34200.0,10525.6085,-1,584.8,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,3.16
25946,30103,30210,110+04164,I66_WB,I-66,WESTBOUND,PM,4.0,16,3,0.29,1,53.4065,63.0,9.59,63.52,False,37.38455,47.25,1900.0,5700.0,,,6005.0065,0.0,0.0,22800.0,6005.0065,-1,500.4,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,3.16
25947,30103,30212,110N04162,I66_EB,I-66,EASTBOUND,AM,3.0,12,2,0.18,1,54.3095,63.0,8.69,60.46,True,38.01665,47.25,1900.0,3800.0,,,5110.3786,0.0,0.0,11400.0,5110.3786,-1,851.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,10.7
25947,30103,30212,110N04162,I66_EB,I-66,EASTBOUND,MD,6.0,24,2,0.18,1,54.3095,63.0,8.69,60.46,True,38.01665,47.25,1900.0,3800.0,,,11289.1824,0.0,0.0,22800.0,11289.1824,-1,940.8,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,10.7
25947,30103,30212,110N04162,I66_EB,I-66,EASTBOUND,PM,4.0,16,2,0.18,1,54.3095,63.0,8.69,60.46,True,38.01665,47.25,1900.0,3800.0,,,7592.0683,0.0,0.0,15200.0,7592.0683,-1,949.0,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,10.7
25966,30110,30237,110+04166,I66_WB,I-66,WESTBOUND,AM,3.0,12,2,0.13,2,61.7,75.0,13.3,68.23,True,43.19,56.25,2000.0,4000.0,,,0.0,0.0,0.0,12000.0,0.0,-1,0.0,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,2.06,2.07
