corridor,net_link_id,tmcs,miles,lanes,C_vphpl,C_veh_per_h,free_speed_mph,cutoff_mph,congested,P_h,t0_min,T2_min,t3_min,vT2_mph,onset_to_T2_h,T2_to_recovery_h,recovery_over_onset,episode_starts_before_noon,episode_longer_than_the_pm_window,D_veh_per_lane,D_veh_total,V_veh_per_lane,V_veh_total,D_over_C_h,V_over_C_h,speed_mae_period_mph,speed_rmse_period_mph,speed_mae_episode_mph,speed_rmse_episode_mph,episode_bins_in_pm,P_h_config_vf,D_veh_per_lane_config_vf,D_over_C_h_config_vf,congested_tmcs_config_vf,cbi_free_speed_mph,cbi_cutoff_mph,cbi_capacity_vphpl,t0_clock,T2_clock,t3_clock,note
I-395 NB,26230,1,0.319695,3,2200.0,6600.0,59.823,41.8761,True,3.383330096388889,962.84886485,990.0,1165.8486706333335,33.81111111111111,0.4525189191666667,2.9308111772222225,6.476659987209903,False,False,5963.55749948651,17890.67249845953,8706.42845176034,26119.28535528102,2.71070795431205,3.9574674780728816,5.82594214637226,8.977649399938596,1.3020673644202565,1.8662115572818334,11,4.0,8458.03387621796,3.8445608528263455,1,60.669,42.5,1900.0,16:02,16:30,19:25,
I-395 NB,26297,1,0.19736,3,2200.0,6600.0,56.94911111111111,39.864377777777776,True,6.411596201388889,806.2177385166667,1050.0,1190.9135105999999,14.055777777777777,4.063037691388889,2.34855851,0.5780302050796827,False,True,7160.268843551792,21480.806530655376,7160.268843551792,21480.806530655376,3.2546676561599055,3.2546676561599055,3.599294349712034,4.584466116451115,3.599294349712034,4.584466116451115,16,4.0,6545.523973568876,2.9752381698040344,1,57.88,40.5,1900.0,13:26,17:30,19:50,"episode runs past the PM window, as most do"
I-395 NB,26423,1,0.082891,4,2200.0,8800.0,64.90405555555556,45.43283888888889,False,0.0,,,,,,,,False,False,0.0,0.0,8432.552105187999,33730.208420751995,0.0,3.8329782296309083,10.894458333333336,11.001318039230968,,,0,0.0,0.0,0.0,0,65.44,45.8,1900.0,,,,
I-395 NB,26469,1,0.162246,6,2200.0,13200.0,50.997,35.6979,True,14.633681971388889,362.29660655000004,975.0,1240.3175248333332,8.897777777777776,10.211723224166667,4.421958747222222,0.4330276732096877,True,True,5479.710053773497,32878.260322640985,5479.710053773497,32878.260322640985,2.4907772971697715,2.4907772971697715,0.7883234212353185,0.9390583050942074,0.7883234212353185,0.9390583050942074,16,4.0,4700.843253602023,2.136746933455465,1,52.075,36.5,1900.0,06:02,16:15,20:40,episode spans the morning peak too; P is an all-day figure
I-395 NB,26778,1,0.391606,4,2200.0,8800.0,64.22716666666666,44.95901666666666,False,0.0,,,,,,,,False,False,0.0,0.0,8281.31867694491,33125.27470777964,0.0,3.764235762247686,9.330083333333327,9.368182897248333,,,0,0.0,0.0,0.0,0,64.5,45.1,1900.0,,,,
I-395 NB,26785,1,0.778625,4,2200.0,8800.0,65.51533333333333,45.86073333333333,False,0.0,,,,,,,,False,False,0.0,0.0,7567.041440488352,30268.16576195341,0.0,3.4395642911310693,5.629430555555553,5.664913765102639,,,0,0.0,0.0,0.0,0,,,,,,,
I-395 NB,26812,1,0.095046,3,2200.0,6600.0,61.50416666666666,43.05291666666666,False,0.0,,,,,,,,False,False,0.0,0.0,7553.4185454233375,22660.255636270012,0.0,3.433372066101517,5.357513888888885,5.486670870880659,,,0,0.0,0.0,0.0,0,,,,,,,
I-395 NB,26822,1,0.02384,2,2200.0,4400.0,58.19111111111111,40.733777777777775,True,5.5321105075,851.6593992166667,1050.0,1183.5860296666665,20.43422222222222,3.305676679722222,2.226433827777778,0.673518327256635,False,True,7921.284934367122,15842.569868734245,7921.284934367122,15842.569868734245,3.6005840610759647,3.6005840610759647,3.150292487934311,3.9529064282742357,3.150292487934311,3.9529064282742357,16,4.0,7382.816531137278,3.35582569597149,1,,,,14:11,17:30,19:43,"episode runs past the PM window, as most do"
I-395 NB,26825,2,0.273911,3,2200.0,6600.0,52.44157780508178,36.70910446355724,True,7.358937995555555,771.1999251666667,1050.0,1212.7362049,9.56641891988262,4.646667913888889,2.7122700816666665,0.583702156454885,False,True,6109.594130529825,18328.782391589473,6109.594130529825,18328.782391589473,2.7770882411499205,2.7770882411499205,1.9313507316532448,2.4026270551373003,1.9313507316532448,2.4026270551373003,16,4.0,5367.810314322404,2.439913779237457,2,55.28499999999999,38.7,1900.0,12:51,17:30,20:12,"episode runs past the PM window, as most do"
I-395 NB,26830,1,0.080932,2,2200.0,4400.0,51.17711111111111,35.82397777777778,True,9.04712972611111,687.6280088333333,1050.0,1230.4557924,8.138888888888888,6.039533186111111,3.00759654,0.49798493481523665,True,True,5489.109352787476,10978.218705574953,5489.109352787476,10978.218705574953,2.495049705812489,2.495049705812489,1.1656237481878438,1.55693117136644,1.1656237481878438,1.55693117136644,16,4.0,4717.391401988147,2.144268819085521,1,,,,11:27,17:30,20:30,episode spans the morning peak too; P is an all-day figure
I-395 NB,28025,1,0.924456,4,2200.0,8800.0,66.91788888888888,46.842522222222215,True,2.4630188763888885,973.6919693166667,1080.0,1121.4731018999998,37.24977777777777,1.7718005113888888,0.691218365,0.39012200332765673,False,False,5425.0264361896,21700.1057447584,8552.958300241258,34211.83320096503,2.465921107358909,3.887708318291481,4.932973167797254,7.4385362293990696,1.063068179586726,1.3877318647164953,10,2.5,5381.696576504919,2.446225716593145,1,67.234,47.1,1900.0,16:13,18:00,18:41,
I-395 NB,28270,1,0.586105,4,2200.0,8800.0,67.11566666666667,46.98096666666667,True,1.4711931697222222,1018.4227183500001,1065.0,1106.6943085333332,41.926,0.7762880275,0.6949051422222222,0.8951640597371214,False,False,3282.362432507185,13129.44973002874,8447.859247813329,33791.436991253315,1.4919829238669022,3.8399360217333314,6.871006209298351,9.125257930120899,0.31501655812893264,0.3949254642383656,6,1.75,3813.445745880086,1.7333844299454937,1,,,,16:58,17:45,18:26,
I-395 NB,28285,1,0.596275,4,2200.0,8800.0,65.56405555555557,45.8948388888889,True,1.806475975277778,1014.9858546833333,1065.0,1123.3744132,37.65577777777778,0.8335690886111111,0.9729068866666667,1.1671580675906774,False,False,3791.5189600160056,15166.075840064022,8666.326385300697,34665.30554120279,1.7234177090981844,3.9392392660457713,8.5427112040026,11.249237445374263,0.5650462440694183,0.6794551485531433,7,2.5,5390.072812845918,2.4500330967481445,1,65.44999999999997,45.8,1900.0,16:54,17:45,18:43,
I-395 NB,28294,1,0.3436,4,2200.0,8800.0,66.94288888888889,46.86002222222222,True,1.8098321622222222,1015.4723168166668,1065.0,1124.0622465499998,35.43533333333334,0.825461386388889,0.9843707758333333,1.192509779457545,False,False,3746.2098984642193,14984.839593856877,8537.240320369814,34148.961281479256,1.7028226811200997,3.8805637819862793,7.382973094840034,9.42421079920495,1.016351200904212,1.270531385903735,7,1.75,3707.549957555565,1.685249980707075,1,,,,16:55,17:45,18:44,
I-395 NB,28303,1,0.704235,4,2200.0,8800.0,67.20616666666668,47.04431666666667,True,1.8431748552777778,1012.3181580833333,1065.0,1122.9086494,38.31755555555555,0.8780306986111112,0.9651441566666666,1.0992145926029164,False,False,3237.8849092395803,12951.539636958321,8581.732486253492,34326.929945013966,1.471765867836173,3.900787493751587,7.737882454867856,9.771492575945013,1.388374182555086,1.6414511191860106,7,1.75,3758.352167265397,1.708341894211544,1,,,,16:52,17:45,18:42,
I-395 NB,29007,1,0.27347,4,2200.0,8800.0,64.2635,44.984449999999995,True,12.856838184444445,392.74829578333333,1020.0,1164.1585868500001,19.915333333333336,10.454195070277777,2.4026431141666666,0.22982573962079572,True,True,7377.808005528865,29511.23202211546,7377.808005528865,29511.23202211546,3.3535490934222114,3.3535490934222114,4.252693314248818,5.635954293413401,4.252693314248818,5.635954293413401,16,4.0,7122.088573477488,3.2373129879443128,1,65.15050000000001,45.6,2000.0,06:32,17:00,19:24,episode spans the morning peak too; P is an all-day figure
I-395 NB,29361,1,1.621245,4,2200.0,8800.0,65.26299999999999,45.684099999999994,True,4.8314856369444446,858.3219759166666,1050.0,1148.2111141333332,15.26666666666666,3.1946337347222222,1.636851902222222,0.5123754515052564,False,True,7415.308675134408,29661.234700537632,7415.308675134408,29661.234700537632,3.370594852333822,3.370594852333822,5.033426797479942,6.034692315893167,5.033426797479942,6.034692315893167,16,4.0,7223.273409665362,3.283306095302437,1,,,,14:18,17:30,19:08,"episode runs past the PM window, as most do"
I-395 NB,32141,1,1.151222,4,2200.0,8800.0,66.07944444444443,46.2556111111111,False,0.0,,,,,,,,False,False,1646.0420604308874,6584.16824172355,8641.202813961982,34564.811255847926,0.7482009365594943,3.92781946089181,15.623583333333325,16.17766463215927,,,0,1.75,3831.532520182056,1.7416056909918436,1,,,,,,,
I-395 NB,32601,1,0.647875,4,2200.0,8800.0,65.08833333333332,45.561833333333325,True,3.604855220277778,925.0798872166666,1050.0,1141.3712004333333,34.748,2.082001879722222,1.5228533405555555,0.7314370632358567,False,False,7548.793804471392,30195.175217885568,8648.589067694491,34594.356270777964,3.4312699111233598,3.9311768489520413,3.246634219662437,6.640642821709567,1.0752168859634215,1.336420332774562,14,4.0,8525.604160178067,3.875274618262758,1,65.8845,46.1,2000.0,15:25,17:30,19:01,
I-395 SB,26471,2,0.24169,3,2200.0,6600.0,50.84182941275405,35.589280588927835,False,0.0,,,,,,,,False,False,0.0,0.0,8263.590568556332,24790.771705668994,0.0,3.756177531161969,7.475757605504175,7.612631370252326,,,0,4.0,8673.09434615275,3.942315611887613,2,53.5085,37.5,1900.0,,,,
I-395 SB,26712,1,0.189735,6,2200.0,13200.0,51.42655555555555,35.99858888888888,False,0.0,,,,,,,,False,False,0.0,0.0,8619.924479017953,51719.54687410772,0.0,3.918147490462706,10.647472222222216,10.776440263227625,,,0,4.0,8556.72371442718,3.889419870194173,1,53.44599999999999,37.4,1900.0,,,,
I-395 SB,26759,1,0.59288,4,2200.0,8800.0,60.45061111111111,42.31542777777777,True,3.2382549183333333,913.0985218166667,945.0,1107.3938169166665,27.590666666666664,0.5316913030555556,2.706563615277778,5.090479381030939,False,False,6851.089775371948,27404.359101487793,8462.728873954962,33850.91549581985,3.114131716078158,3.846694942706801,3.893100350765308,5.700804646198583,2.0116406026513203,2.4190172769300644,13,3.75,7652.95240599114,3.478614729995973,1,,,,15:13,15:45,18:27,
I-395 SB,26764,1,0.223822,4,2200.0,8800.0,59.35461111111111,41.548227777777775,True,3.2610082669444442,916.0275323666666,1065.0,1111.6880283833334,28.12244444444445,2.4828744605555553,0.778133806388889,0.3134003828025915,False,False,6222.577513727064,24890.310054908256,8397.23647236302,33588.94588945208,2.8284443244213926,3.816925669255918,4.596519949061549,6.857572565646978,2.5259860911526753,3.709906954230307,13,4.0,8062.223339507418,3.664646972503372,1,61.64,43.1,1900.0,15:16,17:45,18:31,
I-395 SB,26776,1,0.539375,4,2200.0,8800.0,61.56772222222222,43.097405555555554,True,3.2453537563888886,917.3021166333333,1050.0,1112.0233420166667,29.115777777777776,2.2116313894444444,1.0337223669444444,0.46740264760128614,False,False,6197.400642822427,24789.602571289706,8372.962894579376,33491.8515783175,2.817000292192012,3.805892224808807,4.719045840101828,7.046002181929405,2.596154709185155,3.884962703591794,13,3.5,7025.7872417775725,3.193539655353442,1,63.661,44.6,1900.0,15:17,17:30,18:32,
I-395 SB,26781,1,0.075065,4,2200.0,8800.0,63.10066666666667,44.17046666666666,True,3.3575483349999997,916.176645,1050.0,1117.6295451,29.906888888888897,2.23038925,1.127159085,0.5053642923539019,False,False,6199.692721576641,24798.770886306564,8387.30152091234,33549.20608364936,2.8180421461712,3.812409782232882,5.14066391725511,7.64083925208927,2.75249234260458,3.936856760434402,13,3.75,7630.711981066815,3.4685054459394613,1,65.25150000000001,45.7,1900.0,15:16,17:30,18:37,
I-395 SB,26792,1,0.626954,4,2200.0,8800.0,63.44666666666667,44.41266666666667,True,3.980383832222222,890.4409546833334,1065.0,1129.2639846166667,28.813333333333333,2.909317421944444,1.0710664102777778,0.36815041294529144,False,False,7733.541187134232,30934.16474853693,8283.071385842763,33132.28554337105,3.5152459941519236,3.7650324481103468,2.825846921643053,3.893315008502918,2.825846921643053,3.893315008502918,16,4.0,8038.16658972086,3.6537120862367543,1,,,,14:50,17:45,18:49,
I-395 SB,26796,1,0.481819,4,2200.0,8800.0,64.55691666666667,45.189841666666666,True,4.731945048333333,854.8795478,945.0,1138.7962507,19.74711111111111,1.5020075366666668,3.2299375116666664,2.1504136516083747,False,True,7421.233722175302,29684.93488870121,7421.233722175302,29684.93488870121,3.3732880555342284,3.3732880555342284,5.106726422769587,6.3910547872967856,5.106726422769587,6.3910547872967856,16,4.0,7182.105311588248,3.2645933234492035,1,65.997,46.2,1900.0,14:14,15:45,18:58,"episode runs past the PM window, as most do"
I-395 SB,26809,1,1.063231,3,2200.0,6600.0,58.924055555555555,41.24683888888889,True,3.8261844405555556,893.4892098666667,945.0,1123.0602763,20.850222222222225,0.8585131688888888,2.9676712716666667,3.4567568433545497,False,False,7273.175282503171,21819.52584750951,7819.1428583605075,23457.42857508152,3.3059887647741686,3.5541558447093218,3.970907853011515,5.4874138104827255,3.3123128209900607,4.396737289388679,15,4.0,7357.53459255774,3.344333905708064,1,,,,14:53,15:45,18:43,
I-395 SB,26827,1,0.031164,2,2200.0,4400.0,54.52861111111111,38.170027777777776,False,0.0,,,,,,,,False,False,0.0,0.0,7198.903867056328,14397.807734112655,0.0,3.272229030480149,4.6052916666666714,5.235094122133108,,,0,1.25,2741.698980855852,1.2462268094799327,1,,,,,,,
I-395 SB,26829,2,0.246745,3,2200.0,6600.0,51.975535325980786,36.38287472818655,False,0.0,,,,,,,,False,False,0.0,0.0,7695.435268407656,23086.305805222968,0.0,3.4979251220034797,5.3928417176223284,5.7556517011126935,,,0,3.4392834707896816,7523.028719259166,3.4195585087541662,2,55.2045,38.6,1900.0,,,,
I-395 SB,28283,1,0.771707,4,2200.0,8800.0,63.590666666666664,44.51346666666666,False,0.0,,,,,,,,False,False,0.0,0.0,8486.627972458316,33946.511889833266,0.0,3.8575581692992347,11.586638888888883,11.824174676389791,,,0,0.25,549.5937569113751,0.249815344050625,1,,,,,,,
I-395 SB,28289,1,0.922212,4,2200.0,8800.0,64.39116666666666,45.07381666666666,True,3.4537893044444443,902.8876360166666,945.0,1110.1149942833333,32.27488888888889,0.7018727330555555,2.7519165713888887,3.9208198891109585,False,False,6383.896825625237,25535.58730250095,8566.312676256659,34265.250705026636,2.901771284375108,3.8937784892075724,3.0606924062200154,5.624811492948151,1.354672273775255,1.6346660297653586,14,3.75,7887.907032193146,3.585412287360521,1,65.61,45.9,1900.0,15:02,15:45,18:30,
I-395 SB,28302,1,0.76605,4,2200.0,8800.0,63.196999999999996,44.237899999999996,True,3.251998789166667,906.19414485,945.0,1101.3140721999998,22.20866666666667,0.6467642525,2.605234536666667,4.028105336057773,False,False,6100.773333208978,24403.093332835913,8246.574386549364,32986.29754619746,2.773078787822263,3.7484429029769837,4.326409636398972,6.079943620638314,2.5765981849696753,3.3519531671291163,13,3.5,6995.987803407588,3.1799944560943585,1,64.48,45.1,1900.0,15:06,15:45,18:21,
I-395 SB,28307,1,0.122184,4,2200.0,8800.0,60.73838888888889,42.51687222222222,True,3.1006261952777776,914.1153399333333,945.0,1100.1529116499999,27.51155555555556,0.5147443344444445,2.585881860833333,5.023623744444386,False,False,6368.194099151344,25472.776396605375,8506.718162668505,34026.87265067402,2.894633681432429,3.8666900739402297,3.6970434066654865,5.275904665229668,2.0990747911096577,2.7752513062073056,13,3.5,7220.947746351016,3.282248975614098,1,62.44599999999999,43.7,1900.0,15:14,15:45,18:20,
I-395 SB,32603,1,1.301767,3,2200.0,6600.0,64.42027777777778,45.09419444444445,False,0.0,,,,,,,,False,False,0.0,0.0,8479.426294717152,25438.278884151456,0.0,3.854284679416887,12.160847222222223,12.6242296655951,,,0,0.75,1646.2956619093616,0.7483162099588007,1,,,,,,,
I-395 SB,32610,1,0.183298,3,2200.0,6600.0,64.0265,44.818549999999995,False,0.0,,,,,,,,False,False,0.0,0.0,8606.665418526394,25819.996255579183,0.0,3.9121206447847245,12.891499999999999,13.001930150278305,,,0,0.5,1099.5480810039617,0.499794582274528,1,,,,,,,
I-395 SB,32611,1,0.508993,4,2200.0,8800.0,64.09511111111112,44.866577777777785,False,0.0,,,,,,,,False,False,0.0,0.0,8553.184301516125,34212.7372060645,0.0,3.887811046143693,12.028194444444456,12.089610419644039,,,0,0.0,0.0,0.0,0,65.6815,46.0,2000.0,,,,
