corridor,tmc_code,n,p85,p95,p99,observed_max,inrix_reference,night_median,corridor_p95,assignment_model,p95_over_observed_max,assignment_over_observed_max
I395_NB,110+04121,2208,61.4695,65.333,67.09859999999999,69.32,58.0,61.41,65.89,69.0,0.9424841315637623,0.9953837276399309
I395_NB,110+04122,2208,63.489000000000004,66.5465,68.5879,70.05,60.0,63.06,65.89,63.0,0.9499857244825125,0.8993576017130621
I395_NB,110+04123,2208,64.81949999999999,67.2765,69.3937,70.65,62.0,63.59,65.89,63.0,0.9522505307855625,0.8917197452229298
I395_NB,110+04124,2208,64.59949999999999,67.18950000000001,69.62719999999999,71.3,62.0,63.735,65.89,63.0,0.9423492286115008,0.8835904628330996
I395_NB,110+04125,2208,65.8995,68.08,70.1186,71.99,62.0,64.755,65.89,63.0,0.9456869009584665,0.8751215446589805
I395_NB,110+04126,2208,62.51,65.51950000000001,68.03790000000001,70.35,58.0,61.92,65.89,63.0,0.9313361762615496,0.8955223880597015
I395_NB,110+04127,2208,63.8095,66.15,68.1179,69.86,60.0,62.655,65.89,66.0,0.9468937875751504,0.9447466361294017
I395_NB,110+04129,2207,52.133,55.653999999999996,59.3294,64.0,49.0,51.29,65.89,63.0,0.8695937499999999,0.984375
I395_NB,110+04130,2207,48.79,52.70299999999998,55.9688,60.63,45.0,48.945,65.89,63.0,0.8692561438231895,1.0390895596239484
I395_NB,110+04670,2208,60.009499999999996,62.25,65.1465,67.32,57.0,58.19,65.89,63.0,0.9246880570409983,0.9358288770053477
I395_NB,110P04120,2208,63.0595,65.65,67.4486,69.59,60.0,62.88,65.89,63.0,0.9433826699238397,0.9053024859893662
I395_NB,110P04121,2208,62.368,65.9665,67.96159999999998,68.78,59.0,62.0,65.89,69.0,0.9590942134341378,1.0031986042454202
I395_NB,110P04122,2208,65.32,67.84649999999999,69.6686,71.12,63.0,64.39500000000001,65.89,63.0,0.9539721597300336,0.8858267716535433
I395_NB,110P04123,2208,62.5395,65.6195,68.2865,70.51,60.0,61.715,65.89,63.0,0.930641043823571,0.8934902850659481
I395_NB,110P04124,2208,65.0495,67.23,69.4486,71.16,62.0,64.12,65.89,63.0,0.9447723440134909,0.8853288364249579
I395_NB,110P04125,2208,65.4195,67.81,69.38,71.39,62.0,64.25,65.89,63.0,0.9498529205771117,0.8824765373301583
I395_NB,110P04126,2208,61.57,64.69,67.1893,68.71,58.0,60.86,65.89,63.0,0.9414932324261389,0.916897103769466
I395_NB,110P04127,2208,59.9,62.1865,64.1793,67.36,58.0,58.055,65.89,63.0,0.9231962589073635,0.9352731591448932
I395_NB,110P04128,2208,54.9985,58.1165,61.398599999999995,66.98,52.0,54.19,65.89,63.0,0.8676694535682293,0.9405792773962376
I395_NB,110P04130,2207,48.032,52.147,55.33,60.24,43.0,48.75,65.89,63.0,0.8656540504648074,1.045816733067729
I395_NB,110P04670,2208,57.759499999999996,60.76,63.5193,67.72,55.0,57.0,65.89,63.0,0.8972238629651506,0.9303012404016539
I395_SB,110-04121,2208,65.1895,66.4665,67.8879,70.05,63.0,63.71,64.77,63.0,0.9488436830835117,0.8993576017130621
I395_SB,110-04122,2208,64.29,65.70649999999999,67.1179,70.02,62.0,62.785,64.77,63.0,0.9383961725221365,0.8997429305912596
I395_SB,110-04123,2208,61.13,62.59,64.3586,67.68,59.0,58.655,64.77,63.0,0.9247931442080378,0.9308510638297871
I395_SB,110-04124,2208,59.79,61.763000000000005,63.859499999999976,67.57,58.0,58.235,64.77,63.0,0.9140594938582213,0.932366434808347
I395_SB,110-04125,2208,63.7895,65.3565,67.38929999999999,69.25,61.0,62.035,64.77,63.0,0.9437761732851985,0.9097472924187726
I395_SB,110-04126,2208,64.59,66.12,68.2279,69.8,61.0,63.739999999999995,64.77,63.0,0.9472779369627509,0.9025787965616047
I395_SB,110-04127,2208,58.759499999999996,60.0465,61.663699999999984,64.31,56.0,54.425,64.77,63.0,0.9337039340693516,0.9796299175866895
I395_SB,110-04128,2208,51.24,53.6695,56.035299999999964,61.92,50.0,50.825,64.77,63.0,0.8667554909560723,1.0174418604651163
I395_SB,110N04120,2206,64.3,65.765,67.16749999999999,68.45,62.0,63.185,64.77,63.0,0.9607742878013148,0.9203798392987582
I395_SB,110N04121,2208,64.1,65.8365,67.65159999999997,69.72,62.0,62.86,64.77,69.0,0.9442986230636833,0.9896729776247849
I395_SB,110N04122,2208,63.9895,65.31649999999999,66.7572,69.72,63.0,62.265,64.77,63.0,0.9368402180149167,0.9036144578313253
I395_SB,110N04123,2208,63.3595,64.6065,66.2872,69.57,62.0,60.82,64.77,63.0,0.9286545924967659,0.905562742561449
I395_SB,110N04124,2208,60.5595,62.2265,64.3665,68.54,59.0,58.620000000000005,64.77,63.0,0.9078859060402684,0.9191712868398015
I395_SB,110N04125,2208,62.22,63.78,65.5893,68.62,60.0,60.485,64.77,63.0,0.9294666278053045,0.9180996793937627
I395_SB,110N04126,2208,64.1395,65.73,67.2586,69.68,61.0,62.495000000000005,64.77,63.0,0.9433122847301951,0.9041331802525832
I395_SB,110N04127,2208,59.5695,60.8665,62.44579999999999,65.82,57.0,57.46,64.77,63.0,0.9247417198419935,0.9571558796718324
I395_SB,110N04128,2208,53.4595,55.2965,57.39159999999998,62.75,52.0,52.595,64.77,63.0,0.8812191235059761,1.00398406374502
I395_SB,110N04129,2208,51.449000000000005,53.6565,56.454399999999985,60.24,49.0,51.32,64.77,63.0,0.8907121513944223,1.045816733067729
I395_SB,110N04130,2207,51.031,53.67099999999999,56.627,61.7,49.0,51.015,64.77,63.0,0.8698703403565639,1.0210696920583469
I395_SB,110N04670,2208,57.9695,59.273,60.82299999999998,63.59,56.0,54.635000000000005,64.77,63.0,0.9321119672904544,0.9907218116055984
I66_EB,110+58626,2208,72.0,72.79,74.19,75.59,72.0,72.0,71.0,75.0,0.9629580632358778,0.9921947347532742
I66_EB,110+58627,2208,72.65,73.0,74.26299999999998,75.31,73.0,72.33,71.0,75.0,0.9693267826317886,0.9958836807860841
I66_EB,110+58628,2208,71.72,72.3065,73.7865,75.2,72.0,71.065,71.0,69.0,0.9615226063829787,0.9175531914893617
I66_EB,110+58629,2208,71.23949999999999,72.0,73.38089999999998,75.0,72.0,69.76,71.0,69.0,0.96,0.92
I66_EB,110+58630,2208,70.20949999999999,71.1965,72.59,75.0,70.0,67.715,71.0,66.0,0.9492866666666667,0.88
I66_EB,110+58631,2208,71.72,72.45649999999999,73.96929999999999,75.6,72.0,69.815,71.0,63.0,0.9584193121693121,0.8333333333333334
I66_EB,110+58632,2208,71.77,72.52,74.32929999999999,76.0,72.0,69.815,71.0,63.0,0.9542105263157894,0.8289473684210527
I66_EB,110+58633,2208,69.70949999999999,71.0,73.36459999999995,75.46,69.0,68.205,71.0,69.0,0.9408958388550226,0.9143917307182614
I66_EB,110+58634,2208,70.06,71.31,73.71369999999999,75.46,70.0,69.125,71.0,63.0,0.9450039756162206,0.8348794063079779
I66_EB,110+58635,2208,68.8,70.1265,72.23649999999999,74.73,69.0,67.39,71.0,63.0,0.9383982336411079,0.8430349257326375
I66_EB,110+58636,2208,65.49,67.763,70.1193,75.0,65.0,62.595,71.0,69.0,0.9035066666666668,0.92
I66_EB,110-04163,2208,53.26,55.8765,58.248599999999996,61.34,50.0,50.13,71.0,63.0,0.9109308770785783,1.0270622758395827
I66_EB,110-04164,2208,60.48,62.46,64.2179,67.95,56.0,54.724999999999994,71.0,75.0,0.919205298013245,1.1037527593818983
I66_EB,110-04165,2208,61.869499999999995,63.636500000000005,65.31649999999999,67.16,59.0,57.175,71.0,75.0,0.9475357355568792,1.1167361524717094
I66_EB,110-04166,2208,62.959,64.94,66.4179,67.49,61.0,60.775000000000006,71.0,75.0,0.9622166246851386,1.111275744554749
I66_EB,110-04168,2208,64.23,65.62,66.9093,69.11,62.0,61.894999999999996,71.0,75.0,0.9495007958327305,1.0852264505860223
I66_EB,110-04172,2208,64.54,66.24,67.3679,70.37,62.0,61.879999999999995,71.0,75.0,0.9413102174221968,1.0657950831320164
I66_EB,110-04173,2208,65.609,67.736,69.3686,71.05,62.0,62.224999999999994,71.0,75.0,0.9533567909922591,1.055594651653765
I66_EB,110-04174,2208,66.31949999999999,67.8565,69.29299999999998,71.48,63.0,63.0,71.0,75.0,0.9493074986010072,1.0492445439283715
I66_EB,110-04175,2208,63.4895,65.56649999999999,67.34229999999998,69.78,59.0,62.345,71.0,75.0,0.9396173688736026,1.0748065348237317
I66_EB,110-04176,2208,64.4985,66.8765,69.1137,71.12,61.0,63.28,71.0,75.0,0.9403332395950504,1.0545556805399325
