corridor,net_link_id,tmc_code,lanes,miles,C_vphpl,C_veh_per_h,free_speed_mph,cutoff_mph,D_assign_vphpl,D_obs_vphpl,D_ratio,P_h_obs,T2_clock_obs,vT2_mph_obs,P_h_model,T2_clock_model,vT2_mph_model,P_h_err,T2_min_err,vT2_mph_err,speed_mae_episode_mph,speed_mae_pm_mph,mae_episode_assignment_only_mph,note
I395_NB,26297,110P04128,3,0.17,1900.0,5700.0,58.12,40.68,311.0,1605.6,0.194,5.79,17:30,17.96,9.58,17:30,18.6,,0.0,0.64,1.62,1.62,35.32,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I395_NB,26469,110P04130,6,0.2,1900.0,11400.0,52.15,36.5,760.9,1215.4,0.626,15.85,16:00,9.67,17.82,15:45,9.59,,-15.0,-0.08,0.46,0.46,41.15,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I395_NB,26501,110+04130,3,0.15,1900.0,5700.0,52.7,36.89,391.2,1198.8,0.326,14.4,17:30,9.43,17.54,17:15,9.61,,-15.0,0.18,0.62,0.62,41.91,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I395_NB,26825,110+04129,3,0.23,1900.0,5700.0,55.65,38.96,311.0,1422.0,0.219,6.27,17:30,13.04,9.84,17:30,13.41,,0.0,0.37,1.09,1.09,39.16,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I395_NB,27878,110+04124,4,0.27,1900.0,7600.0,67.19,47.03,1206.6,701.3,1.72,1.51,17:45,39.45,0.6,17:45,42.87,-0.91,0.0,3.42,10.94,12.59,24.48,
I395_NB,28294,110+04124,4,0.07,1900.0,7600.0,67.19,47.03,1206.6,701.3,1.72,1.51,17:45,39.45,1.05,17:45,37.62,-0.46,0.0,-1.83,4.09,10.02,24.48,
I395_NB,29007,110+04121,4,0.43,2000.0,8000.0,65.33,45.73,1143.7,1672.9,0.684,13.13,17:30,20.55,17.28,17:15,20.49,,-15.0,-0.06,0.49,0.49,40.19,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I395_NB,29361,110P04120,4,0.23,1900.0,7600.0,65.65,45.95,2214.8,1637.7,1.352,4.19,17:30,18.11,8.78,17:15,17.6,,-15.0,-0.51,2.05,2.05,28.58,model episode still open at 19:00; P not comparable; V_assign above what free-flow bins can absorb
I395_NB,32581,110P04120,3,0.68,1900.0,5700.0,65.65,45.95,1290.1,1637.7,0.788,4.19,17:30,18.11,8.78,17:15,17.6,,-15.0,-0.51,2.05,2.05,36.95,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I395_SB,26699,110N04127,3,0.1,1900.0,5700.0,60.87,42.61,1585.0,1657.2,0.956,3.92,16:45,21.19,8.86,17:00,21.64,,15.0,0.45,1.84,1.84,33.99,model episode still open at 19:00; P not comparable; V_assign below the observed discharge
I395_SB,26759,110N04124,4,0.28,1900.0,7600.0,62.23,43.56,1757.9,1587.2,1.107,3.56,15:45,29.33,3.09,16:00,28.01,-0.47,15.0,-1.32,2.55,4.06,27.48,
I395_SB,26764,110-04124,4,0.29,1900.0,7600.0,61.76,43.23,1757.9,1570.6,1.119,3.64,17:30,29.52,3.09,17:30,29.17,-0.55,0.0,-0.35,2.31,3.98,28.55,
