link_id,corridor,tmc_code,t_min,anchor_period,lanes,length_mi,free_speed_mph,cutoff_mph,obs_speed_mph,model_speed_mph,assignment_only_speed_mph,queue_model_veh,queue_meas_veh,clock,in_pm_period,in_episode_obs,in_episode_model
25785,I66_WB,110P04171,360,AM,4,0.49,65.0,45.5,62.49521739130434,65.0,65.0,0.0,0.0,06:00,False,False,False
25785,I66_WB,110P04171,375,AM,4,0.49,65.0,45.5,61.84913043478261,65.0,65.0,0.0,0.0,06:15,False,False,False
25785,I66_WB,110P04171,390,AM,4,0.49,65.0,45.5,59.69521739130435,65.0,65.0,0.0,0.0,06:30,False,False,False
25785,I66_WB,110P04171,405,AM,4,0.49,65.0,45.5,58.63782608695652,65.0,65.0,0.0,0.0,06:45,False,False,False
25785,I66_WB,110P04171,420,AM,4,0.49,65.0,45.5,57.62608695652175,65.0,65.0,0.0,0.0,07:00,False,False,False
25785,I66_WB,110P04171,435,AM,4,0.49,65.0,45.5,53.646956521739135,65.0,65.0,0.0,0.0,07:15,False,False,False
25785,I66_WB,110P04171,450,AM,4,0.49,65.0,45.5,50.85565217391304,65.0,65.0,0.0,0.0,07:30,False,False,False
25785,I66_WB,110P04171,465,AM,4,0.49,65.0,45.5,50.39434782608696,65.0,65.0,0.0,0.0,07:45,False,False,False
25785,I66_WB,110P04171,480,AM,4,0.49,65.0,45.5,51.60434782608696,65.0,65.0,0.0,0.0,08:00,False,False,False
25785,I66_WB,110P04171,495,AM,4,0.49,65.0,45.5,51.00086956521739,65.0,65.0,0.0,0.0,08:15,False,False,False
25785,I66_WB,110P04171,510,AM,4,0.49,65.0,45.5,50.02565217391304,65.0,65.0,0.0,0.0,08:30,False,False,False
25785,I66_WB,110P04171,525,AM,4,0.49,65.0,45.5,51.25260869565217,65.0,65.0,0.0,0.0,08:45,False,False,False
25785,I66_WB,110P04171,540,MD,4,0.49,65.0,45.5,50.90086956521739,65.0,65.0,0.0,0.0,09:00,False,False,False
25785,I66_WB,110P04171,555,MD,4,0.49,65.0,45.5,51.94565217391305,65.0,65.0,0.0,0.0,09:15,False,False,False
25785,I66_WB,110P04171,570,MD,4,0.49,65.0,45.5,52.71782608695652,65.0,65.0,0.0,0.0,09:30,False,False,False
25785,I66_WB,110P04171,585,MD,4,0.49,65.0,45.5,56.26260869565217,65.0,65.0,0.0,0.0,09:45,False,False,False
25785,I66_WB,110P04171,600,MD,4,0.49,65.0,45.5,57.58565217391305,65.0,65.0,0.0,0.0,10:00,False,False,False
