interval_id,link_id,mu_veh_per_hour
1,25785,8000.0
2,25785,8000.0
3,25785,8000.0
4,25785,8000.0
5,25785,8000.0
6,25785,8000.0
7,25785,8000.0
8,25785,8000.0
9,25785,8000.0
10,25785,8000.0
11,25785,8000.0
12,25785,8000.0
13,25785,8000.0
14,25785,8000.0
15,25785,8000.0
16,25785,8000.0
17,25785,8000.0
18,25785,8000.0
19,25785,8000.0
20,25785,8000.0
21,25785,8000.0
22,25785,8000.0
23,25785,8000.0
24,25785,8000.0
25,25785,8000.0
26,25785,8000.0
27,25785,8000.0
28,25785,8000.0
29,25785,8000.0
30,25785,8000.0
31,25785,8000.0
32,25785,8000.0
33,25785,8000.0
34,25785,8000.0
35,25785,8000.0
36,25785,8000.0
37,25785,8000.0
38,25785,8000.0
39,25785,8000.0
40,25785,8000.0
41,25785,8000.0
42,25785,8000.0
43,25785,8000.0
44,25785,8000.0
45,25785,8000.0
46,25785,8000.0
47,25785,8000.0
48,25785,8000.0
49,25785,8000.0
50,25785,8000.0
51,25785,8000.0
52,25785,8000.0
53,25785,8000.0
54,25785,8000.0
55,25785,8000.0
56,25785,8000.0
57,25785,8000.0
58,25785,8000.0
59,25785,8000.0
60,25785,8000.0
61,25785,8000.0
62,25785,8000.0
63,25785,8000.0
64,25785,8000.0
65,25785,8000.0
66,25785,8000.0
67,25785,8000.0
68,25785,8000.0
69,25785,8000.0
70,25785,8000.0
71,25785,8000.0
72,25785,8000.0
73,25785,8000.0
74,25785,8000.0
75,25785,8000.0
76,25785,8000.0
77,25785,8000.0
78,25785,8000.0
79,25785,8000.0
80,25785,8000.0
81,25785,8000.0
82,25785,8000.0
83,25785,8000.0
84,25785,8000.0
85,25785,8000.0
86,25785,8000.0
87,25785,8000.0
88,25785,8000.0
89,25785,8000.0
90,25785,8000.0
91,25785,8000.0
92,25785,8000.0
93,25785,8000.0
94,25785,8000.0
95,25785,8000.0
96,25785,8000.0
1,25946,5700.0
2,25946,5700.0
3,25946,5700.0
4,25946,5700.0
5,25946,5700.0
6,25946,5700.0
7,25946,5700.0
8,25946,5700.0
9,25946,5700.0
10,25946,5700.0
11,25946,5700.0
12,25946,5700.0
13,25946,5700.0
14,25946,5700.0
15,25946,5700.0
16,25946,5700.0
17,25946,5700.0
18,25946,5700.0
19,25946,5700.0
20,25946,5700.0
21,25946,5700.0
22,25946,5700.0
23,25946,5700.0
24,25946,5700.0
25,25946,5700.0
26,25946,5700.0
27,25946,5700.0
28,25946,5700.0
29,25946,5700.0
30,25946,5700.0
31,25946,5700.0
32,25946,5700.0
33,25946,5700.0
34,25946,5700.0
35,25946,5700.0
36,25946,5700.0
37,25946,5700.0
38,25946,5700.0
39,25946,5700.0
40,25946,5700.0
41,25946,5700.0
42,25946,5700.0
43,25946,5700.0
44,25946,5700.0
45,25946,5700.0
46,25946,5700.0
47,25946,5700.0
48,25946,5700.0
49,25946,5700.0
50,25946,5700.0
51,25946,5700.0
52,25946,5700.0
53,25946,5700.0
54,25946,5700.0
55,25946,5700.0
56,25946,5700.0
57,25946,5700.0
58,25946,5700.0
59,25946,5700.0
60,25946,5700.0
61,25946,5700.0
62,25946,5700.0
63,25946,5700.0
64,25946,5700.0
65,25946,5700.0
66,25946,5700.0
67,25946,5700.0
68,25946,5700.0
69,25946,5700.0
70,25946,5700.0
71,25946,5700.0
72,25946,5700.0
73,25946,5700.0
74,25946,5700.0
75,25946,5700.0
76,25946,5700.0
77,25946,5700.0
78,25946,5700.0
79,25946,5700.0
80,25946,5700.0
81,25946,5700.0
82,25946,5700.0
83,25946,5700.0
84,25946,5700.0
85,25946,5700.0
86,25946,5700.0
87,25946,5700.0
88,25946,5700.0
89,25946,5700.0
90,25946,5700.0
91,25946,5700.0
92,25946,5700.0
93,25946,5700.0
94,25946,5700.0
95,25946,5700.0
96,25946,5700.0
1,25947,3800.0
2,25947,3800.0
3,25947,3800.0
4,25947,3800.0
5,25947,3800.0
6,25947,3800.0
7,25947,3800.0
8,25947,3800.0
9,25947,3800.0
10,25947,3800.0
11,25947,3800.0
12,25947,3800.0
13,25947,3800.0
14,25947,3800.0
15,25947,3800.0
16,25947,3800.0
17,25947,3800.0
18,25947,3800.0
19,25947,3800.0
20,25947,3800.0
21,25947,3800.0
22,25947,3800.0
23,25947,3800.0
24,25947,3800.0
25,25947,3800.0
26,25947,3800.0
27,25947,3800.0
28,25947,3800.0
29,25947,3800.0
30,25947,3800.0
31,25947,3800.0
32,25947,3800.0
33,25947,3800.0
34,25947,3800.0
35,25947,3800.0
36,25947,3800.0
37,25947,3800.0
38,25947,3800.0
39,25947,3800.0
40,25947,3800.0
41,25947,3800.0
42,25947,3800.0
43,25947,3800.0
44,25947,3800.0
45,25947,3800.0
46,25947,3800.0
47,25947,3800.0
48,25947,3800.0
49,25947,3800.0
50,25947,3800.0
51,25947,3800.0
52,25947,3800.0
53,25947,3800.0
54,25947,3800.0
55,25947,3800.0
56,25947,3800.0
57,25947,3800.0
58,25947,3800.0
59,25947,3800.0
60,25947,3800.0
61,25947,3800.0
62,25947,3800.0
63,25947,3800.0
64,25947,3800.0
65,25947,3800.0
66,25947,3800.0
67,25947,3800.0
68,25947,3800.0
69,25947,3800.0
70,25947,3800.0
71,25947,3800.0
72,25947,3800.0
73,25947,3800.0
74,25947,3800.0
75,25947,3800.0
76,25947,3800.0
77,25947,3800.0
78,25947,3800.0
79,25947,3800.0
80,25947,3800.0
81,25947,3800.0
82,25947,3800.0
83,25947,3800.0
84,25947,3800.0
85,25947,3800.0
86,25947,3800.0
87,25947,3800.0
88,25947,3800.0
89,25947,3800.0
90,25947,3800.0
91,25947,3800.0
92,25947,3800.0
93,25947,3800.0
94,25947,3800.0
95,25947,3800.0
96,25947,3800.0
1,25966,4000.0
2,25966,4000.0
3,25966,4000.0
4,25966,4000.0
5,25966,4000.0
6,25966,4000.0
7,25966,4000.0
8,25966,4000.0
9,25966,4000.0
10,25966,4000.0
11,25966,4000.0
12,25966,4000.0
13,25966,4000.0
14,25966,4000.0
15,25966,4000.0
16,25966,4000.0
17,25966,4000.0
18,25966,4000.0
19,25966,4000.0
20,25966,4000.0
21,25966,4000.0
22,25966,4000.0
23,25966,4000.0
24,25966,4000.0
25,25966,4000.0
26,25966,4000.0
27,25966,4000.0
28,25966,4000.0
29,25966,4000.0
30,25966,4000.0
31,25966,4000.0
32,25966,4000.0
33,25966,4000.0
34,25966,4000.0
35,25966,4000.0
36,25966,4000.0
37,25966,4000.0
38,25966,4000.0
39,25966,4000.0
40,25966,4000.0
41,25966,4000.0
42,25966,4000.0
43,25966,4000.0
44,25966,4000.0
45,25966,4000.0
46,25966,4000.0
47,25966,4000.0
48,25966,4000.0
49,25966,4000.0
50,25966,4000.0
51,25966,4000.0
52,25966,4000.0
53,25966,4000.0
54,25966,4000.0
55,25966,4000.0
56,25966,4000.0
57,25966,4000.0
58,25966,3652.11
59,25966,3652.11
60,25966,3652.11
61,25966,3652.11
62,25966,4000.0
63,25966,4000.0
64,25966,4000.0
65,25966,4000.0
66,25966,4000.0
67,25966,4000.0
68,25966,4000.0
69,25966,4000.0
70,25966,4000.0
71,25966,4000.0
72,25966,4000.0
73,25966,4000.0
74,25966,4000.0
75,25966,4000.0
76,25966,4000.0
77,25966,4000.0
78,25966,4000.0
79,25966,4000.0
80,25966,4000.0
81,25966,4000.0
82,25966,4000.0
83,25966,4000.0
84,25966,4000.0
85,25966,4000.0
86,25966,4000.0
87,25966,4000.0
88,25966,4000.0
89,25966,4000.0
90,25966,4000.0
91,25966,4000.0
92,25966,4000.0
93,25966,4000.0
94,25966,4000.0
95,25966,4000.0
96,25966,4000.0
1,25972,4000.0
2,25972,4000.0
3,25972,4000.0
4,25972,4000.0
5,25972,4000.0
6,25972,4000.0
7,25972,4000.0
8,25972,4000.0
9,25972,4000.0
10,25972,4000.0
11,25972,4000.0
12,25972,4000.0
13,25972,4000.0
14,25972,4000.0
15,25972,4000.0
16,25972,4000.0
17,25972,4000.0
18,25972,4000.0
19,25972,4000.0
20,25972,4000.0
21,25972,4000.0
22,25972,4000.0
23,25972,4000.0
24,25972,4000.0
25,25972,4000.0
26,25972,4000.0
27,25972,4000.0
28,25972,4000.0
29,25972,4000.0
30,25972,4000.0
31,25972,4000.0
32,25972,4000.0
33,25972,4000.0
34,25972,4000.0
35,25972,4000.0
36,25972,4000.0
37,25972,4000.0
38,25972,4000.0
39,25972,4000.0
40,25972,4000.0
41,25972,4000.0
42,25972,4000.0
