interval_id,start_time,end_time,start_minute,interval_minutes,period
1,00:00,00:15,0,15,NT
2,00:15,00:30,15,15,NT
3,00:30,00:45,30,15,NT
4,00:45,01:00,45,15,NT
5,01:00,01:15,60,15,NT
6,01:15,01:30,75,15,NT
7,01:30,01:45,90,15,NT
8,01:45,02:00,105,15,NT
9,02:00,02:15,120,15,NT
10,02:15,02:30,135,15,NT
11,02:30,02:45,150,15,NT
12,02:45,03:00,165,15,NT
13,03:00,03:15,180,15,NT
14,03:15,03:30,195,15,NT
15,03:30,03:45,210,15,NT
16,03:45,04:00,225,15,NT
17,04:00,04:15,240,15,NT
18,04:15,04:30,255,15,NT
19,04:30,04:45,270,15,NT
20,04:45,05:00,285,15,NT
21,05:00,05:15,300,15,NT
22,05:15,05:30,315,15,NT
23,05:30,05:45,330,15,NT
24,05:45,06:00,345,15,NT
25,06:00,06:15,360,15,AM
26,06:15,06:30,375,15,AM
27,06:30,06:45,390,15,AM
28,06:45,07:00,405,15,AM
29,07:00,07:15,420,15,AM
30,07:15,07:30,435,15,AM
31,07:30,07:45,450,15,AM
32,07:45,08:00,465,15,AM
33,08:00,08:15,480,15,AM
34,08:15,08:30,495,15,AM
35,08:30,08:45,510,15,AM
36,08:45,09:00,525,15,AM
37,09:00,09:15,540,15,MD
38,09:15,09:30,555,15,MD
39,09:30,09:45,570,15,MD
40,09:45,10:00,585,15,MD
41,10:00,10:15,600,15,MD
42,10:15,10:30,615,15,MD
43,10:30,10:45,630,15,MD
44,10:45,11:00,645,15,MD
45,11:00,11:15,660,15,MD
46,11:15,11:30,675,15,MD
47,11:30,11:45,690,15,MD
48,11:45,12:00,705,15,MD
49,12:00,12:15,720,15,MD
50,12:15,12:30,735,15,MD
51,12:30,12:45,750,15,MD
52,12:45,13:00,765,15,MD
53,13:00,13:15,780,15,MD
54,13:15,13:30,795,15,MD
55,13:30,13:45,810,15,MD
56,13:45,14:00,825,15,MD
57,14:00,14:15,840,15,MD
58,14:15,14:30,855,15,MD
59,14:30,14:45,870,15,MD
60,14:45,15:00,885,15,MD
61,15:00,15:15,900,15,PM
62,15:15,15:30,915,15,PM
63,15:30,15:45,930,15,PM
64,15:45,16:00,945,15,PM
65,16:00,16:15,960,15,PM
66,16:15,16:30,975,15,PM
67,16:30,16:45,990,15,PM
68,16:45,17:00,1005,15,PM
69,17:00,17:15,1020,15,PM
70,17:15,17:30,1035,15,PM
71,17:30,17:45,1050,15,PM
72,17:45,18:00,1065,15,PM
73,18:00,18:15,1080,15,PM
74,18:15,18:30,1095,15,PM
75,18:30,18:45,1110,15,PM
76,18:45,19:00,1125,15,PM
77,19:00,19:15,1140,15,NT
78,19:15,19:30,1155,15,NT
79,19:30,19:45,1170,15,NT
80,19:45,20:00,1185,15,NT
81,20:00,20:15,1200,15,NT
82,20:15,20:30,1215,15,NT
83,20:30,20:45,1230,15,NT
84,20:45,21:00,1245,15,NT
85,21:00,21:15,1260,15,NT
86,21:15,21:30,1275,15,NT
87,21:30,21:45,1290,15,NT
88,21:45,22:00,1305,15,NT
89,22:00,22:15,1320,15,NT
90,22:15,22:30,1335,15,NT
91,22:30,22:45,1350,15,NT
92,22:45,23:00,1365,15,NT
93,23:00,23:15,1380,15,NT
94,23:15,23:30,1395,15,NT
95,23:30,23:45,1410,15,NT
96,23:45,24:00,1425,15,NT
